dataset,kernel,trial,accuracy,accuracy_std,f1_score,f1_std,support_vector_prop,support_vector_std,training_time,training_time_std,optimization_time,random_seed,best_params,n_optimization_trials,cv_folds,optimization_method
ecoli,linear,0,0.8811942959001783,0.052892014000238706,0.8737974400556624,0.0539683015797449,0.38161541319694886,0.008565985525469723,0.0017165801022201777,0.00014311141150066353,0.46583630004897714,42,{'C': 5.809303133207778},10,10,bayesian
ecoli,linear,1,0.8719251336898395,0.042285926954391845,0.8622660145831039,0.0474975380564254,0.41302756103424915,0.012259698033888284,0.0015901000704616308,0.00013141490530435424,0.4203678001649678,43,{'C': 2.9023534286116157},10,10,bayesian
ecoli,linear,2,0.8725490196078433,0.06142882852438628,0.8653968430788621,0.061234074476337344,0.3442353506873866,0.011455443195920088,0.0022318999748677016,0.00016171921867424595,0.44222399964928627,44,{'C': 36.05072312479231},10,10,bayesian
ecoli,linear,3,0.8631907308377895,0.043870280058545916,0.8548933091054419,0.05230638387340866,0.3759939238957008,0.009186983893504924,0.0016978699713945389,0.00011627189740465342,0.41710809990763664,45,{'C': 7.729879318351191},10,10,bayesian
ecoli,linear,4,0.8628342245989306,0.047153678102293754,0.8557476530246445,0.047577817427576725,0.3912158765545429,0.012297891968242863,0.0016467700712382793,0.00011358762736275704,0.47507060039788485,46,{'C': 4.287501969778039},10,10,bayesian
ecoli,linear,5,0.8570409982174688,0.022821272875222117,0.8486063454043927,0.025155908665210308,0.3488634625051909,0.01339594207671698,0.0024558000266551973,0.0003378252169253863,0.45867029996588826,47,{'C': 35.14742912146425},10,10,bayesian
ecoli,linear,6,0.8754010695187165,0.0738910245961982,0.8662318399964224,0.0815648543246219,0.4384914650405438,0.009560625962826995,0.0015283100306987762,9.299260433025314e-05,0.4329852000810206,48,{'C': 1.7500096028443315},10,10,bayesian
ecoli,linear,7,0.8513368983957218,0.045614691148954285,0.8415317672345293,0.04837392288495015,0.33962581688632437,0.013055015207763835,0.0029951299540698527,0.00031171268530818825,0.46476650005206466,49,{'C': 92.6335871707825},10,10,bayesian
ecoli,linear,8,0.8542780748663101,0.05387588111747238,0.8498756238924161,0.055422894826907855,0.3525145892072651,0.01610295355391788,0.0020354900043457747,0.00015023541754977243,0.46951720025390387,50,{'C': 22.809082361829173},10,10,bayesian
ecoli,linear,9,0.8662210338680927,0.03501539687492175,0.8543308470924519,0.0482001169979026,0.3872379953227111,0.011756295277635068,0.0016818800009787082,5.520263371245653e-05,0.42572399973869324,51,{'C': 4.472173508112401},10,10,bayesian
ecoli,poly,0,0.8841354723707664,0.05036084407041672,0.876552772958054,0.051188613475793135,0.38359998251480776,0.007758416877462534,0.0018058901187032461,0.00012787475654152928,0.5156125002540648,42,"{'C': 13.95024657134353, 'degree': 2, 'gamma': 1.475347969373303}",10,10,bayesian
ecoli,poly,1,0.8778966131907309,0.04121079508626343,0.8685341774956518,0.04501946372672784,0.40244355561383954,0.010823082627643615,0.0017230299301445485,0.00010673336985976599,0.596040999982506,43,"{'C': 25.44285816486207, 'degree': 1, 'gamma': 3.468678178582751}",10,10,bayesian
ecoli,poly,2,0.8785204991087344,0.07263574025739027,0.8704438214046855,0.07299331523311037,0.35349922409459494,0.015608496997160723,0.004249879950657487,0.00012386887450166264,0.6337481997907162,44,"{'C': 39.37856132927404, 'degree': 3, 'gamma': 2.047267413208588}",10,10,bayesian
ecoli,poly,3,0.8810160427807487,0.03476678470874343,0.8741825239851881,0.038888409672893594,0.5125631106156974,0.009844274835376643,0.0015317000448703765,3.70736890118909e-05,0.5890109003521502,45,"{'C': 4.853151568643681, 'degree': 1, 'gamma': 0.4776161161246224}",10,10,bayesian
ecoli,poly,4,0.8719251336898395,0.04228592695439184,0.862842998339804,0.045171246211663206,0.39981203418355077,0.011558447753113973,0.0037672900594770907,0.00011126938761658845,0.5841505001299083,46,"{'C': 4.287501969778039, 'degree': 3, 'gamma': 3.652252873960553}",10,10,bayesian
ecoli,poly,5,0.8689839572192513,0.030652281196009646,0.8619753594685993,0.03588861005586692,0.3968297160841912,0.011302219209605922,0.0016697699669748546,8.007592626727545e-05,0.5731087001040578,47,"{'C': 9.873496758926203, 'degree': 2, 'gamma': 2.569034341275915}",10,10,bayesian
ecoli,poly,6,0.8811051693404635,0.06154535828652644,0.87141738392436,0.06963849512938522,0.36242650755141737,0.014837818795431853,0.004717819998040796,0.0001591436992441629,0.6315551004372537,48,"{'C': 29.89833876951833, 'degree': 5, 'gamma': 1.308437536827318}",10,10,bayesian
ecoli,poly,7,0.8689839572192513,0.04039311655481161,0.8585131307697145,0.04061529785656742,0.3631029659257316,0.015301948356087627,0.004927570000290871,0.00021957009928955836,0.642829000018537,49,"{'C': 44.22183607663652, 'degree': 5, 'gamma': 3.381749733807492}",10,10,bayesian
ecoli,poly,8,0.8779857397504456,0.04332586820345555,0.8697976139146736,0.04407356628883798,0.4282462352195484,0.014045965499534192,0.0016799499280750751,0.0001255858746082003,0.5788706000894308,50,"{'C': 5.641107515510172, 'degree': 2, 'gamma': 3.7048899841838416}",10,10,bayesian
ecoli,poly,9,0.8662210338680927,0.03501539687492175,0.8538484319041544,0.048033414892367135,0.3812842873691343,0.012480731341995054,0.0018011800479143859,8.41316966275206e-05,0.5124331000261009,51,"{'C': 44.54160488284843, 'degree': 1, 'gamma': 3.0223873424901875}",10,10,bayesian
ecoli,rbf,0,0.8750445632798574,0.052760815586362364,0.8640724305454558,0.05769402563559068,0.5489443315192446,0.01143923585588201,0.002918259985744953,6.777814133927213e-05,0.5467675998806953,42,"{'C': 2.059428845085949, 'gamma': 3.880109567207946}",10,10,bayesian
ecoli,rbf,1,0.866131907308378,0.03024477991600012,0.8545240578404216,0.035465741660919266,0.5294243000458987,0.011036493419598108,0.0028457199689000843,6.828909468267794e-05,0.5306230001151562,43,"{'C': 2.9023534286116157, 'gamma': 2.9391533679917523}",10,10,bayesian
ecoli,rbf,2,0.8785204991087344,0.0749798074416355,0.8731189469642897,0.0727116004444434,0.41797914890826837,0.010668637626572823,0.002648570016026497,8.209349154193968e-05,0.5328179001808167,44,"{'C': 42.76572445463983, 'gamma': 0.46770693414988207}",10,10,bayesian
ecoli,rbf,3,0.8721925133689838,0.036970229834391195,0.8635834047791814,0.0456525317328399,0.43419557187506835,0.010232483346434156,0.002334460010752082,7.599517363030375e-05,0.528813200071454,45,"{'C': 4.853151568643681, 'gamma': 0.6663708483298129}",10,10,bayesian
ecoli,rbf,4,0.8688057040998217,0.040995892362186315,0.8615776253563994,0.045499427017635825,0.4857779817716871,0.010362651855706064,0.0025954298675060273,0.00010989661363021148,0.5288676996715367,46,"{'C': 4.287501969778039, 'gamma': 1.7722052636656271}",10,10,bayesian
ecoli,rbf,5,0.866131907308378,0.027234836726965094,0.8592263976920129,0.03100093779311762,0.45204139619259937,0.016269466383921957,0.002709950041025877,7.937918464604074e-05,0.5177837996743619,47,"{'C': 27.092809416673624, 'gamma': 1.1055423805836644}",10,10,bayesian
ecoli,rbf,6,0.8753119429590017,0.06379301609144528,0.8655223524443743,0.07374791003466584,0.5396749939894652,0.011140470127947428,0.002947760047391057,8.642762301040706e-05,0.5195681001059711,48,"{'C': 1.7500096028443315, 'gamma': 3.567987236421342}",10,10,bayesian
ecoli,rbf,7,0.8600713012477719,0.044357815109195384,0.8503869208499728,0.04749138718641819,0.3793029965248181,0.011475244647565993,0.0027527299243956804,0.00014196698825453486,0.5349117000587285,49,"{'C': 96.21679197288353, 'gamma': 0.2503777431897933}",10,10,bayesian
ecoli,rbf,8,0.860338680926916,0.05605068648796319,0.8554681615242294,0.05720498019774235,0.44445282276572023,0.01579571475092129,0.0029183300212025642,0.0001567263208812918,0.5348616996780038,50,"{'C': 49.4606699521566, 'gamma': 0.9243936192903239}",10,10,bayesian
ecoli,rbf,9,0.8601604278074866,0.041709801611816706,0.8475125583159832,0.05295693450054093,0.4497355364675541,0.015069191973458029,0.002666690060868859,0.000159424179540991,0.5072101000696421,51,"{'C': 17.435164259026102, 'gamma': 0.884946142214355}",10,10,bayesian
ecoli,custom_hermite,0,0.8693404634581106,0.045536956504379236,0.8621955164122161,0.048458246750708776,0.4355102397656984,0.009529069827095065,0.005074980016797781,0.00020193805298876345,0.8090212000533938,42,"{'C': 83.24443163740138, 'degree': 2}",10,10,bayesian
ecoli,custom_hermite,1,0.8691622103386809,0.04403573663324104,0.8570003430397588,0.04926818745368253,0.5294232072213843,0.009836966489084676,0.003324949974194169,0.00013322594874081727,0.7873611999675632,43,"{'C': 25.44285816486207, 'degree': 1}",10,10,bayesian
ecoli,custom_hermite,2,0.8725490196078433,0.07548446103472249,0.8680386191830205,0.07225236358734183,0.48709374248683146,0.010825123804617719,0.003263079980388284,8.812226583800148e-05,0.7672978001646698,44,"{'C': 42.76572445463983, 'degree': 1}",10,10,bayesian
ecoli,custom_hermite,3,0.869073083778966,0.030249113195391725,0.8625612588604626,0.033283738896428994,0.46560881253688285,0.011999482885944377,0.004916650103405118,0.0002798491253725335,0.7643113001249731,45,"{'C': 44.05364834656567, 'degree': 2}",10,10,bayesian
ecoli,custom_hermite,4,0.8688057040998217,0.04305430955426882,0.8629602317598664,0.043342073343460824,0.40973050947478856,0.013336985286186452,0.005405650101602077,0.00024972912705653366,0.808084599673748,46,"{'C': 78.38345124822426, 'degree': 4}",10,10,bayesian
ecoli,custom_hermite,5,0.8688948306595364,0.03356286610198805,0.860203516205944,0.0371589453644312,0.5271118833737679,0.008580131894623767,0.003431039955466986,0.00012934374095093404,0.7644302998669446,47,"{'C': 25.599987137364938, 'degree': 1}",10,10,bayesian
ecoli,custom_hermite,6,0.8781639928698752,0.06492311663267442,0.8726180869441669,0.07037526520525532,0.4560192774244311,0.014080030305792248,0.004924279963597655,0.00028941342863570183,0.8163201999850571,48,"{'C': 33.67204902905069, 'degree': 3}",10,10,bayesian
ecoli,custom_hermite,7,0.8662210338680927,0.04990363138189773,0.8562326291461456,0.05125015233150068,0.44212838502393287,0.013428845518209609,0.003431010013446212,0.00020819535496074054,0.7780706998892128,49,"{'C': 96.21679197288353, 'degree': 1}",10,10,bayesian
ecoli,custom_hermite,8,0.8748663101604277,0.056682249756659885,0.8688333370983207,0.05860650310743458,0.43750027320612855,0.01115409899797526,0.004827720066532493,0.0003330904899252725,0.84472870035097,50,"{'C': 76.05390826420042, 'degree': 2}",10,10,bayesian
ecoli,custom_hermite,9,0.8690730837789662,0.039955050032662136,0.8593231563065247,0.050701295607222086,0.48710248508294535,0.01050767199619502,0.0033883399330079554,0.00010820104233218419,0.7181849996559322,51,"{'C': 41.02538836217453, 'degree': 1}",10,10,bayesian
ecoli,custom_gegen,0,0.8781639928698752,0.0628819934476132,0.8705080815561462,0.06337087339944888,0.3664087600813062,0.012005509885880805,0.0050276500638574365,0.00031612950717396543,1.775822600349784,42,"{'C': 59.86624976121946, 'degree': 1, 'alpha': -0.1795709045309567}",10,10,bayesian
ecoli,custom_gegen,1,0.8811051693404635,0.037098923790099665,0.8664355058217618,0.04322841943603905,0.5271107905492536,0.0075641801609942685,0.006968459952622652,0.000308262336366488,1.8385163000784814,43,"{'C': 89.70996089957345, 'degree': 2, 'alpha': 0.031986596966799064}",10,10,bayesian
ecoli,custom_gegen,2,0.8754010695187165,0.05981687074728694,0.8680474494361075,0.0593732885482874,0.5324055253207439,0.015003496807210068,0.0046223099809139965,0.0001839308771064347,2.0841269996017218,44,"{'C': 42.76572445463983, 'degree': 1, 'alpha': -0.05638125000041694}",10,10,bayesian
ecoli,custom_gegen,3,0.8693404634581106,0.05289223927602601,0.8622166360681305,0.058989077046397255,0.42559504294800343,0.01455585087769442,0.008145199995487929,0.00032584728033926654,1.8356511001475155,45,"{'C': 11.246977118703663, 'degree': 2, 'alpha': 0.4623190862767723}",10,10,bayesian
ecoli,custom_gegen,4,0.8717468805704099,0.046621710655810576,0.8636017798507829,0.050109201820885706,0.35913382729001375,0.010899382086227214,0.004801449878141284,0.00030157880214058176,1.6669847001321614,46,"{'C': 29.99148509430352, 'degree': 1, 'alpha': 0.25070004483418906}",10,10,bayesian
ecoli,custom_gegen,5,0.8631907308377895,0.026910465557879626,0.8561054926640871,0.028486561567709522,0.40342928332568356,0.013245424251423166,0.007961300015449525,0.00030676822540426585,2.2058924003504217,47,"{'C': 24.665691528082416, 'degree': 2, 'alpha': -0.4422174052507317}",10,10,bayesian
ecoli,custom_gegen,6,0.8692513368983956,0.0771169328358137,0.8590315933724796,0.08585673410055371,0.36739339496863593,0.011752632408760344,0.004997829999774694,0.00021400349705006107,1.3496253001503646,48,"{'C': 35.71784231100412, 'degree': 1, 'alpha': -0.20762466185188871}",10,10,bayesian
ecoli,custom_gegen,7,0.8720142602495544,0.03778419561590037,0.8613002959769369,0.03816092336443189,0.3792953467532184,0.014890414590035476,0.007216669991612435,0.0006383329087378253,2.3525816998444498,49,"{'C': 25.193648320991734, 'degree': 2, 'alpha': -0.3386652195968104}",10,10,bayesian
ecoli,custom_gegen,8,0.8721925133689841,0.05355341980061795,0.8658799190628622,0.05619428238306168,0.37699276550171573,0.020498644836425696,0.0045975500252097845,0.00022717175976354713,2.0972401998005807,50,"{'C': 66.83408854009923, 'degree': 1, 'alpha': 0.16084403508539902}",10,10,bayesian
ecoli,custom_gegen,9,0.8691622103386809,0.04936485131880581,0.8594043232849146,0.06127779013712932,0.49338841168885095,0.011416635760732605,0.007024489995092154,0.00031748086951594165,1.7888244995847344,51,"{'C': 48.78009133549274, 'degree': 2, 'alpha': -0.05581670324541077}",10,10,bayesian
ecoli,custom_alsalam,0,0.8723707664884135,0.057022612901572484,0.8667202782650671,0.05906929842089709,0.4355146110637554,0.016756349798849535,0.005237419996410609,0.00013228100540568424,0.9246129998937249,42,"{'C': 13.95024657134353, 'degree': 2, 'a': -1, 'q': 0.37}",10,10,bayesian
ecoli,custom_alsalam,1,0.8393048128342245,0.04230095253508624,0.8314147351133053,0.04506653673710724,0.4341857364544402,0.01660200658707836,0.006206679996103049,0.0002955324251401136,0.9343453999608755,43,"{'C': 22.103678559441246, 'degree': 3, 'a': -1, 'q': 0.32}",10,10,bayesian
ecoli,custom_alsalam,2,0.8724598930481283,0.07347342977734059,0.8684541501060575,0.06968719481126723,0.43088322077240837,0.008825756865317912,0.0064286999870091675,0.003167071954802789,0.8154262001626194,44,"{'C': 36.05072312479231, 'degree': 3, 'a': -1, 'q': 0.61}",10,10,bayesian
ecoli,custom_alsalam,3,0.8723707664884135,0.0314928418142799,0.8683200436629889,0.03499427586393841,0.4358512010141412,0.013432660906653173,0.004781199945136904,0.00024147562029563612,0.8176347999833524,45,"{'C': 11.246977118703663, 'degree': 2, 'a': -1, 'q': 0.48000000000000004}",10,10,bayesian
ecoli,custom_alsalam,4,0.8717468805704099,0.04067619405261029,0.8651290725515416,0.04177340013050826,0.44212947784844714,0.014463155092489455,0.005175569886341691,0.00022085146861855292,0.8917217999696732,46,"{'C': 30.75461872064403, 'degree': 2, 'a': -1, 'q': 0.49}",10,10,bayesian
ecoli,custom_alsalam,5,0.8631907308377895,0.03510783317044646,0.8559389300213397,0.03598928185550682,0.4695735798745438,0.011100864724678491,0.004343240102753043,0.00016525039821140103,0.886831299867481,47,"{'C': 9.873496758926203, 'degree': 2, 'a': -1, 'q': 0.64}",10,10,bayesian
ecoli,custom_alsalam,6,0.8721925133689841,0.0657161982549385,0.8645782557852677,0.07200560526848554,0.43848490809345836,0.008763271129488033,0.005104259913787245,0.00016858748644275385,0.8739241999574006,48,"{'C': 54.52338114221105, 'degree': 4, 'a': -1, 'q': 0.59}",10,10,bayesian
ecoli,custom_alsalam,7,0.8691622103386809,0.05000754579707375,0.8574873046970062,0.05340559047954051,0.5327377439730727,0.006434771324025778,0.004587580077350139,0.00020918062204282727,0.866306799929589,49,"{'C': 28.984498812192676, 'degree': 2, 'a': -1, 'q': 0.7000000000000001}",10,10,bayesian
ecoli,custom_alsalam,8,0.8602495543672013,0.04773191190955763,0.8550582151210733,0.04830354282604324,0.4381647105107862,0.014651660143329106,0.005478949984535575,0.00020540129651424287,0.8272879002615809,50,"{'C': 52.41082616290873, 'degree': 6, 'a': -1, 'q': 0.5700000000000001}",10,10,bayesian
ecoli,custom_alsalam,9,0.8691622103386809,0.043793348854127286,0.8598477249063681,0.052054894442380525,0.44410530457019204,0.011107934179626276,0.0050976399797946215,0.0001669948483886671,0.8410439998842776,51,"{'C': 4.77353057385992, 'degree': 2, 'a': -1, 'q': 0.29000000000000004}",10,10,bayesian
glass,linear,0,0.6632034632034632,0.07625194293506093,0.626972534116497,0.06848181640099199,0.7383122841105354,0.013674223837938688,0.0017466700170189141,0.0001060690147724007,0.4372609001584351,42,{'C': 15.602708025603208},10,10,bayesian
glass,linear,1,0.6586580086580086,0.1561896423029928,0.6268648827758836,0.15478041496917133,0.7429916882556131,0.02064889569393567,0.001575969997793436,7.973480072269193e-05,0.4071720000356436,43,{'C': 11.506341584411505},10,10,bayesian
glass,linear,2,0.6816017316017315,0.14254015073284204,0.646260667437138,0.14027341211194227,0.7487127590673575,0.020405809103286474,0.001526209944859147,8.356020445741135e-05,0.43589260010048747,44,{'C': 10.480505640882603},10,10,bayesian
glass,linear,3,0.667965367965368,0.10289106237395379,0.6414943752620665,0.10039413107578271,0.7398828799654577,0.019509750406922984,0.0017033000476658344,0.00013283574200083289,0.41457819985225797,45,{'C': 16.33328149637847},10,10,bayesian
glass,linear,4,0.6582251082251082,0.1071043701918986,0.6339748292070274,0.10837912365492394,0.719098121761658,0.013189014599331365,0.0019807400181889533,0.00025791593663274185,0.45053069991990924,46,{'C': 24.905060108483372},10,10,bayesian
glass,linear,5,0.6642857142857144,0.09080828259416994,0.631952427231065,0.08941851063405185,0.7486911701208981,0.019131095982721363,0.00163546996191144,0.00010000074633068537,0.45690950006246567,47,{'C': 11.349733700893058},10,10,bayesian
glass,linear,6,0.658874458874459,0.09630550982577878,0.625966635365031,0.09474881691318786,0.7134148316062177,0.01762545709913749,0.0024118199944496155,0.00023169870816300015,0.43803759990260005,48,{'C': 28.48683188622436},10,10,bayesian
glass,linear,7,0.6448051948051947,0.0817852495623135,0.608342115400939,0.07764756087470512,0.723785621761658,0.010423077058734348,0.0018373400438576938,0.00019105447821629528,0.44256360037252307,49,{'C': 21.043173174840597},10,10,bayesian
glass,linear,8,0.6491341991341991,0.07052059664436079,0.6219906658528951,0.06902915014686557,0.7201505829015543,0.012661257093071112,0.001850700005888939,0.0001814054677978287,0.4345583999529481,50,{'C': 25.548136901797378},10,10,bayesian
glass,linear,9,0.6642857142857143,0.05333159397287396,0.6293186492279814,0.057672955141813705,0.7393377590673575,0.013836463462773447,0.0017198500223457812,9.711660503058772e-05,0.43473839992657304,51,{'C': 15.76785920720762},10,10,bayesian
glass,poly,0,0.7008658008658009,0.09472906073439619,0.6866264128028834,0.09959318432247026,0.6412213946459413,0.01224844821235589,0.0029533499386161567,0.00010919656720254206,0.4445925001055002,42,"{'C': 37.454637344617396, 'degree': 6, 'gamma': 2.9321633619048173}",10,10,bayesian
glass,poly,1,0.7004329004329004,0.12240522884246044,0.6820799453197824,0.12925054416289586,0.656282383419689,0.018407341743502913,0.0028583600651472807,0.00021765067873240695,0.4472471000626683,43,"{'C': 44.576390325611044, 'degree': 5, 'gamma': 0.34433613551210357}",10,10,bayesian
glass,poly,2,0.7331168831168832,0.05803167147040416,0.7177939054409641,0.06767195925200095,0.6266839378238342,0.00979622383460266,0.0038358999881893396,0.00020774195410097485,0.4650038001127541,44,"{'C': 95.74724943472268, 'degree': 6, 'gamma': 3.5291436202329205}",10,10,bayesian
glass,poly,3,0.7108225108225109,0.08373127003906097,0.6962921143593412,0.08607714591404474,0.6511010362694301,0.01560693724796306,0.0030598098877817393,0.00010179159214420891,0.44854260003194213,45,"{'C': 98.90116233604654, 'degree': 4, 'gamma': 1.1370165937272034}",10,10,bayesian
glass,poly,4,0.7246753246753247,0.10054479510915289,0.7039597030095502,0.10943473268929657,0.658900043177893,0.01756371339801907,0.0029695800505578516,0.00020119850716911777,0.43558380007743835,46,"{'C': 78.38345124822426, 'degree': 4, 'gamma': 1.007906067758062}",10,10,bayesian
glass,poly,5,0.7106060606060607,0.07797046357296333,0.6997246777498878,0.08926106486340034,0.6630154360967184,0.020139866533701086,0.002704920060932636,0.0001179839252514401,0.43316869996488094,47,"{'C': 35.14742912146425, 'degree': 5, 'gamma': 3.201549584739277}",10,10,bayesian
glass,poly,6,0.7196969696969696,0.11446615199765084,0.7092850503592433,0.1153497890957348,0.661469127806563,0.012583320052749931,0.0028610200621187686,0.00013811666828599501,0.4503737003542483,48,"{'C': 44.49646271214178, 'degree': 5, 'gamma': 1.8488408310945195}",10,10,bayesian
glass,poly,7,0.719047619047619,0.09717047859115636,0.7141438323581181,0.0973296604068439,0.6355057210708118,0.015344249960757898,0.0035091199446469546,0.00026185079487065145,0.4633464002981782,49,"{'C': 70.76117850962414, 'degree': 6, 'gamma': 2.431682930384008}",10,10,bayesian
glass,poly,8,0.7015151515151515,0.07917138241866073,0.6833863369295702,0.07833995943881403,0.6760416666666667,0.014612399906307716,0.0026308200787752865,8.309884429452205e-05,0.4346477002836764,50,"{'C': 67.45763200916058, 'degree': 3, 'gamma': 2.036436743715766}",10,10,bayesian
