dataset,kernel,trial,optimization_time,training_time,best_accuracy,best_f1_score,support_vector_prop,best_params,random_seed,n_optimization_trials,cv_folds
ecoli,linear,0,0.33395659970119596,0.0017312400974333285,0.8781639928698752,0.8698174440168428,0.39583524577623325,{'C': 3.90130999242047},42,8,10
ecoli,linear,1,0.3144020000472665,0.0016072599682956934,0.8778966131907309,0.8689218780304111,0.4074027932594584,{'C': 3.3356407136855206},43,8,10
ecoli,linear,2,0.3955024001188576,0.0026887599378824234,0.8784313725490197,0.8722703098658238,0.41831136756059706,{'C': 2.6207978131423735},44,8,10
ecoli,linear,3,0.36757800029590726,0.002135279914364219,0.8721925133689838,0.8658279823990223,0.4328776255108955,{'C': 1.933161862413238},45,8,10
ecoli,linear,4,0.36637540021911263,0.0016581099946051836,0.8688948306595365,0.8611228615659432,0.47817957292417984,{'C': 1.0725933433582453},46,8,10
ecoli,linear,5,0.32647640025243163,0.0016723799984902144,0.8690730837789662,0.8596980958505052,0.4163366336633663,{'C': 2.8380983088693443},47,8,10
ecoli,poly,0,0.3834489998407662,0.0024657000321894884,0.8811942959001783,0.8738944547288016,0.38955587611741305,"{'C': 10.799193521034251, 'degree': 2, 'gamma': 2.4534763774094808}",42,8,10
ecoli,poly,1,0.48120589973405004,0.0039109399542212485,0.8780748663101605,0.8656592218092773,0.39483968264376107,"{'C': 2.877249105178084, 'degree': 4, 'gamma': 0.547104622928547}",43,8,10
ecoli,poly,2,0.48535200022161007,0.0017076900228857994,0.8784313725490197,0.8722703098658238,0.4130210040871637,"{'C': 20.87121887449257, 'degree': 1, 'gamma': 2.982551919191829}",44,8,10
ecoli,poly,3,0.46098090009763837,0.0037034200038760902,0.8780748663101603,0.8701219563988787,0.4444571940637772,"{'C': 1.933161862413238, 'degree': 3, 'gamma': 1.899469254494512}",45,8,10
ecoli,poly,4,0.43498250003904104,0.0016564099583774804,0.8748663101604277,0.866517500180396,0.4718947391427884,"{'C': 8.092322006689862, 'degree': 1, 'gamma': 3.211524249181703}",46,8,10
ecoli,poly,5,0.42385989986360073,0.0020222799852490426,0.8809269162210338,0.872044411417934,0.4795084475334951,"{'C': 2.469050145265414, 'degree': 2, 'gamma': 2.569034341275915}",47,8,10
