dataset_name,class_label,encoded_class_label,count,percentage,is_minority,is_majority
ecoli,cp,0,143,42.55952380952381,False,True
ecoli,im,1,77,22.916666666666664,False,False
ecoli,imL,2,2,0.5952380952380952,True,False
ecoli,imS,3,2,0.5952380952380952,True,False
ecoli,imU,4,35,10.416666666666668,False,False
ecoli,om,5,20,5.952380952380952,False,False
ecoli,omL,6,5,1.488095238095238,False,False
ecoli,pp,7,52,15.476190476190476,False,False
glass,1,1,70,32.71028037383177,False,False
glass,2,2,76,35.51401869158878,False,True
glass,3,3,17,7.943925233644859,False,False
glass,5,5,13,6.074766355140187,False,False
glass,6,6,9,4.205607476635514,True,False
glass,7,7,29,13.551401869158877,False,False
SPECTF,0,0,55,20.59925093632959,True,False
SPECTF,1,1,212,79.40074906367042,False,True
student,0,0,8,5.517241379310345,True,False
student,1,1,35,24.137931034482758,False,True
student,2,2,24,16.551724137931036,False,False
student,3,3,21,14.482758620689657,False,False
student,4,4,10,6.896551724137931,False,False
student,5,5,17,11.724137931034482,False,False
student,6,6,13,8.96551724137931,False,False
student,7,7,17,11.724137931034482,False,False
parkinson,0,0,48,24.615384615384617,True,False
parkinson,1,1,147,75.38461538461539,False,True
vertebral,Hernia,0,60,19.35483870967742,True,False
vertebral,Normal,1,100,32.25806451612903,False,False
vertebral,Spondylolisthesis,2,150,48.38709677419355,False,True
fertility,N,0,88,88.0,False,True
fertility,O,1,12,12.0,True,False
cervical,0,0,51,70.83333333333334,False,True
cervical,1,1,21,29.166666666666668,True,False
mines,1,1,71,21.005917159763314,False,True
mines,2,2,70,20.710059171597635,False,False
mines,3,3,66,19.526627218934912,False,False
mines,4,4,66,19.526627218934912,False,False
mines,5,5,65,19.230769230769234,True,False
blood,0,0,570,76.20320855614973,False,True
blood,1,1,178,23.796791443850267,True,False
statlog,bus,0,217,25.680473372781066,False,True
statlog,opel,1,212,25.088757396449708,False,False
statlog,saab,2,217,25.680473372781066,False,True
statlog,van,3,199,23.550295857988164,True,False
hepatitis,1,1,13,16.25,True,False
hepatitis,2,2,67,83.75,False,True
wine,1,1,59,33.146067415730336,False,False
wine,2,2,71,39.8876404494382,False,True
wine,3,3,48,26.96629213483146,True,False
haberman,1,1,225,73.52941176470588,False,True
haberman,2,2,81,26.47058823529412,True,False
ionosphere,b,0,126,35.8974358974359,True,False
ionosphere,g,1,225,64.1025641025641,False,True
breast,2,2,444,65.00732064421669,False,True
breast,4,4,239,34.99267935578331,True,False
australian,-1.0,0,383,55.507246376811594,False,True
australian,1.0,1,307,44.492753623188406,True,False
german,-1.0,0,700,70.0,False,True
german,1.0,1,300,30.0,True,False
heart,-1.0,0,150,55.55555555555556,False,True
heart,1.0,1,120,44.44444444444444,True,False
fourclass,-1.0,0,555,64.38515081206496,False,True
fourclass,1.0,1,307,35.614849187935036,True,False
