dataset_name,n_samples,n_features,n_classes,samples_per_feature_ratio,overall_mean,overall_std,overall_variance,data_range_min,data_range_max,data_range_total,mean_feature_mean,std_feature_mean,mean_feature_std,std_feature_std,mean_feature_variance,mean_feature_range,max_mean_feature_value,max_mean_feature_index,max_std_feature_value,max_std_feature_index,min_std_feature_value,min_std_feature_index,max_feature_correlation,mean_feature_correlation,n_constant_features,proportion_constant_features,majority_class_size,minority_class_size,majority_class_percentage,minority_class_percentage,class_imbalance_ratio,class_entropy,class_distribution_description,original_label_type,class_cp_count,class_cp_percentage,class_im_count,class_im_percentage,class_imL_count,class_imL_percentage,class_imS_count,class_imS_percentage,class_imU_count,class_imU_percentage,class_om_count,class_om_percentage,class_omL_count,class_omL_percentage,class_pp_count,class_pp_percentage,class_1_count,class_1_percentage,class_2_count,class_2_percentage,class_3_count,class_3_percentage,class_5_count,class_5_percentage,class_6_count,class_6_percentage,class_7_count,class_7_percentage,class_0_count,class_0_percentage,class_4_count,class_4_percentage,class_Hernia_count,class_Hernia_percentage,class_Normal_count,class_Normal_percentage,class_Spondylolisthesis_count,class_Spondylolisthesis_percentage,class_N_count,class_N_percentage,class_O_count,class_O_percentage,class_bus_count,class_bus_percentage,class_opel_count,class_opel_percentage,class_saab_count,class_saab_percentage,class_van_count,class_van_percentage,class_b_count,class_b_percentage,class_g_count,class_g_percentage,class_-1.0_count,class_-1.0_percentage,class_1.0_count,class_1.0_percentage
ecoli,336,7,8,48.0,0.4995663265306122,0.15733937610865478,0.024755679274260724,0.0,1.0,1.0,0.49956632653061206,0.0017513600983220434,0.14351465531953406,0.06446825358718863,0.024752612012066723,0.7985714285714286,0.5014880952380952,3,0.21543000524500744,5,0.027236614907326078,3,0.8093236144356106,0.157714685740469,0,0.0,143,2,42.55952380952381,0.5952380952380952,0.013986013986013986,1.517122829952031,cp: 143 samples (42.6%); im: 77 samples (22.9%); imL: 2 samples (0.6%); imS: 2 samples (0.6%); imU: 35 samples (10.4%); om: 20 samples (6.0%); omL: 5 samples (1.5%); pp: 52 samples (15.5%),object,143.0,42.55952380952381,77.0,22.916666666666664,2.0,0.5952380952380952,2.0,0.5952380952380952,35.0,10.416666666666668,20.0,5.952380952380952,5.0,1.488095238095238,52.0,15.476190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glass,214,9,6,23.77777777777778,11.26585160955348,22.14607224388666,490.44851583144714,0.0,75.41,75.41,11.265851609553478,22.130326293835143,0.6879278145483788,0.47321166702309597,0.6971739598360862,4.511419999999999,72.65093457943925,4,1.4390337868112202,2,0.003029759954827502,0,0.8104026963400857,0.20239860389544173,0,0.0,76,9,35.51401869158878,4.205607476635514,0.11842105263157894,1.5086584002236942,1: 70 samples (32.7%); 2: 76 samples (35.5%); 3: 17 samples (7.9%); 5: 13 samples (6.1%); 6: 9 samples (4.2%); 7: 29 samples (13.6%),int64,,,,,,,,,,,,,,,,,70.0,32.71028037383177,76.0,35.51401869158878,17.0,7.943925233644859,13.0,6.074766355140187,9.0,4.205607476635514,29.0,13.551401869158877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTF,267,44,2,6.068181818181818,64.58367381681988,11.045880223935264,122.01146992152417,3.0,89.0,86.0,64.58367381681988,4.809112263508566,9.662376558237819,2.3499762563294038,98.88390915849568,62.18181818181818,74.03370786516854,20,15.172007741434312,41,6.046748914825699,30,0.8900515812147886,0.2833301776344512,0,0.0,212,55,79.40074906367042,20.59925093632959,0.25943396226415094,0.5085984133880677,0: 55 samples (20.6%); 1: 212 samples (79.4%),int64,,,,,,,,,,,,,,,,,212.0,79.40074906367042,,,,,,,,,,,55.0,20.59925093632959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student,145,31,8,4.67741935483871,2.0556173526140156,1.2144930930879294,1.4749934731582859,1.0,9.0,8.0,2.0556173526140156,0.7163850785628163,0.8273203869387006,0.5266183340204098,0.9617858923708331,2.7419354838709675,4.13103448275862,30,3.24888346319649,30,0.4070718500241023,23,0.6578531617921818,0.10088690964839706,0,0.0,35,8,24.137931034482758,5.517241379310345,0.22857142857142856,1.9837653018622123,0: 8 samples (5.5%); 1: 35 samples (24.1%); 2: 24 samples (16.6%); 3: 21 samples (14.5%); 4: 10 samples (6.9%); 5: 17 samples (11.7%); 6: 13 samples (9.0%); 7: 17 samples (11.7%),int64,,,,,,,,,,,,,,,,,35.0,24.137931034482758,24.0,16.551724137931036,21.0,14.482758620689657,17.0,11.724137931034482,13.0,8.96551724137931,17.0,11.724137931034482,8.0,5.517241379310345,10.0,6.896551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinson,195,22,2,8.863636363636363,22.186785704895108,59.46499661686015,3536.0858226431887,-7.964984,592.03,599.9949839999999,22.186785704895108,54.71268402135524,8.288059236760033,21.769614234305706,542.6080298225289,39.56601659090909,197.104917948718,1,91.25665238831346,1,0.00275189325492869,6,1.0,0.48029445047360597,0,0.0,147,48,75.38461538461539,24.615384615384617,0.32653061224489793,0.5580701289224494,0: 48 samples (24.6%); 1: 147 samples (75.4%),int64,,,,,,,,,,,,,,,,,147.0,75.38461538461539,,,,,,,,,,,48.0,24.615384615384617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertebral,310,6,3,51.666666666666664,52.85693082067204,38.394333866991076,1474.1248730899777,-11.05817866,418.5430821,429.60126076,52.85693082067204,32.514393907235906,18.32011646173875,9.017338563201939,416.9390619350799,150.3446129895,117.92065502380653,4,37.4983985467349,5,9.992174750889085,1,0.8149599891850368,0.3376354809440731,0,0.0,150,60,48.38709677419355,19.35483870967742,0.4,1.0340787928128257,Hernia: 60 samples (19.4%); Normal: 100 samples (32.3%); Spondylolisthesis: 150 samples (48.4%),object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,19.35483870967742,100.0,32.25806451612903,150.0,48.38709677419355,,,,,,,,,,,,,,,,,,,,
fertility,100,9,2,11.11111111111111,0.38765555555555553,0.6345752325788245,0.4026857258024692,-1.0,1.0,2.0,0.3876555555555555,0.38415925259978395,0.44229661644857465,0.24388746897408792,0.25510739444444425,1.248888888888889,0.87,2,0.8046738469715539,7,0.12071039723238426,1,0.44245195144662236,0.10937143246584236,0,0.0,88,12,88.0,12.0,0.13636363636363635,0.3669249912727096,N: 88 samples (88.0%); O: 12 samples (12.0%),object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,88.0,12.0,12.0,,,,,,,,,,,,,,,,
cervical,72,19,2,3.789473684210526,9.116959064327485,4.20797823321245,17.70708081118977,1.0,15.0,14.0,9.116959064327485,2.5046428451877127,3.187542713520014,1.1284575662049647,11.433845029239766,10.052631578947368,13.347222222222221,3,4.873377381115217,7,1.1785113019775801,18,0.8535341897650858,0.20855598896231856,0,0.0,51,21,70.83333333333334,29.166666666666668,0.4117647058823529,0.6036372515003262,0: 51 samples (70.8%); 1: 21 samples (29.2%),int64,,,,,,,,,,,,,,,,,21.0,29.166666666666668,,,,,,,,,,,51.0,70.83333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mines,338,3,5,112.66666666666667,0.48102010049112426,0.29074183725138364,0.08453081592831006,0.0,1.0,1.0,0.48102010049112426,0.0356944377357956,0.2816178289029943,0.06283407902563283,0.08325672304303565,0.934088283,0.5088757396420118,1,0.34373401907971507,2,0.1955291385157795,0,0.3775234107070041,0.10114538263742781,0,0.0,71,65,21.005917159763314,19.230769230769234,0.9154929577464789,1.6088017040507907,1: 71 samples (21.0%); 2: 70 samples (20.7%); 3: 66 samples (19.5%); 4: 66 samples (19.5%); 5: 65 samples (19.2%),int64,,,,,,,,,,,,,,,,,71.0,21.005917159763314,70.0,20.710059171597635,66.0,19.526627218934912,65.0,19.230769230769234,,,,,,,66.0,19.526627218934912,,,,,,,,,,,,,,,,,,,,,,,,,,
blood,748,4,2,187.0,356.99498663101605,938.243209672341,880300.3204962565,0.0,12500.0,12500.0,356.99498663101605,589.9710117998088,374.2841084241547,626.215563455029,532234.525732164,3117.25,1378.6764705882354,2,1458.8506343706256,2,5.835402537482521,1,0.9999999999999994,0.34949869637313974,0,0.0,570,178,76.20320855614973,23.796791443850267,0.312280701754386,0.5487262431826446,0: 570 samples (76.2%); 1: 178 samples (23.8%),int64,,,,,,,,,,,,,,,,,178.0,23.796791443850267,,,,,,,,,,,570.0,76.20320855614973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
