Dataset,Samples,Features,Classes,Class Distribution,Majority Class,Minority Class,Imbalance Ratio,Overall Mean,Overall Std,Data Range,Max Feature Correlation,Constant Features
ecoli,336,7,8,cp: 143 samples (42.6%); im: 77 samples (22.9%); imL: 2 samples (0.6%); imS: 2 samples (0.6%); imU: 35 samples (10.4%); om: 20 samples (6.0%); omL: 5 samples (1.5%); pp: 52 samples (15.5%),42.6%,0.6%,0.014,0.500,0.157,"[0.000, 1.000]",0.809,0
glass,214,9,6,1: 70 samples (32.7%); 2: 76 samples (35.5%); 3: 17 samples (7.9%); 5: 13 samples (6.1%); 6: 9 samples (4.2%); 7: 29 samples (13.6%),35.5%,4.2%,0.118,11.266,22.146,"[0.000, 75.410]",0.810,0
SPECTF,267,44,2,0: 55 samples (20.6%); 1: 212 samples (79.4%),79.4%,20.6%,0.259,64.584,11.046,"[3.000, 89.000]",0.890,0
student,145,31,8,0: 8 samples (5.5%); 1: 35 samples (24.1%); 2: 24 samples (16.6%); 3: 21 samples (14.5%); 4: 10 samples (6.9%); 5: 17 samples (11.7%); 6: 13 samples (9.0%); 7: 17 samples (11.7%),24.1%,5.5%,0.229,2.056,1.214,"[1.000, 9.000]",0.658,0
parkinson,195,22,2,0: 48 samples (24.6%); 1: 147 samples (75.4%),75.4%,24.6%,0.327,22.187,59.465,"[-7.965, 592.030]",1.000,0
vertebral,310,6,3,Hernia: 60 samples (19.4%); Normal: 100 samples (32.3%); Spondylolisthesis: 150 samples (48.4%),48.4%,19.4%,0.400,52.857,38.394,"[-11.058, 418.543]",0.815,0
fertility,100,9,2,N: 88 samples (88.0%); O: 12 samples (12.0%),88.0%,12.0%,0.136,0.388,0.635,"[-1.000, 1.000]",0.442,0
cervical,72,19,2,0: 51 samples (70.8%); 1: 21 samples (29.2%),70.8%,29.2%,0.412,9.117,4.208,"[1.000, 15.000]",0.854,0
mines,338,3,5,1: 71 samples (21.0%); 2: 70 samples (20.7%); 3: 66 samples (19.5%); 4: 66 samples (19.5%); 5: 65 samples (19.2%),21.0%,19.2%,0.915,0.481,0.291,"[0.000, 1.000]",0.378,0
blood,748,4,2,0: 570 samples (76.2%); 1: 178 samples (23.8%),76.2%,23.8%,0.312,356.995,938.243,"[0.000, 12500.000]",1.000,0
statlog,845,18,4,bus: 217 samples (25.7%); opel: 212 samples (25.1%); saab: 217 samples (25.7%); van: 199 samples (23.6%),25.7%,23.6%,0.917,117.639,112.768,"[0.000, 1018.000]",0.996,0
hepatitis,80,19,2,1: 13 samples (16.2%); 2: 67 samples (83.8%),83.8%,16.2%,0.194,16.547,37.212,"[0.000, 420.000]",0.649,0
wine,178,13,3,1: 59 samples (33.1%); 2: 71 samples (39.9%); 3: 48 samples (27.0%),39.9%,27.0%,0.676,69.134,215.746,"[0.130, 1680.000]",0.865,0
haberman,306,3,2,1: 225 samples (73.5%); 2: 81 samples (26.5%),73.5%,26.5%,0.360,39.779,26.769,"[0.000, 83.000]",0.090,0
ionosphere,351,34,2,b: 126 samples (35.9%); g: 225 samples (64.1%),64.1%,35.9%,0.560,0.248,0.576,"[-1.000, 1.000]",nan,1
breast,683,9,2,2: 444 samples (65.0%); 4: 239 samples (35.0%),65.0%,35.0%,0.538,3.148,2.895,"[1.000, 10.000]",0.907,0
australian,690,15,2,-1.0: 383 samples (55.5%); 1.0: 307 samples (44.5%),55.5%,44.5%,0.802,-0.328,0.708,"[-1.000, 1.000]",nan,1
german,1000,25,2,-1.0: 700 samples (70.0%); 1.0: 300 samples (30.0%),70.0%,30.0%,0.429,-0.242,0.826,"[-1.000, 1.000]",nan,1
heart,270,14,2,-1.0: 150 samples (55.6%); 1.0: 120 samples (44.4%),55.6%,44.4%,0.800,-0.176,0.742,"[-1.000, 1.000]",nan,1
fourclass,862,3,2,-1.0: 555 samples (64.4%); 1.0: 307 samples (35.6%),64.4%,35.6%,0.553,0.006,0.449,"[-1.000, 1.000]",nan,1
