kernel,feature,metric,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,spearman_ci_low,spearman_ci_high,spearman_p_fdr
linear,n_samples,accuracy_mean,20,0.07485806398745355,0.7537794641146246,-0.4124644366748258,0.38971967888586906,-0.22255639097744356,0.3456206337468547,-0.6349018269368251,0.2588699172077977,0.8064481454093276
linear,n_samples,f1_mean,20,0.07277731893007472,0.7604288499308194,-0.39251306070783026,0.40458969091126423,-0.16842105263157892,0.4778286757964305,-0.6412029047307763,0.28624800221559316,0.9128820158733055
linear,n_samples,training_time_mean,20,0.8891797650839541,1.5912109084409175e-07,0.7813712113470459,0.9628897470011301,0.875187969924812,4.4001020283937447e-07,0.6060180765639157,0.9702866591881286,6.160142839751243e-06
linear,n_samples,support_vector_prop_mean,20,0.05998805462281366,0.8016390137349284,-0.32098437173194105,0.49698202077328724,0.22105263157894736,0.3489737543021465,-0.24237660863351324,0.6545277492505139,0.48813234029965585
linear,n_features,accuracy_mean,20,-0.10366862217526031,0.663603690630418,-0.5031826366819101,0.4754546092080788,0.17201155332770282,0.46835434265319775,-0.32983285295870196,0.5844939451110964,0.8999612758849148
linear,n_features,f1_mean,20,-0.022466112080814123,0.9250983901071849,-0.47712946181128735,0.5730464603246106,0.2036978920985954,0.38902223235222533,-0.3297876130009817,0.6717180807334321,0.9128820158733055
linear,n_features,training_time_mean,20,0.028917250406604218,0.9036755080456841,-0.3480459675208495,0.45010143292961197,-0.04526619824413232,0.8497023221785833,-0.43840653431747506,0.3375544344816695,0.8497023221785833
linear,n_features,support_vector_prop_mean,20,-0.06876178778999002,0.7733066516699192,-0.570351704111729,0.38268443143826053,-0.3153545144341218,0.17562152206891465,-0.7114105165533232,0.15315927197728368,0.3951593263451108
linear,n_classes,accuracy_mean,20,-0.6116635951475893,0.004158597135206976,-0.9272959546108878,0.049766068326380676,-0.31528541339204746,0.1757213345266106,-0.7244851823463849,0.18345680143876375,0.8064481454093276
linear,n_classes,f1_mean,20,-0.5672664923490544,0.009093965141140687,-0.9007962223220846,0.1252399154531849,-0.2605299634472101,0.2672575340538713,-0.6808846220985143,0.2747892309515415,0.9128820158733055
linear,n_classes,training_time_mean,20,-0.21320986038837741,0.3667656535625085,-0.4383599296784291,0.06890339707082468,-0.23050278121939605,0.3282151287982429,-0.6386299072203692,0.14991806693185136,0.4722790111429382
linear,n_classes,support_vector_prop_mean,20,0.5658868049137276,0.009302051899316106,0.11537503410264405,0.8515471733285686,0.35502727222297775,0.12452892268674946,-0.18965364245284716,0.7524561258521152,0.3951593263451108
linear,samples_per_feature_ratio,accuracy_mean,20,-0.09508438281570084,0.6900733656603413,-0.6122691585713049,0.20518750538093947,-0.26917293233082706,0.2511314536907905,-0.6811681104920048,0.28312261196967,0.8064481454093276
linear,samples_per_feature_ratio,f1_mean,20,-0.15512651113509082,0.5137250530473955,-0.7122310547279671,0.17141759413468313,-0.25864661654135335,0.2708557980141591,-0.6702304915620546,0.28266042780748657,0.9128820158733055
linear,samples_per_feature_ratio,training_time_mean,20,0.3308011406210212,0.15427029080829346,0.07384680616795897,0.7166707022013966,0.5383458646616541,0.01433546239679361,0.15608378245901755,0.7969541966984423,0.04013929471102211
linear,samples_per_feature_ratio,support_vector_prop_mean,20,0.18760946712460924,0.4283242132095195,-0.13780609578339645,0.5951140874385034,0.35037593984962395,0.12989410232900506,-0.10461152752945489,0.7616761756246965,0.3951593263451108
linear,overall_mean,accuracy_mean,20,0.03791076902078321,0.8739196261175735,-0.3289152782240464,0.37573339032553693,0.045112781954887216,0.8502061902084872,-0.3734705095663404,0.4197401215805471,0.8999612758849148
linear,overall_mean,f1_mean,20,-0.052253543407601424,0.8268160090695844,-0.4382339245241397,0.4113655138286887,0.019548872180451125,0.9348031235214638,-0.3675642384634468,0.44150320490729894,0.9802081270267002
linear,overall_mean,training_time_mean,20,0.2017477502923427,0.39367608199998105,-0.40039486519015405,0.6422372731059222,-0.3533834586466165,0.12640665077932206,-0.7893168023175611,0.19257990867579902,0.2528133015586441
linear,overall_mean,support_vector_prop_mean,20,-0.023321487651143516,0.9222546972182855,-0.3925461399823468,0.24524877049912794,-0.20601503759398496,0.3835325530925867,-0.5400635382796675,0.19525874791220305,0.48813234029965585
linear,overall_std,accuracy_mean,20,0.035649128612474955,0.8813886950958668,-0.24450887980483182,0.4655539889136092,0.09774436090225563,0.681832438507082,-0.3741647972181223,0.5041704962508874,0.8999612758849148
linear,overall_std,f1_mean,20,-0.05782686981440479,0.8086561653752311,-0.43664528641960104,0.4602353974502238,0.09323308270676692,0.6958288642370747,-0.3768854535930514,0.5437297650773436,0.9741604099319046
linear,overall_std,training_time_mean,20,0.17587654768496103,0.45826300375918677,-0.37507671845092155,0.6021049195720604,-0.18796992481203004,0.42742125802266384,-0.6632716538459265,0.3161524320477757,0.5390127006124955
linear,overall_std,support_vector_prop_mean,20,-0.028168993995245976,0.9061573040355053,-0.4988516404470553,0.23376327113476125,-0.21804511278195485,0.35573636611773685,-0.568568422642623,0.26084615712053794,0.48813234029965585
linear,mean_feature_mean,accuracy_mean,20,0.03791076902078321,0.8739196261175735,-0.31403570757257965,0.37419500963449487,0.045112781954887216,0.8502061902084872,-0.3523062437330333,0.4389312877546975,0.8999612758849148
linear,mean_feature_mean,f1_mean,20,-0.052253543407601424,0.8268160090695844,-0.4802114205534305,0.3896611118076982,0.019548872180451125,0.9348031235214638,-0.3903646504489366,0.4194114731863391,0.9802081270267002
linear,mean_feature_mean,training_time_mean,20,0.2017477502923427,0.39367608199998105,-0.4295423760287015,0.7031083654219159,-0.3533834586466165,0.12640665077932206,-0.757117882117882,0.18249490060640497,0.2528133015586441
linear,mean_feature_mean,support_vector_prop_mean,20,-0.023321487651143516,0.9222546972182855,-0.44670586155369235,0.2570795892102028,-0.20601503759398496,0.3835325530925867,-0.5451117950209211,0.18354179609304858,0.48813234029965585
linear,mean_feature_std,accuracy_mean,20,-0.00592852342110369,0.980209654607487,-0.2787304304483219,0.46598228026487676,0.13233082706766916,0.578107459362294,-0.2927986217457887,0.5095407239819002,0.8999612758849148
linear,mean_feature_std,f1_mean,20,-0.10256662394371564,0.6669811228338762,-0.5044327893541161,0.5006978566209792,0.12932330827067667,0.5868527244899822,-0.3098603993689161,0.510313284675703,0.9128820158733055
linear,mean_feature_std,training_time_mean,20,0.19295591168315207,0.4150356854777464,-0.40981201484173924,0.6352369451882138,-0.1744360902255639,0.4620108862392819,-0.5908172478206726,0.3169213030022946,0.5390127006124955
linear,mean_feature_std,support_vector_prop_mean,20,0.016913398627238358,0.9435781658341278,-0.5376568555384323,0.20824021467049375,-0.306766917293233,0.1883231984785576,-0.5854479234616221,0.1361411723081906,0.3951593263451108
linear,max_feature_correlation,accuracy_mean,20,0.3679321524629499,0.11047331097328919,0.018446021367436352,0.6832849615395025,0.45032574502005,0.04631852533842584,-0.03385823966452636,0.753251254759394,0.3242296773689809
linear,max_feature_correlation,f1_mean,20,0.44217503665409064,0.050923824564589465,0.06683636372448364,0.7606812704542977,0.4853764798270252,0.030052026339099917,0.025104449937138916,0.7864731581151558,0.21036418437369941
linear,max_feature_correlation,training_time_mean,20,0.2646174586631091,0.25955190937059147,0.03778483648682949,0.5242653476290938,0.22630583125373072,0.3373421508163844,-0.21531396348417142,0.6247226643276214,0.4722790111429382
linear,max_feature_correlation,support_vector_prop_mean,20,-0.39830949974517804,0.0819618358570694,-0.6408843847752147,-0.11295259811298922,-0.5150934071633736,0.020116227236947212,-0.7954526126250443,-0.10429598819020672,0.14081359065863047
linear,mean_feature_correlation,accuracy_mean,20,0.48929004885013927,0.028558931066276976,0.22717545788495383,0.6754859957742757,0.509759599692747,0.02167342704076277,-0.0346500379902054,0.8069814633665713,0.30342797857067877
linear,mean_feature_correlation,f1_mean,20,0.5186583420695673,0.0191261025264333,0.19687889285349944,0.6914812294325194,0.5486201969787411,0.012250095167978606,0.08095288108298876,0.8285282959179133,0.17150133235170048
linear,mean_feature_correlation,training_time_mean,20,0.1209186487104241,0.6115830205416345,-0.148021158889609,0.5099724014390078,0.2445931711530221,0.29865834606472064,-0.14025142138368313,0.5461519167097305,0.4722790111429382
linear,mean_feature_correlation,support_vector_prop_mean,20,-0.5310243067369455,0.015988874333878245,-0.7542974097013365,-0.2539184124012907,-0.5432863895081145,0.013299681303847129,-0.8237539828896913,-0.12075495275436961,0.14081359065863047
linear,class_imbalance_ratio,accuracy_mean,20,0.08263322716801833,0.7290832801856895,-0.46379278114016886,0.46718286458825403,0.13082706766917293,0.5824730901969897,-0.30223226644641993,0.538722565715732,0.8999612758849148
linear,class_imbalance_ratio,f1_mean,20,0.11804064765412864,0.6201471131650352,-0.37894721735546305,0.49204979814360283,0.1789473684210526,0.45032544160934007,-0.26534381896156883,0.5626696762141967,0.9128820158733055
linear,class_imbalance_ratio,training_time_mean,20,0.4043502910531286,0.07701319091243489,0.05057584635986663,0.756178652866201,0.5548872180451127,0.011103504265934561,0.12083219378446776,0.8307637402678867,0.03886226493077096
linear,class_imbalance_ratio,support_vector_prop_mean,20,-0.10751179373975163,0.6518741906558837,-0.5304460579372781,0.35240095168730495,-0.10827067669172932,0.6495672222012883,-0.5589356708616761,0.31507285842327193,0.7241563627694705
linear,class_entropy,accuracy_mean,20,-0.6450397558793606,0.0021339859886321173,-0.8686558741948412,0.1589445512869036,-0.24812030075187969,0.291522687103458,-0.6603459972470925,0.24109694518305497,0.8064481454093276
linear,class_entropy,f1_mean,20,-0.5876393077718243,0.006437330777496117,-0.8356699617584465,0.18807635322900942,-0.14586466165413534,0.5394664944297437,-0.6019863569920415,0.38241281454020537,0.9128820158733055
linear,class_entropy,training_time_mean,20,-0.11342564613500639,0.6339784377746261,-0.41336833593705447,0.22687603913428142,0.11127819548872178,0.6404548402871415,-0.3710486898727463,0.5167773646293283,0.6897205972323063
linear,class_entropy,support_vector_prop_mean,20,0.5835296026511694,0.006914210066462058,-0.05659119866846089,0.827777807250082,0.30075187969924805,0.19757966317255538,-0.17472862563184335,0.6865799792139078,0.3951593263451108
linear,n_constant_features,accuracy_mean,20,0.11265041779330054,0.6363134924504035,-0.27139439970660695,0.3630712027193647,-0.03003757045930553,0.8999612758849147,-0.39272423815558244,0.3929797391321034,0.8999612758849148
