feature,mean_importance,std_importance
samples_per_feature_ratio,0.015000000000000003,0.03720719016534304
n_features,0.011875,0.051761924954545485
mean_feature_std,0.006875000000000001,0.02287021807941499
mean_feature_correlation,0.00625,0.022185299186623545
overall_std,0.001875,0.008172935519138764
class_imbalance_ratio,0.001875,0.008172935519138764
n_samples,0.0,0.0
n_classes,0.0,0.0
overall_mean,0.0,0.0
mean_feature_mean,0.0,0.0
max_feature_correlation,0.0,0.0
class_entropy,0.0,0.0
n_constant_features,0.0,0.0
proportion_constant_features,0.0,0.0
