feature,mean_importance,std_importance
n_features,0.0625,0.0670820393249937
n_samples,0.015000000000000003,0.031024184114977142
samples_per_feature_ratio,0.01125,0.030336652748778996
mean_feature_std,0.0037500000000000007,0.011924240017711828
max_feature_correlation,0.0025,0.010897247358851688
n_classes,0.0,0.0
overall_mean,0.0,0.0
overall_std,0.0,0.0
mean_feature_mean,0.0,0.0
mean_feature_correlation,0.0,0.0
class_imbalance_ratio,0.0,0.0
class_entropy,0.0,0.0
n_constant_features,0.0,0.0
proportion_constant_features,0.0,0.0
