kernel,metric,n,median_delta,delta_ci_low,delta_ci_high,wilcoxon_stat,wilcoxon_p,wilcoxon_p_fdr
custom_alsalam,accuracy_mean,20,0.010857142857142801,-0.0029390451832908004,0.024580180180180156,77.0,0.3117942810058594,0.3897428512573242
custom_alsalam,f1_mean,20,0.0054098361678257545,-0.035514180378481475,0.06073770650354149,93.0,0.6742229461669922,0.6742229461669922
custom_alsalam,training_time_mean,20,0.00168002002872525,0.0006493879808113003,0.00502185849472875,30.0,0.00365447998046875,0.006090799967447917
custom_alsalam,support_vector_prop_mean,20,0.09182340653767368,0.012958196525250432,0.17430763077775363,44.0,0.021484375,0.035807291666666664
custom_gegen,accuracy_mean,20,0.01965296226017288,0.0032678571428569336,0.03978466386554619,30.0,0.00365447998046875,0.009136199951171875
custom_gegen,f1_mean,20,0.010103174603174447,-0.003825495482400687,0.05569000502833238,47.0,0.029575347900390625,0.07393836975097656
custom_gegen,training_time_mean,20,0.00361961200367655,0.0018416389846243,0.025742981955409,4.0,1.33514404296875e-05,6.67572021484375e-05
custom_gegen,support_vector_prop_mean,20,0.022919065656565707,-0.004330088297750584,0.07082702774459049,59.0,0.08969497680664062,0.11211872100830078
custom_hermite,accuracy_mean,20,-0.0010942028985508334,-0.014516129032257963,0.01187166578343063,95.0,0.7285060882568359,0.7285060882568359
custom_hermite,f1_mean,20,-0.008051121161289698,-0.06687435034493279,0.012733082568129332,68.0,0.17685317993164062,0.2947552998860677
custom_hermite,training_time_mean,20,0.0013356340187601502,0.0006884229788556,0.0084681600425392,22.0,0.0010166168212890625,0.0025415420532226562
custom_hermite,support_vector_prop_mean,20,0.0834855078148492,0.018539569152347234,0.14169565467957584,28.0,0.002712249755859375,0.0067806243896484375
poly,accuracy_mean,20,0.01434115082824755,0.008385962566844948,0.03341729323308269,13.0,0.0001678466796875,0.0008392333984375
poly,f1_mean,20,0.0233529387279387,0.004935856762199042,0.04537095091111176,12.0,0.000133514404296875,0.000667572021484375
poly,training_time_mean,20,-3.622399410234997e-05,-0.00135083549190315,0.0011331249356735704,101.0,0.8983173370361328,0.8983173370361328
poly,support_vector_prop_mean,20,-0.0007090438204418181,-0.0531312697689586,0.026194401671524564,87.0,0.5216732025146484,0.5216732025146484
rbf,accuracy_mean,20,0.007424731182795685,-0.0038138930785989733,0.02952252252252252,69.0,0.1893482208251953,0.3155803680419922
rbf,f1_mean,20,0.010882826851040972,-0.029791436260215742,0.057708879756200426,90.0,0.5958194732666016,0.6742229461669922
rbf,training_time_mean,20,-0.00060215500183405,-0.0022003885079175,0.00017464974260655757,54.0,0.058258056640625,0.07282257080078125
rbf,support_vector_prop_mean,20,0.1573590982286634,0.03293906810035835,0.31450458541881854,23.0,0.001209259033203125,0.006046295166015625
