dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
SPECTF,0,0,poly,134,133,0.1340933637156641,0.009900990099009901,0.02828581537603507,0.009900990099009901,8.213083607118868,0.31289236054601177,0.4700441243824606,0.5652914578567931,0.31289236054601177,0.5652914578567931,0.9301900222749205,131.82135495970255,1.6126988764524925,1.257409126130602,0.42857142857142855,57.0,0.7597014925373133,0.8044776119402984,"{""C"": 1.4896828839588496, ""degree"": 6, ""gamma"": 0.38003713516749865}"
SPECTF,0,1,poly,133,134,0.14297918445708047,0.009900990099009901,0.0019243229392706038,0.009900990099009901,5.654400009073575,0.3776975058118787,0.5926507751893397,0.6852179375876841,0.3776975058118787,0.6852179375876841,0.8944340582963224,43.79486363228396,1.2478039292532574,0.7210360248747151,0.48507462686567165,65.0,1.0,1.0,"{""C"": 26.227027016517972, ""degree"": 1, ""gamma"": 0.09769470113509555}"
SPECTF,1,0,poly,134,133,0.17859627222893576,0.009900990099009901,0.026036291192508602,0.009900990099009901,7.464014149543627,0.3287735923326423,0.5019674352856075,0.5875357927619361,0.3287735923326423,0.5875357927619361,0.9523747921790077,130.20494068129122,1.0089114620711488,0.030296376160621016,0.48120300751879697,64.0,0.8238805970149253,0.8298507462686566,"{""C"": 0.0536555522930738, ""degree"": 5, ""gamma"": 0.10979596811631258}"
SPECTF,1,1,poly,133,134,0.1411431269390183,0.009900990099009901,0.01251275104769039,0.009900990099009901,7.399503150982402,0.33254408988082573,0.49621342354858317,0.5896567177649645,0.33254408988082573,0.5896567177649645,0.9149995763211424,124.85720122347149,1.9841421280580642,1.8605996031706864,0.4701492537313433,63.0,0.8661654135338345,0.8766917293233082,"{""C"": 4.145455656595361, ""degree"": 4, ""gamma"": 0.4496575689710995}"
SPECTF,2,0,poly,134,133,0.1449491241881166,0.009900990099009901,0.009475838265424754,0.009900990099009901,6.498736088320528,0.35597624543256123,0.5371153941472466,0.621382166009878,0.35597624543256123,0.621382166009878,0.9077844279796097,118.15197100869493,1.0094501679953525,0.02147281061865205,0.45864661654135336,61.0,0.8999999999999999,0.9119402985074627,"{""C"": 0.10409668846529614, ""degree"": 3, ""gamma"": 0.12247338357753416}"
SPECTF,2,1,poly,133,134,0.15238686825074527,0.009900990099009901,0.01229488334880366,0.009900990099009901,7.455954750218136,0.3280165128868414,0.5005028491191416,0.5957105245030136,0.3280165128868414,0.5957105245030136,0.9287849561582397,124.78612834696618,1.901025558662712,1.7445829224442333,0.41044776119402987,55.0,0.8526315789473684,0.8578947368421053,"{""C"": 6.5817410082690495, ""degree"": 4, ""gamma"": 0.0467495443097813}"
SPECTF,3,0,poly,134,133,0.194987062809177,0.009900990099009901,0.04326499092268152,0.009900990099009901,7.580295087505358,0.33022703194032416,0.48860333108140064,0.5746632823369678,0.33022703194032416,0.5746632823369678,0.969750539843324,131.85425745325296,1.0116241645132253,0.03852125932181548,0.44360902255639095,59.0,0.7820895522388059,0.7947761194029851,"{""C"": 0.028731092733977327, ""degree"": 6, ""gamma"": 1.1553114988575663}"
SPECTF,3,1,poly,133,134,0.12290754803331948,0.009900990099009901,0.0038116621372514775,0.009900990099009901,6.318502970479262,0.36042982763878517,0.5425339978903796,0.632001245510458,0.36042982763878517,0.632001245510458,0.8918787730629109,98.30417986933432,1.0066600225982885,0.014703004685747596,0.4626865671641791,62.0,0.9278195488721804,0.9616541353383459,"{""C"": 0.06700405438952178, ""degree"": 2, ""gamma"": 0.5446561301621656}"
SPECTF,4,0,poly,134,133,0.1866540590295129,0.009900990099009901,0.025145634814315355,0.009900990099009901,7.113150582771797,0.344363622037091,0.492433087586794,0.5858763336746178,0.344363622037091,0.5858763336746178,0.951639166037841,129.4531935812429,1.020726359518095,0.09018149551570295,0.5112781954887218,68.0,0.8059701492537313,0.8164179104477612,"{""C"": 0.12730106339756717, ""degree"": 5, ""gamma"": 2.167051518171201}"
SPECTF,4,1,poly,133,134,0.13919757435267946,0.009900990099009901,0.013409917201511053,0.009900990099009901,7.612278788810027,0.3205405346505825,0.5030964552408465,0.5917425838345479,0.3205405346505825,0.5917425838345479,0.9167848020202227,126.3060058267538,1.0005312389691434,0.001611473549440975,0.43283582089552236,58.0,0.875187969924812,0.8781954887218046,"{""C"": 0.002597443756348927, ""degree"": 4, ""gamma"": 1.1105129219642937}"
