dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
blood,0,0,custom_alsalam,374,374,0.03983604799656512,0.009900990099009901,0.038428094389633016,0.009900990099009901,3.8469216478237005,0.44719858529083395,0.7663298911828169,0.8733765878558443,0.44719858529083395,0.8733765878558443,0.9999239732155972,65.9618793860167,0.9485876724435509,0.5974913352605382,0.48128342245989303,180.0,0.7294117647058822,0.7925133689839573,"{""C"": 0.8454032462009388, ""degree"": 5, ""a"": -1, ""q"": 0.026620839884971728}"
blood,0,1,custom_alsalam,374,374,0.015430085105421048,0.04950495049504951,0.005325462047819499,0.019801980198019802,1.589699237286387,0.7839327849964922,0.9449350301970254,0.9872267662801678,0.7839327849964922,0.9872267662801678,1.0490980914034367,11.16108982387204,0.99586164808706,0.14969234468502254,0.48663101604278075,182.0,0.7262032085561496,0.8010695187165776,"{""C"": 0.6780492463811034, ""degree"": 1, ""a"": -1, ""q"": 0.23095113725576386}"
blood,1,0,custom_alsalam,374,374,0.014668342552848624,0.039603960396039604,4.5423020738999455e-05,0.039603960396039604,2.1660432800101836,0.6547467164463915,0.8898361708390327,0.9623327982734556,0.6547467164463915,0.9623327982734556,1.007800269912733,15.414960547150853,1.0003250229738285,0.0002737096244494494,0.48663101604278075,182.0,0.5406417112299465,0.5941176470588235,"{""C"": 0.06987828540817624, ""degree"": 2, ""a"": -1, ""q"": 0.7578228554231327}"
blood,1,1,custom_alsalam,374,374,0.035397433540700386,0.009900990099009901,0.011646505992726767,0.009900990099009901,3.7522402233046823,0.4554011377694195,0.7711440145353492,0.8790828282720591,0.4554011377694195,0.8790828282720591,1.043064668966592,52.35791185422452,1.038101918716594,0.7299240278774625,0.4304812834224599,161.0,0.7374331550802138,0.8232620320855616,"{""C"": 17.992802023612715, ""degree"": 4, ""a"": -1, ""q"": 0.35898889762994524}"
blood,2,0,custom_alsalam,374,374,0.05017025820313546,0.009900990099009901,0.03729326376976805,0.009900990099009901,3.830968882975966,0.4524287423653586,0.759055853741616,0.8708562357798555,0.4524287423653586,0.8708562357798555,1.0105318485737134,57.83824270737728,1.0266068496729832,0.7461692130695922,0.4786096256684492,179.0,0.7470588235294117,0.8157754010695187,"{""C"": 27.838218379495355, ""degree"": 4, ""a"": -1, ""q"": 0.13284694592084847}"
blood,2,1,custom_alsalam,374,374,0.04153613297265029,0.009900990099009901,0.02823126557571191,0.009900990099009901,2.9032873095798344,0.5337455346279568,0.8498905121366808,0.9432110129118153,0.5337455346279568,0.9432110129118153,1.0604042676964185,28.711946967040593,0.9663987582983264,0.37551345056620583,0.5026737967914439,188.0,0.7197860962566843,0.7858288770053475,"{""C"": 0.43061075654707315, ""degree"": 2, ""a"": -1, ""q"": 0.11027485460133626}"
blood,3,0,custom_alsalam,374,374,0.00479177510615762,0.2079207920792079,8.55774939922125e-07,0.15841584158415842,1.342275001793075,0.8589826622391071,0.9645016893751345,0.9892909447506603,0.8589826622391071,0.9892909447506603,1.1903683242873169,6.056101589548083,0.9998621723343354,3.98289676404309e-05,0.47593582887700536,178.0,0.5508021390374331,0.616042780748663,"{""C"": 0.029635226559828164, ""degree"": 3, ""a"": -1, ""q"": 0.8823703647901184}"
blood,3,1,custom_alsalam,374,374,0.05023660309437364,0.009900990099009901,0.033367138187083464,0.009900990099009901,3.7360678984818563,0.46018596253079463,0.7653037012310725,0.8703025824631708,0.46018596253079463,0.8703025824631708,1.022224162877909,56.99434498461119,0.9261198065316751,0.39178247839659475,0.5,187.0,0.7219251336898396,0.8152406417112299,"{""C"": 1.6376262072653454, ""degree"": 4, ""a"": -1, ""q"": 0.1953791763780723}"
blood,4,0,custom_alsalam,374,374,0.04101124956232302,0.009900990099009901,0.0006841188086808024,0.009900990099009901,4.221876476836235,0.4130187075678446,0.7453999941561342,0.8636187914910615,0.4130187075678446,0.8636187914910615,1.0450310429524192,43.935456983252365,0.9543098033577322,0.3174508665020336,0.4839572192513369,181.0,0.7026737967914437,0.7601604278074867,"{""C"": 7.827067871044814, ""degree"": 5, ""a"": -1, ""q"": 0.6548413725119356}"
blood,4,1,custom_alsalam,374,374,0.045866665769396325,0.009900990099009901,0.0039018668889916923,0.009900990099009901,4.121305185021773,0.41846556575976424,0.7596924684330895,0.8656478879503927,0.41846556575976424,0.8656478879503927,1.0327689306262944,55.48781163609202,0.9423716751719657,0.3939459891258776,0.5080213903743316,190.0,0.767379679144385,0.8414438502673798,"{""C"": 5.741841924925834, ""degree"": 6, ""a"": -1, ""q"": 0.5282932537073691}"
