dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
blood,0,0,custom_hermite,374,374,0.023134128125353884,0.009900990099009901,0.00032277494823512563,0.009900990099009901,2.6251506754298948,0.5658280460862017,0.8911651258610065,0.9649688664979571,0.5658280460862017,0.9649688664979571,0.993795871514617,22.04358549551028,0.9979279233439043,0.0677936714625774,0.48128342245989303,180.0,0.6914438502673794,0.7652406417112301,"{""C"": 0.8454032462009388, ""degree"": 5}"
blood,0,1,custom_hermite,374,374,0.05151287832637198,0.009900990099009901,0.0007863326639210381,0.009900990099009901,2.9510905652217274,0.5235020361071075,0.8593604938920445,0.9544282657917926,0.5235020361071075,0.9544282657917926,1.1039016383412894,24.247881679848053,0.9997815223427985,0.00022334888176509145,0.47593582887700536,178.0,0.7026737967914437,0.7427807486631016,"{""C"": 0.0030812761748510516, ""degree"": 6}"
blood,1,0,custom_hermite,374,374,0.026640013515381727,0.009900990099009901,0.0002797163621939326,0.019801980198019802,2.2434964606572163,0.6286701089016572,0.9235811253823603,0.981428876778674,0.6286701089016572,0.981428876778674,1.0167044497390714,16.342323786408365,0.9999295115727267,7.942312615581843e-05,0.47593582887700536,178.0,0.6572192513368984,0.7098930481283422,"{""C"": 0.002180121271524241, ""degree"": 3}"
blood,1,1,custom_hermite,374,374,0.024452154121585426,0.009900990099009901,0.00028034443221928453,0.0297029702970297,2.4620297626189918,0.5907276809460346,0.9083645381125253,0.9778856706512808,0.5907276809460346,0.9778856706512808,1.0705306642796149,17.99585372288322,1.020909552099434,0.34602437822977017,0.4786096256684492,179.0,0.6491978609625669,0.7224598930481284,"{""C"": 17.992802023612715, ""degree"": 4}"
blood,2,0,custom_hermite,374,374,0.028678203547987002,0.019801980198019802,0.0003345799830848785,0.009900990099009901,2.5390245468106407,0.5815647990584528,0.8984584227958224,0.9694596837268176,0.5815647990584528,0.9694596837268176,1.0228283178150335,19.22965462760874,0.9885000176782724,0.36104581376108275,0.47593582887700536,178.0,0.7042780748663101,0.7446524064171123,"{""C"": 78.12011028111026, ""degree"": 4}"
blood,2,1,custom_hermite,374,374,0.026865924671903973,0.009900990099009901,0.0003035317180427925,0.019801980198019802,2.3741234679809042,0.6063156191589025,0.9101994750849564,0.9808786374321544,0.6063156191589025,0.9808786374321544,1.074041167632503,17.4990389956857,0.9787535775920524,0.25371421628189067,0.48663101604278075,182.0,0.6310160427807486,0.7053475935828876,"{""C"": 29.095248600495516, ""degree"": 4}"
blood,3,0,custom_hermite,374,374,0.0175709371780482,0.019801980198019802,0.00014965458040715088,0.019801980198019802,2.0371405655340142,0.6701668885885225,0.936526140679874,0.9903250673674798,0.6701668885885225,0.9903250673674798,1.0561650644153147,13.307314262911953,0.9630025453065845,0.251462878001089,0.4946524064171123,185.0,0.6631016042780747,0.6938502673796793,"{""C"": 70.70706934895522, ""degree"": 2}"
blood,3,1,custom_hermite,374,374,0.04108045343992029,0.009900990099009901,0.000675852800898821,0.009900990099009901,3.0439024689262424,0.5132184887768407,0.8557322164774162,0.9456048607292952,0.5132184887768407,0.9456048607292952,1.038344039223967,25.2515304107245,0.999248799427266,0.0054579944955756516,0.4893048128342246,183.0,0.6914438502673795,0.7935828877005348,"{""C"": 0.0740819637379823, ""degree"": 6}"
blood,4,0,custom_hermite,374,374,0.025493316060705522,0.009900990099009901,0.00035435480459931196,0.009900990099009901,2.6641081984053767,0.5619292543774925,0.8852940486656623,0.9646189893178505,0.5619292543774925,0.9646189893178505,1.0436073365643563,22.389879173111847,0.9918761412432661,0.2028960706605381,0.4919786096256685,184.0,0.6887700534759358,0.7379679144385026,"{""C"": 7.827067871044814, ""degree"": 5}"
blood,4,1,custom_hermite,374,374,0.025170722078456373,0.009900990099009901,0.00028064152367243884,0.009900990099009901,2.39449352404382,0.6008684759919948,0.9157537150243527,0.9775200606464974,0.6008684759919948,0.9775200606464974,1.0404104738743063,17.87866295819604,0.9770430106059846,0.32415943473269787,0.4946524064171123,185.0,0.6754010695187166,0.7481283422459893,"{""C"": 98.33124924930857, ""degree"": 4}"
