dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
blood,0,0,linear,374,374,0.025986653171929858,0.009900990099009901,0.0031031345137721997,0.009900990099009901,1.663390193248721,0.7518846064375312,0.9999999999999982,0.9999999999999999,0.7518846064375312,0.9999999999999999,1.0143828636962082,2.999948553070368,1.0587033255756966,0.2915532706824361,0.47593582887700536,178.0,0.9834224598930481,0.9917112299465242,"{""C"": 0.8454032462009388}"
blood,0,1,linear,374,374,0.04031687142010811,0.009900990099009901,0.004761206984034062,0.009900990099009901,1.642788415040934,0.7580685657018852,0.9999999999999976,0.9999999999999997,0.7580685657018852,0.9999999999999997,1.0986334425417197,2.9999462893054556,1.0002237342099276,0.0004234842842332363,0.48128342245989303,180.0,0.9780748663101603,0.9879679144385026,"{""C"": 0.0030812761748510516}"
blood,1,0,linear,374,374,0.035248740876553636,0.009900990099009901,0.004033070585300518,0.009900990099009901,1.6589333791803629,0.753417160263378,0.9999999999999974,0.9999999999999997,0.753417160263378,0.9999999999999997,1.014891124139484,2.9999474621242825,0.9999340153798659,0.0006758350504004537,0.48128342245989303,180.0,0.9823529411764705,0.991711229946524,"{""C"": 0.002180121271524241}"
blood,1,1,linear,374,374,0.03037279192423975,0.009900990099009901,0.0037719705037148736,0.019801980198019802,1.6168123469823428,0.7649159092822276,0.9999999999999982,0.9999999999999997,0.7649159092822276,0.9999999999999997,1.0942010947346976,2.9999469520517437,1.1258206075989103,0.40049135675584124,0.4839572192513369,181.0,0.993048128342246,0.9949197860962568,"{""C"": 2.6997293516621546}"
blood,2,0,linear,374,374,0.03006658160601802,0.009900990099009901,0.003404630250229933,0.009900990099009901,1.7192745552998239,0.7358778060139873,0.9999999999999984,0.9999999999999998,0.7358778060139873,0.9999999999999998,0.9882463187079199,2.999949237752219,1.0370599173667774,0.31952304247441343,0.4732620320855615,177.0,0.993048128342246,0.9919786096256684,"{""C"": 6.663961937821477}"
blood,2,1,linear,374,374,0.04278890163176072,0.009900990099009901,0.005313062814900641,0.009900990099009901,1.5820686598817597,0.7763365494796106,0.9999999999999977,0.9999999999999997,0.7763365494796106,0.9999999999999997,1.1316958924941223,2.999944692071068,1.0000085886927863,1.9987758216052498e-05,0.4919786096256685,184.0,0.9957219251336897,0.9973262032085561,"{""C"": 0.05980713485585851}"
blood,3,0,linear,374,374,0.031631740358044086,0.009900990099009901,0.0036694975050248213,0.009900990099009901,1.5798934634301403,0.7774129670651835,0.9999999999999971,0.9999999999999996,0.7774129670651835,0.9999999999999996,1.0934271138003717,2.999940472165207,1.0000603187684542,0.00011076424635634812,0.48128342245989303,180.0,0.9887700534759358,0.9895721925133689,"{""C"": 0.029635226559828164}"
blood,3,1,linear,374,374,0.03045352923038331,0.009900990099009901,0.0037033462926980352,0.019801980198019802,1.7103078594391046,0.7379008107600936,0.9999999999999973,0.9999999999999997,0.7379008107600936,0.9999999999999997,1.0171819332851373,2.9999520282595427,1.068834227748084,0.3284628147242376,0.47593582887700536,178.0,0.9893048128342246,0.993048128342246,"{""C"": 28.352033287003067}"
blood,4,0,linear,374,374,0.03076218401013262,0.009900990099009901,0.0037840840195874923,0.009900990099009901,1.6821061438851026,0.7460230760567343,0.9999999999999983,0.9999999999999999,0.7460230760567343,0.9999999999999999,1.0546459859512691,2.999949742164006,1.0000293592784535,0.0005553785384319641,0.4786096256684492,179.0,0.9941176470588234,0.9938502673796793,"{""C"": 0.00258648827901523}"
blood,4,1,linear,374,374,0.02843797595721266,0.009900990099009901,0.0032678488200135344,0.009900990099009901,1.6085393270006998,0.7683728402957541,0.9999999999999979,0.9999999999999996,0.7683728402957541,0.9999999999999996,1.0494462827615356,2.999944628301563,1.000113487500689,0.001207167508346843,0.4919786096256685,184.0,0.993048128342246,0.9959893048128342,"{""C"": 0.10209819381128066}"
