dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
blood,0,0,rbf,374,374,0.034487679278137943,0.009900990099009901,0.0025109831267435194,0.009900990099009901,3.3958028812982115,0.4919894924173058,0.7879850725950455,0.8925104425550873,0.4919894924173058,0.8925104425550873,0.9899421088343955,42.13557179267217,0.9507158277038061,0.3448640057438337,0.4919786096256685,184.0,0.9818181818181819,0.9911764705882352,"{""C"": 0.8454032462009388, ""gamma"": 0.8164708851967988}"
blood,0,1,rbf,374,374,0.05858980029197947,0.009900990099009901,0.005438555259031954,0.009900990099009901,6.949164400889183,0.2844322696855,0.5945326669496716,0.7195453556678173,0.2844322696855,0.7195453556678173,1.0433527042095754,92.0320079683338,0.9997983744554049,0.0008353481455796552,0.4946524064171123,185.0,0.9775401069518715,0.9879679144385026,"{""C"": 0.0030812761748510516, ""gamma"": 3.4696571714328814}"
blood,1,0,rbf,374,374,0.03636298510130032,0.009900990099009901,0.0005468917437133274,0.009900990099009901,1.858263874798051,0.7112831200581401,0.9460249878342861,0.9894659798095212,0.7112831200581401,0.9894659798095212,1.012334148459849,13.604170324723691,0.9844004864645999,0.23368850173519903,0.5080213903743316,190.0,0.9871657754010696,0.9933155080213903,"{""C"": 67.73854940966454, ""gamma"": 0.07507132009276563}"
blood,1,1,rbf,374,374,0.027218975281348947,0.009900990099009901,0.0012322443865409737,0.019801980198019802,2.545659488430112,0.5885960827115241,0.86874719408678,0.9647800813607657,0.5885960827115241,0.9647800813607657,1.0600045314257949,25.6738801233499,1.0299533708015822,0.5822797571668862,0.47058823529411764,176.0,0.990909090909091,0.9957219251336897,"{""C"": 17.992802023612715, ""gamma"": 0.32777052421152214}"
blood,2,0,rbf,374,374,0.03695701689252199,0.009900990099009901,0.0017959961495690772,0.009900990099009901,2.64056380448496,0.58106204801938,0.8406447692668491,0.9411621584017048,0.58106204801938,0.9411621584017048,0.9957876014310607,28.278217610564912,0.9318415104106695,0.4217173330373601,0.4679144385026738,175.0,0.9903743315508021,0.9935828877005348,"{""C"": 78.12011028111026, ""gamma"": 0.37019239823879085}"
blood,2,1,rbf,374,374,0.033543848296530274,0.009900990099009901,0.0014379744173155112,0.009900990099009901,2.353093654309994,0.6200147404764114,0.8828122928675413,0.9727342307952725,0.6200147404764114,0.9727342307952725,1.0821044398027775,23.80186866747846,0.969473280621743,0.33899737874905417,0.5053475935828877,189.0,0.9903743315508021,0.9941176470588234,"{""C"": 29.095248600495516, ""gamma"": 0.29008262664422024}"
blood,3,0,rbf,374,374,0.03111623747004689,0.009900990099009901,0.0025989106201243835,0.009900990099009901,4.092102871053189,0.4283059422524852,0.7475363973554124,0.8518129590724339,0.4283059422524852,0.8518129590724339,1.024850773362865,53.13605940192771,0.9368699185294552,0.2936492202518303,0.5213903743315508,195.0,0.9850267379679145,0.9855614973262032,"{""C"": 0.9495869729844123, ""gamma"": 1.3897935612916905}"
blood,3,1,rbf,374,374,0.048494651227989544,0.009900990099009901,0.0044269476914023395,0.009900990099009901,5.567283970498446,0.3409310479248995,0.6578223571366913,0.7783146225369959,0.3409310479248995,0.7783146225369959,1.0153164417029146,73.43577398909258,0.9921780591136383,0.035337744531268166,0.5106951871657754,191.0,0.9823529411764707,0.993048128342246,"{""C"": 0.0740819637379823, ""gamma"": 2.179707782155865}"
blood,4,0,rbf,374,374,0.039424456851631644,0.009900990099009901,0.003318932400023398,0.009900990099009901,4.511399894255315,0.4025084783321515,0.7124473211623612,0.824164194920163,0.4025084783321515,0.824164194920163,1.0188434106694926,58.42410943975911,0.9467570575414522,0.5527674367444463,0.47593582887700536,178.0,0.9946524064171123,0.9967914438502674,"{""C"": 7.827067871044814, ""gamma"": 1.4501477387291513}"
blood,4,1,rbf,374,374,0.029615908407478006,0.009900990099009901,0.0012777710589573943,0.009900990099009901,2.2747186541424163,0.6359296348050274,0.8769936754922505,0.9607732911923541,0.6359296348050274,0.9607732911923541,1.0327723134854423,23.92635924965514,0.9520842622695115,0.36625813725076634,0.5106951871657754,191.0,0.9903743315508021,0.9941176470588236,"{""C"": 98.33124924930857, ""gamma"": 0.29340499484799126}"
