dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
breast,0,0,custom_gegen,342,341,0.611264213401432,0.009900990099009901,2.659462933697046,0.009900990099009901,5.859343215442371,0.3816666626229884,0.5784915046595124,0.6367472486580846,0.3816666626229884,0.6367472486580846,1.2995639367118748,240.8676043357138,1.611977136037987,1.5002463025470367,0.16422287390029325,56.0,0.48479532163742695,0.5175438596491229,"{""C"": 0.03206265470953976, ""degree"": 3, ""alpha"": 0.28951771564255724}"
breast,0,1,custom_gegen,341,342,0.24305813453584904,0.009900990099009901,1009.5236106450134,0.009900990099009901,6.500794036871466,0.3252582196456201,0.6036139771440259,0.7065981242744509,0.3252582196456201,0.7065981242744509,0.9821607414394843,229.99153035882017,1.6801817013170512,1.556108160212493,0.4239766081871345,145.0,0.2944281524926686,0.3416422287390029,"{""C"": 57.456442865242856, ""degree"": 4, ""alpha"": 0.46496599408133643}"
breast,1,0,custom_gegen,342,341,0.8300211043411037,0.009900990099009901,0.009265771721944167,0.009900990099009901,3.6492006752395443,0.5102683241609113,0.6203921421902743,0.6898007227545824,0.5102683241609113,0.6898007227545824,2.00000205638502,84.41336108257394,1.6511781758876092,1.6776432291303232,0.12609970674486803,43.0,0.5508771929824561,0.6175438596491227,"{""C"": 9.900816736931787, ""degree"": 4, ""alpha"": 0.04422013414498249}"
breast,1,1,custom_gegen,341,342,0.5570306518729549,0.009900990099009901,2.6161197122819244,0.009900990099009901,7.975939071466971,0.3182312338159646,0.5000514726339883,0.5885626905443646,0.3182312338159646,0.5885626905443646,1.1817757908455158,249.9080043871264,1.4356089985700264,1.3930370646288446,0.2777777777777778,95.0,0.4152492668621702,0.4551319648093842,"{""C"": 0.007556866286796829, ""degree"": 6, ""alpha"": 0.2585663751883158}"
breast,2,0,custom_gegen,342,341,0.8177292885892634,0.009900990099009901,0.5883138855494666,0.009900990099009901,4.1478577514231505,0.4769823506611367,0.6021861208999405,0.6672192701837459,0.4769823506611367,0.6672192701837459,1.8079611104526991,209.8723642045913,1.9981547321568678,1.8529948764526425,0.0967741935483871,33.0,0.6491228070175439,0.7090643274853801,"{""C"": 1.0960313622406777, ""degree"": 3, ""alpha"": -0.26645146609470577}"
breast,2,1,custom_gegen,341,342,0.8338537143561364,0.009900990099009901,0.26635586237413467,0.009900990099009901,4.606803938693023,0.44986059311236926,0.5734844617583044,0.6446516437146669,0.44986059311236926,0.6446516437146669,1.7146801942206022,206.66294956263562,1.7125431396078665,1.6319000849002911,0.13450292397660818,46.0,0.5272727272727273,0.6038123167155426,"{""C"": 0.5240129628511916, ""degree"": 3, ""alpha"": 0.1766495786927763}"
breast,3,0,custom_gegen,342,341,0.8487320246433439,0.009900990099009901,0.9528890386995306,0.009900990099009901,4.715770119182108,0.4468490648108633,0.5603000808815808,0.6199924106611537,0.4468490648108633,0.6199924106611537,1.71108778182875,247.9972501332632,1.5950153936942968,1.4784844992169364,0.15542521994134897,53.0,0.6514619883040935,0.6950292397660819,"{""C"": 0.1123227955033044, ""degree"": 6, ""alpha"": -0.30059276687944936}"
breast,3,1,custom_gegen,341,342,0.8087980011013536,0.009900990099009901,0.7977874616942041,0.009900990099009901,4.414625515437432,0.46234584456051864,0.5855062570368712,0.6443103058793058,0.46234584456051864,0.6443103058793058,1.7628441578046412,213.9088219483633,2.270127227259034,2.158556608664207,0.09064327485380116,31.0,0.6299120234604106,0.7055718475073314,"{""C"": 28.490272940874828, ""degree"": 5, ""alpha"": -0.2862012734545536}"
breast,4,0,custom_gegen,342,341,0.29579468891990923,0.009900990099009901,116.17360200459457,0.009900990099009901,9.236851238109779,0.26673685656422175,0.49419223256727973,0.6059109884723352,0.26673685656422175,0.6059109884723352,0.9958999009345563,242.99016883695776,1.683067107307647,1.5750190664254016,0.3489736070381232,119.0,0.29766081871345035,0.3260233918128655,"{""C"": 0.07528444377978973, ""degree"": 6, ""alpha"": 0.37053724752590256}"
breast,4,1,custom_gegen,341,342,0.7614064641831588,0.009900990099009901,4.991271020443204,0.009900990099009901,3.9416192364385685,0.48678016421715375,0.6339358839075504,0.6809953461981115,0.48678016421715375,0.6809953461981115,1.645950037667016,226.3894360090876,1.8318827551261092,1.655098077345379,0.13450292397660818,46.0,0.5900293255131964,0.6266862170087977,"{""C"": 0.08483353614687422, ""degree"": 3, ""alpha"": -0.41550252780903396}"
