dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
breast,0,0,linear,342,341,0.807138651255025,0.009900990099009901,0.9178101985013837,0.009900990099009901,2.0538329866068517,0.6865999619134565,0.8234246421162154,0.9088570910196837,0.6865999619134565,0.9088570910196837,2.7618084905338507,8.999784730747706,1.8505986323820622,1.9952171558075353,0.0967741935483871,33.0,0.7883040935672514,0.8497076023391813,"{""C"": 0.15949246791282742}"
breast,0,1,linear,341,342,0.8274967675858912,0.009900990099009901,0.9212827351766717,0.009900990099009901,1.996921144348532,0.6975141772354045,0.8275859057617165,0.9106925248566241,0.6975141772354045,0.9106925248566241,2.9876477998314646,8.999774901378885,1.8949971187092807,2.041891656647221,0.1111111111111111,38.0,0.8293255131964808,0.843108504398827,"{""C"": 0.250848810178212}"
breast,1,0,linear,342,341,0.8083401251049559,0.009900990099009901,0.9204253673493834,0.009900990099009901,2.0118504377027766,0.694414209868752,0.8295528291614587,0.9092119246448024,0.694414209868752,0.9092119246448024,2.879944175934375,8.999776133724396,1.3113610139292435,1.363178324997942,0.19941348973607037,68.0,0.7888888888888888,0.8187134502923976,"{""C"": 0.02199184386929313}"
breast,1,1,linear,341,342,0.8250599630249428,0.009900990099009901,0.9160993300212313,0.009900990099009901,2.051141543591895,0.6872170455368585,0.8192277493318637,0.9110527812569577,0.6872170455368585,0.9110527812569577,2.8513996940428483,8.999780092233323,1.0795728823403918,1.1026157998521942,0.32748538011695905,112.0,0.8293255131964808,0.8325513196480938,"{""C"": 0.007556866286796829}"
breast,2,0,linear,342,341,0.7996187462242466,0.009900990099009901,0.9125294367002768,0.009900990099009901,2.0147048465421786,0.6929994703000024,0.8408818222693799,0.9186504593652006,0.6929994703000024,0.9186504593652006,2.799865211026398,8.999775456560059,3.0499223756862186,3.3713122487986436,0.06744868035190615,23.0,0.811111111111111,0.8447368421052631,"{""C"": 26.607932733593117}"
breast,2,1,linear,341,342,0.8331659744244853,0.009900990099009901,0.9254857750045701,0.009900990099009901,2.0329188078841063,0.6909614493993452,0.813317943293651,0.9078953669060688,0.6909614493993452,0.9078953669060688,2.943259160753545,8.999777200297444,2.0621202619742305,2.2182394998226385,0.1023391812865497,35.0,0.8234604105571847,0.8577712609970675,"{""C"": 0.6432624990932797}"
breast,3,0,linear,342,341,0.840841425174257,0.009900990099009901,0.9166624693553814,0.009900990099009901,2.0635444080800855,0.6850578982885405,0.8195267646077349,0.9046633011776113,0.6850578982885405,0.9046633011776113,2.9067237417436065,8.999787159653408,1.5519929497784264,1.6498131613135245,0.15249266862170088,52.0,0.8017543859649122,0.8520467836257313,"{""C"": 0.0725699661168608}"
breast,3,1,linear,341,342,0.7940172027262558,0.009900990099009901,0.9206617467555307,0.009900990099009901,1.9975588458542386,0.6972837770893688,0.8292347912713486,0.9114925885621339,0.6972837770893688,0.9114925885621339,2.8301348650701437,8.999770614951785,2.4930029152144497,2.7489688952444182,0.06432748538011696,22.0,0.7730205278592375,0.8208211143695016,"{""C"": 0.5035434394754519}"
breast,4,0,linear,342,341,0.8272956527458014,0.009900990099009901,0.986165953721332,0.009900990099009901,1.9761617682454122,0.7016665722330683,0.8258728551955622,0.9092752028917903,0.7016665722330683,0.9092752028917903,2.9585199279398013,8.99978950763034,2.3590053740424333,2.5175308441065956,0.08797653958944282,30.0,0.8046783625730994,0.8423976608187135,"{""C"": 11.460957114989835}"
breast,4,1,linear,341,342,0.8078982266875063,0.009900990099009901,0.855089516099192,0.009900990099009901,2.082180785059425,0.680928304549173,0.826625936424509,0.9141614615361116,0.680928304549173,0.9141614615361116,2.784010756103165,8.999769152010686,1.883250117421817,2.0344399391195456,0.09064327485380116,31.0,0.7519061583577712,0.7997067448680353,"{""C"": 0.20462223575159158}"
