dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
breast,0,0,poly,342,341,0.8210620488433553,0.009900990099009901,1.688056346545583,0.009900990099009901,2.858341659033277,0.5829481657525095,0.6874431699624598,0.7458140817627013,0.5829481657525095,0.7458140817627013,2.0628762684679818,190.1398714360484,1.421060966829012,1.335595862246001,0.15249266862170088,52.0,0.6842105263157895,0.7201754385964912,"{""C"": 0.018010820443647314, ""degree"": 5, ""gamma"": 2.3418035536877024}"
breast,0,1,poly,341,342,0.8740765221617867,0.009900990099009901,0.5054838734861237,0.009900990099009901,2.534975924602927,0.6183416780478229,0.7390251496950059,0.8045729258867282,0.6183416780478229,0.8045729258867282,2.5387953159664978,136.18297117554943,0.9523660620819876,0.922514894757352,0.48830409356725146,167.0,0.7395894428152492,0.76950146627566,"{""C"": 0.006158432627869638, ""degree"": 3, ""gamma"": 1.2555654792924975}"
breast,1,0,poly,342,341,0.8523184372579722,0.009900990099009901,0.5007288632334962,0.009900990099009901,2.5708593350439717,0.6142118337573425,0.7315636240207817,0.7973963799919526,0.6142118337573425,0.7973963799919526,2.456575910544255,137.48276928505345,2.0668277147882383,1.989890531311946,0.0967741935483871,33.0,0.7269005847953215,0.7461988304093569,"{""C"": 0.49866023473386256, ""degree"": 3, ""gamma"": 1.2252136735673251}"
breast,1,1,poly,341,342,0.8148534737397479,0.009900990099009901,3.1131617405665652,0.009900990099009901,2.763989442558067,0.5930606671476256,0.7040548050951236,0.7513760888205008,0.5930606671476256,0.7513760888205008,2.0121217395826956,198.58231339252586,1.3860505553245857,1.3086051735863995,0.1871345029239766,64.0,0.6387096774193548,0.6791788856304986,"{""C"": 0.007556866286796829, ""degree"": 6, ""gamma"": 0.12580943810953882}"
breast,2,0,poly,342,341,0.8030717171009144,0.009900990099009901,3.0674166110003678,0.009900990099009901,2.7198100941637993,0.5973903206254626,0.7137654037129021,0.7663712113698866,0.5973903206254626,0.7663712113698866,2.0121350094640884,195.49612524747351,2.38285841487966,2.184181465523854,0.08504398826979472,29.0,0.6614035087719298,0.7146198830409357,"{""C"": 0.22551999767431297, ""degree"": 6, ""gamma"": 2.834572111786545}"
breast,2,1,poly,341,342,0.8616588806514278,0.009900990099009901,1.7521131082949741,0.009900990099009901,2.6999434266492006,0.6007758616215827,0.7047749462195471,0.7579887907348151,0.6007758616215827,0.7579887907348151,2.2048537921852702,183.94495568435303,0.9951273223121735,0.9759936261655637,0.4619883040935672,158.0,0.7055718475073313,0.7237536656891496,"{""C"": 0.0022133451765698263, ""degree"": 5, ""gamma"": 0.018198282701248188}"
breast,3,0,poly,342,341,0.8451085895775371,0.009900990099009901,3.0799348173614134,0.009900990099009901,2.675484880010314,0.6036139428931169,0.7072170192904025,0.7563326543275325,0.6036139428931169,0.7563326543275325,2.060044520023655,201.32558236329203,1.2969656238205391,1.2491077287641004,0.22580645161290322,77.0,0.6578947368421053,0.716374269005848,"{""C"": 0.005706540868551556, ""degree"": 6, ""gamma"": 2.61301088715269}"
breast,3,1,poly,341,342,0.7940172027262561,0.009900990099009901,0.10229574963950343,0.009900990099009901,1.997558845854241,0.6972837770893685,0.829234791271348,0.9114925885621332,0.6972837770893685,0.9114925885621332,2.8301348650701437,9.997739047019113,1.6801824642590333,1.7863501383607256,0.10818713450292397,37.0,0.7812316715542521,0.8466275659824049,"{""C"": 0.8988951060107077, ""degree"": 1, ""gamma"": 2.1192777693575344}"
breast,4,0,poly,342,341,0.8681339652072765,0.009900990099009901,0.5184687838353701,0.009900990099009901,2.614235220188213,0.6090925776883922,0.7229815034122967,0.7875462762560911,0.6090925776883922,0.7875462762560911,2.470980877468338,139.20807499541914,2.133131624875384,1.999730542419947,0.10263929618768329,35.0,0.7339181286549706,0.7710526315789475,"{""C"": 1.0303787628511976, ""degree"": 3, ""gamma"": 0.18842467857786355}"
breast,4,1,poly,341,342,0.8295991190459713,0.009900990099009901,1.7006893671794285,0.009900990099009901,2.652671588026614,0.6055544050278027,0.7182852568758228,0.7733740349250166,0.6055544050278027,0.7733740349250166,2.1373144395829042,183.8725440240535,1.4623365594946123,1.3708700113955987,0.15497076023391812,53.0,0.6492668621700879,0.6794721407624633,"{""C"": 0.020189043709809656, ""degree"": 5, ""gamma"": 0.20056851883014135}"
