dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
cervical,0,0,custom_alsalam,36,36,0.05304810703910004,0.5742574257425742,68.67731454087381,0.693069306930693,5.4327103376404215,0.33705007234413903,0.6573197382660331,0.7904417911539543,0.33705007234413903,0.7904417911539543,0.8490870661901905,35.99981189532412,1.181847434439198,1.077222736942415,0.7222222222222222,26.0,0.3222222222222222,0.44999999999999996,"{""C"": 17.76156706365504, ""degree"": 1, ""a"": -1, ""q"": 0.1648833546928881}"
cervical,0,1,custom_alsalam,36,36,0.1734182247484321,0.10891089108910891,2245.2120696429015,0.1485148514851485,31.453112136694987,0.06028347390015656,0.15118200223284556,0.22864723484056682,0.06028347390015656,0.22864723484056682,0.9946247603390763,35.999999772927076,0.9999923323360882,0.9212763871776067,1.0,36.0,0.2944444444444444,0.42500000000000004,"{""C"": 0.01682097845995638, ""degree"": 6, ""a"": -1, ""q"": 0.1126601464499084}"
cervical,1,0,custom_alsalam,36,36,0.06290792639763174,0.46534653465346537,132.41167688929636,0.5544554455445545,5.976827231486794,0.2800873901581047,0.6500140480522203,0.7609653158043808,0.2800873901581047,0.7609653158043808,0.8424862678663954,35.99991725715001,1.5610402033664983,1.8557472596072215,0.6944444444444444,25.0,0.35,0.44166666666666665,"{""C"": 4.207230636589575, ""degree"": 1, ""a"": -1, ""q"": 0.08266268938693265}"
cervical,1,1,custom_alsalam,36,36,0.15318521168037758,0.2376237623762376,16.994148436290903,0.297029702970297,25.82978504755435,0.0878979001511821,0.20636037151579292,0.3070093810377387,0.0878979001511821,0.3070093810377387,0.9915969029210411,35.99996291425848,1.0000444299388382,0.9213329285021398,1.0,36.0,0.3,0.4083333333333334,"{""C"": 2.2054981411146404, ""degree"": 2, ""a"": -1, ""q"": 0.35086672262522844}"
cervical,2,0,custom_alsalam,36,36,0.15260267459074023,0.44554455445544555,458.57656622130065,0.3465346534653465,28.35836183786332,0.07342436298232034,0.1790667025354515,0.2670572646976469,0.07342436298232034,0.2670572646976469,0.9738748723087668,35.999998766548345,0.9999963641322105,0.8958023861071275,1.0,36.0,0.2555555555555556,0.42500000000000004,"{""C"": 78.40605006985449, ""degree"": 6, ""a"": -1, ""q"": 0.2235364374256764}"
cervical,2,1,custom_alsalam,36,36,0.17042079916971167,0.0891089108910891,0.045363389353481914,0.0891089108910891,26.72324574234948,0.0693271698737034,0.1931205671006611,0.2991268681711091,0.0693271698737034,0.2991268681711091,1.0284632376831138,35.98477487601513,0.9939993562365187,0.011096985706505703,1.0,36.0,0.13888888888888892,0.2361111111111111,"{""C"": 0.0033752205374662225, ""degree"": 3, ""a"": -1, ""q"": 0.5248073704033114}"
cervical,3,0,custom_alsalam,36,36,0.15128968702380885,0.40594059405940597,1626.2205292969875,0.38613861386138615,27.33372588303547,0.0780923370853269,0.1912385422171781,0.28782270883686367,0.0780923370853269,0.28782270883686367,0.9735294491496405,35.99999963179654,1.0000021705659683,0.8958088777896525,1.0,36.0,0.19444444444444448,0.3361111111111111,"{""C"": 17.7919655147724, ""degree"": 2, ""a"": -1, ""q"": 0.0859989162422428}"
cervical,3,1,custom_alsalam,36,36,0.048392284516499406,0.40594059405940597,2.7233156548510406e-08,0.31683168316831684,1.9452614450405665,0.5873947711848828,0.9997193094242917,0.9999617897906186,0.5873947711848828,0.9999617897906186,1.3248690677937163,0.06631591614179397,0.9999984676002099,5.333011258938588e-07,0.6111111111111112,22.0,0.3388888888888889,0.32499999999999996,"{""C"": 0.014061732087486874, ""degree"": 1, ""a"": -1, ""q"": 0.7567656249476166}"
cervical,4,0,custom_alsalam,36,36,0.15771207370167753,0.07920792079207921,0.995495963758893,0.0891089108910891,15.19271327069007,0.17023458345849482,0.35405355054648807,0.4564017868033234,0.17023458345849482,0.4564017868033234,0.988451262166387,35.99834506837447,1.0424821769374157,0.9326162434343057,0.8888888888888888,32.0,0.4055555555555556,0.48888888888888893,"{""C"": 0.3778562667212264, ""degree"": 1, ""a"": -1, ""q"": 0.3906918330375112}"
cervical,4,1,custom_alsalam,36,36,0.054464360671856574,0.32673267326732675,3.338304810227438e-09,0.27722772277227725,3.202220582105737,0.5022573157499574,0.7926948785407817,0.9677045477353964,0.5022573157499574,0.9677045477353964,1.2031824095107242,0.009555354907392063,1.000000073265025,1.7185473135047876e-07,0.6111111111111112,22.0,0.25,0.28611111111111115,"{""C"": 0.002047852838545507, ""degree"": 3, ""a"": -1, ""q"": 0.7379389065329824}"
