dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
cervical,0,0,custom_hermite,36,36,0.0306375070757315,0.5544554455445545,3.0391215638246667e-05,0.5742574257425742,2.331877730304534,0.6234570835619357,0.8961958940232705,0.9365086609130142,0.6234570835619357,0.9365086609130142,1.0340456054245577,9.236723271398489,0.9962983639221249,0.008903980188441858,0.6111111111111112,22.0,0.41666666666666663,0.4000000000000001,"{""C"": 17.76156706365504, ""degree"": 1}"
cervical,0,1,custom_hermite,36,36,0.09377593767444424,0.15841584158415842,1.741600054059874e-05,0.13861386138613863,5.610416301021397,0.3381220891761581,0.6486227404301665,0.785113126932228,0.3381220891761581,0.785113126932228,0.9493677232080009,8.710788920199574,0.9942062437209975,0.019501858733499782,0.7777777777777778,28.0,0.4277777777777778,0.4555555555555556,"{""C"": 3.645594039981765, ""degree"": 2}"
cervical,1,0,custom_hermite,36,36,0.04659103795067447,0.2871287128712871,6.522195623009424e-05,0.26732673267326734,2.602716946291083,0.6024755717911697,0.7731420269815569,0.862747878276283,0.6024755717911697,0.862747878276283,0.9617712144879732,14.374939727213812,0.962299845033541,0.18539885265339753,0.7222222222222222,26.0,0.34444444444444444,0.3472222222222222,"{""C"": 21.51547843105738, ""degree"": 3}"
cervical,1,1,custom_hermite,36,36,0.025051682908979123,0.6039603960396039,4.0675001569904653e-05,0.6435643564356436,1.7439661791267302,0.7401610336495319,0.9242910106337103,0.9538462853813116,0.7401610336495319,0.9538462853813116,1.0876225316076678,9.043742739139665,0.9985345557310209,0.003418612883080034,0.7777777777777778,28.0,0.46111111111111114,0.45833333333333326,"{""C"": 2.2054981411146404, ""degree"": 2}"
cervical,2,0,custom_hermite,36,36,0.025661365369750718,0.7425742574257426,5.538865505317362e-05,0.7623762376237624,2.2902848090693206,0.6268156045984326,0.9117210877306509,0.9471967145588591,0.6268156045984326,0.9471967145588591,0.9700314308094509,11.284390594650127,1.000008746690578,0.0004272530071583983,0.5833333333333334,21.0,0.3777777777777778,0.3861111111111112,"{""C"": 0.31981518825969446, ""degree"": 2}"
cervical,2,1,custom_hermite,36,36,0.1268067594375066,0.0594059405940594,3.219981690533472e-05,0.07920792079207921,7.263434173306907,0.24548041784089686,0.5773357672297443,0.7528940692744573,0.24548041784089686,0.7528940692744573,1.078544041077875,11.666271893194018,0.9999118326466271,5.626486516130817e-05,0.6111111111111112,22.0,0.4055555555555556,0.40555555555555556,"{""C"": 0.0033752205374662225, ""degree"": 3}"
cervical,3,0,custom_hermite,36,36,0.02365161588744882,0.504950495049505,3.267343608830236e-05,0.45544554455445546,1.649281567381919,0.7743015898796899,0.8663708843446482,0.9231346799102457,0.7743015898796899,0.9231346799102457,0.9052425842556068,9.918942925578559,0.9762927713248044,0.09211749149599459,0.6666666666666666,24.0,0.4222222222222223,0.44166666666666665,"{""C"": 17.7919655147724, ""degree"": 2}"
cervical,3,1,custom_hermite,36,36,0.050401263617591625,0.2079207920792079,2.9413075084853578e-05,0.15841584158415842,2.3615406905830456,0.6053990785620335,0.8775463913371259,0.9268914328278779,0.6053990785620335,0.9268914328278779,1.1377650749242152,7.994202365080083,1.0000067700096638,1.5065332286714388e-05,0.6111111111111112,22.0,0.4166666666666667,0.39444444444444443,"{""C"": 0.014061732087486874, ""degree"": 1}"
cervical,4,0,custom_hermite,36,36,0.024792717038101545,0.8217821782178217,5.321204365331434e-05,0.8316831683168316,2.314125834999581,0.6234192674906585,0.9071936901204244,0.9483134435506521,0.6234192674906585,0.9483134435506521,0.9373097897945951,11.110223377555604,0.9507195287003982,0.120860175902864,0.7222222222222222,26.0,0.4166666666666667,0.41944444444444445,"{""C"": 72.53232611874147, ""degree"": 2}"
cervical,4,1,custom_hermite,36,36,0.14771990233358745,0.0297029702970297,4.015599331606655e-05,0.0297029702970297,6.961006148923377,0.2727093981495249,0.5710538711275448,0.7587368032516899,0.2727093981495249,0.7587368032516899,1.202460416384255,11.75543570191297,1.0000375559470076,3.106945789559584e-05,0.6111111111111112,22.0,0.4444444444444444,0.4166666666666667,"{""C"": 0.002047852838545507, ""degree"": 3}"
