dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
ecoli,0,0,linear,168,168,0.6296758539578153,0.009900990099009901,0.1168626080027212,0.009900990099009901,3.3264205760138856,0.45540432017107724,0.8278909775961125,0.9818463219034153,0.45540432017107724,0.9818463219034153,2.0155002596249885,5.99939650857646,,,,,1.0,1.0,"{""C"": 5.6706533352385184}"
ecoli,0,1,linear,168,168,0.5857503376066221,0.009900990099009901,0.11342710348890328,0.009900990099009901,3.6765442358693856,0.4294923106805549,0.8011930761811281,0.9680185758449995,0.4294923106805549,0.9680185758449995,1.9779116880634047,6.9994983760102025,,,,,1.0,1.0,"{""C"": 1.7799078591451953}"
ecoli,1,0,linear,168,168,0.6227752222075078,0.009900990099009901,0.11449005950085742,0.009900990099009901,3.5676210629494087,0.4345598832648311,0.7991777968249734,0.9715962657333261,0.4345598832648311,0.9715962657333261,2.0151678336210908,6.999415429276605,,,,,1.0,1.0,"{""C"": 1.1151129934161594}"
ecoli,1,1,linear,168,168,0.5944504513360597,0.009900990099009901,0.11614908593194276,0.009900990099009901,3.4366995388957635,0.4483260238842746,0.831903391371851,0.9770031855239348,0.4483260238842746,0.9770031855239348,1.9861827679050554,5.9995041596321865,,,,,1.0,1.0,"{""C"": 76.43073716200965}"
ecoli,2,0,linear,168,168,0.5921140359078547,0.009900990099009901,0.10481700423641127,0.009900990099009901,3.647501982687944,0.4314150959523127,0.7863558822584864,0.9651363929490718,0.4314150959523127,0.9651363929490718,1.97569805386112,6.9994527808338916,,,,,1.0,1.0,"{""C"": 12.25698660067787}"
ecoli,2,1,linear,168,168,0.6228867217834049,0.009900990099009901,0.12687021121302747,0.009900990099009901,3.3380914751608257,0.45461375889965205,0.8450149754214654,0.9831753976694687,0.45461375889965205,0.9831753976694687,2.0416970689479768,5.999423431862526,,,,,1.0,1.0,"{""C"": 10.987099845151825}"
ecoli,3,0,linear,168,168,0.5926049830457973,0.009900990099009901,0.1151384085328077,0.009900990099009901,3.472721485873648,0.45434776398974736,0.8189164290319458,0.9735566573573797,0.45434776398974736,0.9735566573573797,1.9777994640975571,6.999432801874571,,,,,1.0,1.0,"{""C"": 3.371123779264948}"
ecoli,3,1,linear,168,168,0.6160719494217796,0.009900990099009901,0.11510168371450424,0.009900990099009901,3.458064818957922,0.434412598705042,0.8177790651038186,0.9764085106774669,0.434412598705042,0.9764085106774669,2.032166822662495,5.999549280952813,,,,,1.0,1.0,"{""C"": 22.43557003978851}"
ecoli,4,0,linear,168,168,0.5937804676442313,0.009900990099009901,0.11001203774912115,0.009900990099009901,3.7492631796435285,0.41560590687797655,0.8026483145017913,0.9686535380018904,0.41560590687797655,0.9686535380018904,1.9973251211435854,6.999481871363668,,,,,1.0,1.0,"{""C"": 5.842270170880831}"
ecoli,4,1,linear,168,168,0.6210822382691459,0.009900990099009901,0.1207590765855115,0.009900990099009901,3.251601618618345,0.4714540508328084,0.831710814349819,0.9810183037452178,0.4714540508328084,0.9810183037452178,2.0154317021493067,5.999455408801616,,,,,1.0,1.0,"{""C"": 0.8155456736972195}"
