dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
ecoli,0,0,poly,168,168,0.6343139716890743,0.009900990099009901,0.04661431264800813,0.009900990099009901,3.510747245471537,0.44706213836556036,0.7938346006960887,0.9476036067730406,0.44706213836556036,0.9476036067730406,1.9602104488796461,23.681883074372823,,,,,0.979761904761905,0.9732142857142857,"{""C"": 1.682600940796726, ""degree"": 2, ""gamma"": 0.3905722768710247}"
ecoli,0,1,poly,168,168,0.6023347012189999,0.009900990099009901,0.23531482280531726,0.009900990099009901,4.556871402212752,0.3957700672916635,0.6904398884851318,0.8497184172847039,0.3957700672916635,0.8497184172847039,1.8316930170990082,64.99311018128027,,,,,0.9488095238095239,0.9357142857142856,"{""C"": 1.7799078591451953, ""degree"": 5, ""gamma"": 0.9209980240687392}"
ecoli,1,0,poly,168,168,0.6372144041405347,0.009900990099009901,0.24082108323019064,0.009900990099009901,4.35737160672481,0.3966539703687837,0.714997617009995,0.864630243689117,0.3966539703687837,0.864630243689117,1.8836246448728178,61.92414841506606,,,,,0.9392857142857144,0.9380952380952382,"{""C"": 1.1151129934161594, ""degree"": 5, ""gamma"": 0.4437486396940668}"
ecoli,1,1,poly,168,168,0.6031266972837593,0.009900990099009901,0.13303052707167956,0.009900990099009901,4.078429103696256,0.42588079655969313,0.7319490555631146,0.874674418793373,0.42588079655969313,0.874674418793373,1.820781861665824,54.70563202244065,,,,,0.9404761904761905,0.9297619047619049,"{""C"": 64.52068558233924, ""degree"": 4, ""gamma"": 0.26587751176366775}"
ecoli,2,0,poly,168,168,0.6039215934540803,0.009900990099009901,0.22081122793470107,0.009900990099009901,4.449541105160235,0.39429047590882105,0.7037884177167196,0.8584493254622543,0.39429047590882105,0.8584493254622543,1.8647433505092093,63.01566739525761,,,,,0.9357142857142856,0.9279761904761905,"{""C"": 10.536792180895384, ""degree"": 5, ""gamma"": 0.015857745215633764}"
ecoli,2,1,poly,168,168,0.635223493258301,0.009900990099009901,0.14516655983896676,0.009900990099009901,3.966783246156374,0.43057181211305934,0.7450938064505895,0.8814644309798805,0.43057181211305934,0.8814644309798805,1.8547140035389755,53.70078826263769,,,,,0.9380952380952381,0.9345238095238095,"{""C"": 53.760403198842006, ""degree"": 4, ""gamma"": 0.2543344154054135}"
ecoli,3,0,poly,168,168,0.6033306170057299,0.009900990099009901,0.14706631750974025,0.009900990099009901,4.033314714061579,0.42696650628265476,0.7397380615962519,0.8889750975117252,0.42696650628265476,0.8889750975117252,1.8519496058052856,52.167084687378335,,,,,0.961904761904762,0.9464285714285714,"{""C"": 7.666301593030893, ""degree"": 4, ""gamma"": 0.3359737271312773}"
ecoli,3,1,poly,168,168,0.6160719494217797,0.009900990099009901,0.019183613952417373,0.009900990099009901,3.4580648189579364,0.4344125987050411,0.8177790651038169,0.9764085106774643,0.4344125987050411,0.9764085106774643,2.0321668226624956,6.9964912784354025,,,,,1.0,1.0,"{""C"": 38.1130881878493, ""degree"": 1, ""gamma"": 0.3952894153188826}"
ecoli,4,0,poly,168,168,0.6111910453424113,0.009900990099009901,0.07968040364906981,0.009900990099009901,4.252970957679251,0.3940624727999592,0.741321096857671,0.9040298842293434,0.3940624727999592,0.9040298842293434,1.9170131174343872,41.838587988092826,,,,,0.9678571428571429,0.9660714285714287,"{""C"": 2.132326206538417, ""degree"": 3, ""gamma"": 0.8963436184725015}"
ecoli,4,1,poly,168,168,0.6243999637723907,0.009900990099009901,0.14026917330712382,0.009900990099009901,3.789933337409109,0.4451493887894975,0.7537934877488641,0.8882813024270503,0.4451493887894975,0.8882813024270503,1.864001185288861,52.779622387895145,,,,,0.9297619047619047,0.9321428571428573,"{""C"": 9.457141400729146, ""degree"": 4, ""gamma"": 0.1213570574775292}"
