dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
fertility,0,0,custom_gegen,50,50,0.08082579928430425,0.48514851485148514,0.011037945478556997,0.43564356435643564,15.122763591601215,0.14363220345745173,0.3574818072510011,0.50430560250741,0.14363220345745173,0.50430560250741,0.9945326413667551,49.91476609569712,1.0034652580008436,0.1293926825526697,0.5,25.0,0.7040000000000001,0.7899999999999998,"{""C"": 0.22185661576237073, ""degree"": 6, ""alpha"": 0.1724278190914419}"
fertility,0,1,custom_gegen,50,50,0.004286350637155354,0.25742574257425743,4.331103734175647e-28,0.24752475247524752,1.9807456096397136,0.5492975930833848,0.999999894815832,0.9999999310925115,0.5492975930833848,0.9999999310925115,0.5127711182609668,3.305570668176325e-20,1.0,0.0,0.24,12.0,0.196,0.292,"{""C"": 0.0207504144671666, ""degree"": 4, ""alpha"": 0.6812916873119115}"
fertility,1,0,custom_gegen,50,50,0.07102360943990552,0.900990099009901,2.714712901800265,0.9405940594059405,25.95084830210313,0.08952160913669537,0.23111991250000122,0.3280742825047154,0.08952160913669537,0.3280742825047154,0.8459536396632816,49.999851246419624,1.017543953588468,0.6576877494276607,0.8,40.0,0.3440000000000001,0.34800000000000003,"{""C"": 0.2144149248113878, ""degree"": 6, ""alpha"": 0.3593935373464906}"
fertility,1,1,custom_gegen,50,50,0.051724467025840465,0.5544554455445545,0.0003070438070783505,0.5148514851485149,7.682440328163943,0.22819753120395533,0.5417851122344427,0.7147613865568148,0.22819753120395533,0.7147613865568148,1.0223083210393564,35.20473151935392,1.148767729487475,0.38309948852265774,0.44,22.0,0.824,0.8620000000000002,"{""C"": 26.628805425051315, ""degree"": 5, ""alpha"": 0.0508271340486709}"
fertility,2,0,custom_gegen,50,50,0.004468370955924261,0.45544554455445546,1.4259078552484733e-28,0.3465346534653465,1.902860315568134,0.6129706160778107,0.9999999304462355,0.9999999602656254,0.6129706160778107,0.9999999602656254,0.5125109706295723,1.0246364128368833e-20,1.0,0.0,0.24,12.0,0.236,0.27399999999999997,"{""C"": 8.33704959187178, ""degree"": 2, ""alpha"": 0.8882594927047314}"
fertility,2,1,custom_gegen,50,50,0.10005867767002583,0.504950495049505,0.7588484754621236,0.48514851485148514,24.73958882539015,0.10864525264394584,0.24022771779456312,0.3385611587058965,0.10864525264394584,0.3385611587058965,0.9908174124189032,49.9993070672187,1.0234211312049022,0.609769784155166,0.7,35.0,0.348,0.33199999999999996,"{""C"": 0.06153697466488611, ""degree"": 6, ""alpha"": 0.3120669199142454}"
fertility,3,0,custom_gegen,50,50,0.1472942849455052,0.039603960396039604,1.8542702288442801e-34,0.0594059405940594,5.647821268806401,0.2681108256032977,0.6650882145682648,0.867659900971342,0.2681108256032977,0.867659900971342,2.1655543294463655,7.0009307134237965e-28,1.0,0.0,0.24,12.0,0.20799999999999996,0.23999999999999996,"{""C"": 0.8806139247857493, ""degree"": 3, ""alpha"": 1.3335364679833117}"
fertility,3,1,custom_gegen,50,50,0.006321362143242672,0.46534653465346537,4.568287243581414e-28,0.46534653465346537,2.686322459478807,0.5058581209626332,0.9873534999600676,0.999999923591907,0.5058581209626332,0.999999923591907,0.5211423234377683,2.769254673553451e-20,1.0,0.0,0.24,12.0,0.128,0.204,"{""C"": 0.2150434923319284, ""degree"": 6, ""alpha"": 1.1195800915431864}"
fertility,4,0,custom_gegen,50,50,0.002782973710395419,0.24752475247524752,2.3863680910738066e-29,0.26732673267326734,1.0000020111008798,0.9999989944509975,0.9999994199895538,0.9999997130714481,0.9999989944509975,0.9999997130714481,0.5102329974576871,1.9894404215306887e-21,1.0,0.0,0.24,12.0,0.132,0.22399999999999998,"{""C"": 49.841133016146046, ""degree"": 6, ""alpha"": 1.2830741715906562}"
fertility,4,1,custom_gegen,50,50,0.0046515063768461755,0.38613861386138615,1.5887966478839927e-28,0.31683168316831684,2.2759950201321457,0.5820585322362489,0.9999999117657248,0.9999999450307561,0.5820585322362489,0.9999999450307561,0.5155402729463587,1.1981158242831228e-20,1.0,0.0,0.24,12.0,0.2,0.254,"{""C"": 6.218844124874441, ""degree"": 3, ""alpha"": 1.1158244250374176}"
