dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
fertility,0,0,rbf,50,50,0.1525809711583611,0.10891089108910891,0.004880003748548585,0.0297029702970297,44.79808206232886,0.038293015409424494,0.10847960568169951,0.16960804272342372,0.038293015409424494,0.16960804272342372,0.9988182286860586,49.94281718736105,0.9698447217824255,0.08256679352107427,0.94,47.0,1.0,1.0,"{""C"": 0.22185661576237073, ""gamma"": 1.7104130092615926}"
fertility,0,1,rbf,50,50,0.12240772833392344,0.19801980198019803,0.004869364761962839,0.12871287128712872,26.421787062656065,0.09040595709091825,0.22171007404147686,0.3309450811672922,0.09040595709091825,0.3309450811672922,1.0113582056248236,49.613312075995545,0.9981994045785905,0.005513447024277132,0.68,34.0,1.0,1.0,"{""C"": 0.0207504144671666, ""gamma"": 0.5032413410624206}"
fertility,1,0,rbf,50,50,0.1565718799211871,0.0297029702970297,0.004884041516368514,0.019801980198019802,47.531698039658835,0.03222838672542372,0.08917832747733354,0.13789981085447656,0.03222838672542372,0.13789981085447656,1.0008001920856968,49.947964708262575,0.9703876320352742,0.08025917868377858,0.98,49.0,1.0,1.0,"{""C"": 0.2144149248113878, ""gamma"": 2.924543178794234}"
fertility,1,1,rbf,50,50,0.1325973960483849,0.26732673267326734,0.00453006438744037,0.25742574257425743,38.73306864755398,0.053177688299058445,0.14826634189843832,0.22303618878325135,0.053177688299058445,0.22303618878325135,1.0055757389352233,49.85840824946228,0.9965015683143296,0.00987285616142689,1.0,50.0,1.0,1.0,"{""C"": 0.022848734216582033, ""gamma"": 1.4133315785582232}"
fertility,2,0,rbf,50,50,0.17938579319981549,0.009900990099009901,0.005942482359030498,0.019801980198019802,41.41437056613923,0.04342137950574775,0.125422085870325,0.1968748414919072,0.04342137950574775,0.1968748414919072,0.9991533696218159,48.93963840982696,0.9993767875100836,0.0010468454153434786,0.52,26.0,1.0,1.0,"{""C"": 0.0032185667344636613, ""gamma"": 1.338848972022524}"
fertility,2,1,rbf,50,50,0.13934326524743335,0.40594059405940597,0.004402226093343824,0.25742574257425743,46.179557409605714,0.03990805697605724,0.09740218202060669,0.15151637319607847,0.03990805697605724,0.15151637319607847,1.0013571460062025,49.94528290243735,0.9914386714789255,0.0250598151835681,1.0,50.0,1.0,1.0,"{""C"": 0.06153697466488611, ""gamma"": 3.0701827135297988}"
fertility,3,0,rbf,50,50,0.12785043302805163,0.04950495049504951,0.005514177930683156,0.04950495049504951,14.222953473911161,0.16129081998864495,0.37221335671263656,0.5113998745954546,0.16129081998864495,0.5113998745954546,1.0228175775534607,49.44061174775414,0.9963150896856654,0.13290861619570354,0.54,27.0,1.0,1.0,"{""C"": 0.8806139247857493, ""gamma"": 0.18741982700769566}"
fertility,3,1,rbf,50,50,0.134680346471471,0.6039603960396039,0.004297706469932055,0.5148514851485149,45.07877036122976,0.0404642867867525,0.10611170515295244,0.16342535462656552,0.0404642867867525,0.16342535462656552,1.0006959446311467,49.931867281141216,0.9715225415256353,0.07787775712562643,0.98,49.0,1.0,1.0,"{""C"": 0.2150434923319284, ""gamma"": 1.5946519260552943}"
fertility,4,0,rbf,50,50,0.14328715056054991,0.1782178217821782,0.004447433790070957,0.1485148514851485,48.01981794261271,0.03004614653301483,0.08484811256203736,0.13153555539102096,0.03004614653301483,0.13153555539102096,1.001207494363435,49.94886507904895,1.0002148479607689,0.6499967606768517,0.96,48.0,1.0,1.0,"{""C"": 49.841133016146046, ""gamma"": 3.104459167293192}"
fertility,4,1,rbf,50,50,0.04765202955756103,0.6534653465346535,0.0009383918617968634,0.5247524752475248,7.173516055643217,0.23675231761488508,0.5636552424549802,0.7621702351495767,0.23675231761488508,0.7621702351495767,0.9712558741357369,40.47865723906968,1.1528834402035117,0.312869405163552,0.36,18.0,1.0,1.0,"{""C"": 10.832650619569975, ""gamma"": 0.03035963722302737}"
