dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
fourclass,0,0,custom_hermite,431,431,0.20569931953298218,0.009900990099009901,0.009406520172838129,0.009900990099009901,3.302222572024556,0.37278163695599326,0.9183620867089343,0.9865277970703653,0.37278163695599326,0.9865277970703653,1.1591178113045288,15.448899219502213,0.9745823158564483,0.9475411264904133,0.494199535962877,213.0,0.9299303944315547,0.9262180974477959,"{""C"": 9.086976592582767, ""degree"": 5}"
fourclass,0,1,custom_hermite,431,431,0.1866393514302122,0.009900990099009901,0.004984395601685825,0.009900990099009901,3.1907709485585163,0.3687099275105415,0.9580437642486542,0.9972554229399934,0.3687099275105415,0.9972554229399934,1.1304810803038468,8.709088776930784,0.9958156520014582,0.8832065490875384,0.5104408352668214,220.0,0.8700696055684455,0.8784222737819026,"{""C"": 4.888681075288402, ""degree"": 2}"
fourclass,1,0,custom_hermite,431,431,0.22272809331348675,0.009900990099009901,0.005393620784141929,0.009900990099009901,2.970770939955147,0.390959618965779,0.978497862361826,0.9999999999999996,0.390959618965779,0.9999999999999996,1.1717345088588942,3.9987061688661427,1.1467798244875107,1.150429894337684,0.4965197215777262,214.0,0.8756380510440834,0.8830626450116011,"{""C"": 55.024264973066785, ""degree"": 1}"
fourclass,1,1,custom_hermite,431,431,0.18511535695238396,0.009900990099009901,0.004528685438026578,0.009900990099009901,2.9440256763156603,0.4054840698959792,0.9772618503296856,0.9999999999999994,0.4054840698959792,0.9999999999999994,1.1405586811861295,3.9987534724331724,1.1879126856669329,1.1468205016088928,0.4617169373549884,199.0,0.8635730858468678,0.8867749419953598,"{""C"": 40.98890981505146, ""degree"": 1}"
fourclass,2,0,custom_hermite,431,431,0.17523056053712907,0.009900990099009901,0.0047772479038099515,0.009900990099009901,3.1782857916632636,0.3721212943069982,0.9569240530769922,0.9973051030537913,0.3721212943069982,0.9973051030537913,1.1208782502200036,8.71734686897382,1.0019421674153246,0.9870790895880777,0.4709976798143852,203.0,0.8649651972157772,0.8723897911832948,"{""C"": 78.18493883930306, ""degree"": 2}"
fourclass,2,1,custom_hermite,431,431,0.21138448835698012,0.009900990099009901,0.005521135303400113,0.009900990099009901,3.1771580354901063,0.36941555285759964,0.959609488997884,0.9973393290672358,0.36941555285759964,0.9973393290672358,1.1668516697247076,8.694159814151952,0.8344858691998449,0.7896081298990323,0.691415313225058,298.0,0.8686774941995359,0.8837587006960558,"{""C"": 0.3623284391137388, ""degree"": 2}"
fourclass,3,0,custom_hermite,431,431,0.19186704990344572,0.009900990099009901,0.009560200303017134,0.009900990099009901,3.795493578505319,0.3389289975285802,0.8669356738936032,0.9754966945179868,0.3389289975285802,0.9754966945179868,1.1309845491892303,17.565401163659473,0.9807755713146744,0.9615459126595779,0.4965197215777262,214.0,0.920185614849188,0.9220417633410675,"{""C"": 5.419837752986229, ""degree"": 6}"
fourclass,3,1,custom_hermite,431,431,0.18759625408508482,0.009900990099009901,0.00944621746308115,0.009900990099009901,3.7428936277423266,0.33010147203014795,0.8742335022947931,0.9755850443862856,0.33010147203014795,0.9755850443862856,1.1338359062812613,17.468046132967114,0.8440802102068931,0.7377979171913303,0.5777262180974478,249.0,0.916937354988399,0.9278422273781904,"{""C"": 0.44253752953459297, ""degree"": 6}"
fourclass,4,0,custom_hermite,431,431,0.2504847834655523,0.009900990099009901,0.008824502429763468,0.009900990099009901,3.118902235400632,0.3800138087091802,0.9502891193821879,0.9955689552364793,0.3800138087091802,0.9955689552364793,1.19192446009648,12.348875442656471,0.9365081678177047,0.8139669263414883,0.5823665893271461,251.0,0.88584686774942,0.9013921113689095,"{""C"": 2.442144862442924, ""degree"": 3}"
fourclass,4,1,custom_hermite,431,431,0.15363955858939704,0.009900990099009901,0.005593523907129323,0.009900990099009901,3.355396343678256,0.37178030586839245,0.9254350328335746,0.9915436404507185,0.37178030586839245,0.9915436404507185,1.111867285690229,14.011427060097676,1.0480379509880264,1.0775294378168139,0.43155452436194897,186.0,0.8951276102088167,0.9099767981438516,"{""C"": 17.370853495021322, ""degree"": 4}"
