dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
german,0,0,custom_alsalam,500,500,0.04517073420292027,0.009900990099009901,833.8240209948506,0.009900990099009901,425.48353505994686,0.009620412579054225,0.022650070784149184,0.033903610093237585,0.009620412579054225,0.033903610093237585,0.9948380872599667,499.999999193618,1.000120834285662,0.9165937517984224,0.994,497.0,0.20720000000000002,0.16440000000000005,"{""C"": 30.825200295827173, ""degree"": 4, ""a"": -1, ""q"": 0.22857110971954375}"
german,0,1,custom_alsalam,500,500,0.002780703331349909,0.6534653465346535,2.051114481318037e-28,0.5346534653465347,4.046690391258184,0.4137007221776055,0.7460250975362825,0.8194502329016904,0.4137007221776055,0.8194502329016904,0.960851108017518,1.7634048257344076e-19,1.0,0.0,0.6,300.0,0.19,0.157,"{""C"": 0.13733409805134578, ""degree"": 6, ""a"": -1, ""q"": 0.8396786417333643}"
german,1,0,custom_alsalam,500,500,0.04517408524849798,0.009900990099009901,3312.689179969532,0.009900990099009901,410.18943946610125,0.008995536667284521,0.021858698775772144,0.033181365771621736,0.008995536667284521,0.033181365771621736,0.9907069576609832,499.99999980959154,1.006258143378906,0.921957593497926,0.968,484.0,0.18320000000000003,0.156,"{""C"": 0.003998384015781302, ""degree"": 2, ""a"": -1, ""q"": 0.12157507436410657}"
german,1,1,custom_alsalam,500,500,0.0469328658910746,0.009900990099009901,2802.739509245999,0.009900990099009901,402.9910374369183,0.00968417807479732,0.024056404425581962,0.03602412574190856,0.00968417807479732,0.03602412574190856,1.000171438720024,499.9999989460366,1.0062726763802528,0.921919557724625,0.968,484.0,0.17560000000000003,0.1394,"{""C"": 0.001084028079134384, ""degree"": 2, ""a"": -1, ""q"": 0.13942090471064236}"
german,2,0,custom_alsalam,500,500,0.005610523814239591,0.297029702970297,1.6793326386292082e-20,0.36633663366336633,7.043244348774069,0.3333786149118894,0.5190800053409816,0.6436946027871686,0.3333786149118894,0.6436946027871686,1.0356980920842682,9.446746388088878e-12,1.0,0.0,0.6,300.0,0.1976,0.15719999999999998,"{""C"": 0.0015803934657468008, ""degree"": 1, ""a"": -1, ""q"": 0.7392807480584127}"
german,2,1,custom_alsalam,500,500,0.009309615874573454,0.5544554455445545,1.178362360206656e-14,0.5445544554455446,24.05503922026259,0.09494741905590179,0.27886203323279996,0.40295085173899703,0.09494741905590179,0.40295085173899703,1.0281338466783194,7.387132162127861e-06,0.9999999998146316,2.132832180872874e-11,0.6,300.0,0.106,0.088,"{""C"": 0.6508092861274101, ""degree"": 2, ""a"": -1, ""q"": 0.7031232367500383}"
german,3,0,custom_alsalam,500,500,0.00443722469531705,0.46534653465346537,1.2484056067030573e-33,0.5247524752475248,5.41629005053249,0.33575032763398355,0.6590803785146471,0.755946973272685,0.33575032763398355,0.755946973272685,1.1545017948830627,7.783698442722614e-25,1.0,0.0,0.6,300.0,0.22440000000000004,0.216,"{""C"": 15.475521909865595, ""degree"": 2, ""a"": -1, ""q"": 0.975732663209144}"
german,3,1,custom_alsalam,500,500,0.04401774086530882,0.009900990099009901,1026.7856436833197,0.009900990099009901,409.23160646006824,0.009061490234799423,0.023897979750820114,0.03404010686343438,0.009061490234799423,0.03404010686343438,0.9908530519065551,499.99999932674115,1.0034383695799354,0.9193995684716857,0.974,487.0,0.14880000000000002,0.11980000000000002,"{""C"": 0.04451982993639069, ""degree"": 2, ""a"": -1, ""q"": 0.19665409487897606}"
german,4,0,custom_alsalam,500,500,0.024639375645977617,0.019801980198019802,4.14736196649046e-11,0.019801980198019802,85.09785836907344,0.05279244846761324,0.11737487581575795,0.16945892421510153,0.05279244846761324,0.16945892421510153,1.0454949709091912,0.018507418144986354,0.9999999983336776,3.1336423233417787e-10,0.6,300.0,0.19440000000000002,0.1476,"{""C"": 0.003989103621995407, ""degree"": 1, ""a"": -1, ""q"": 0.6427800470818648}"
german,4,1,custom_alsalam,500,500,0.046251485364871114,0.009900990099009901,5094.187101943442,0.009900990099009901,437.3831992105263,0.008290019216965892,0.01993436766194453,0.03063677750390943,0.008290019216965892,0.03063677750390943,0.9972590925793973,499.99999985677033,1.0009425880980543,0.9171703294573239,0.984,492.0,0.23920000000000002,0.19640000000000005,"{""C"": 34.76168159004099, ""degree"": 3, ""a"": -1, ""q"": 0.11177308238758538}"
