dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
haberman,0,0,custom_gegen,153,153,0.08588873674021576,0.009900990099009901,0.001306129976448318,0.009900990099009901,1.9759479020395074,0.6988004355484314,0.8618895486254687,0.9370251538875511,0.6988004355484314,0.9370251538875511,1.421449718160011,25.404524313656133,0.9393077171209453,0.5569546914616031,0.5294117647058824,81.0,0.42614379084967324,0.42287581699346405,"{""C"": 36.28490170056305, ""degree"": 4, ""alpha"": 1.264775933207747}"
haberman,0,1,custom_gegen,153,153,0.11052020307645084,0.009900990099009901,0.003041060852347758,0.009900990099009901,1.5797527963589635,0.7886478145616823,0.9247149053683028,0.9738285247921217,0.7886478145616823,0.9738285247921217,1.5139831919932674,20.186079136033605,0.9998844305104767,0.0010317930942791579,0.5228758169934641,80.0,0.47189542483660135,0.43725490196078437,"{""C"": 0.003183439180469919, ""degree"": 3, ""alpha"": 1.3996618987468479}"
haberman,1,0,custom_gegen,153,153,0.04726293766702859,0.009900990099009901,0.003353738687947634,0.009900990099009901,3.30536724381278,0.5183490885347889,0.7430035077845946,0.8429136037024729,0.5183490885347889,0.8429136037024729,1.1265215414919127,50.1289665370341,0.9570401076732047,0.6494305070444963,0.5163398692810458,79.0,0.5333333333333333,0.5169934640522875,"{""C"": 3.876779487188052, ""degree"": 6, ""alpha"": 0.6982808661195676}"
haberman,1,1,custom_gegen,153,153,0.13385472186074407,0.009900990099009901,0.003825335128181876,0.009900990099009901,1.6604177311320392,0.7683284291154379,0.9113116868475875,0.9627721476221706,0.7683284291154379,0.9627721476221706,1.6445818706473594,22.560333253850246,1.0001008601104695,0.00019032583256712535,0.5228758169934641,80.0,0.477124183006536,0.4620915032679739,"{""C"": 0.0018258709655428515, ""degree"": 3, ""alpha"": 1.2242229806827145}"
haberman,2,0,custom_gegen,153,153,0.07996723763837253,0.009900990099009901,0.001906465389769396,0.009900990099009901,5.817300871650899,0.2993234105214142,0.6471763859637946,0.8134983632381307,0.2993234105214142,0.8134983632381307,1.0556533828936931,36.69624146888391,0.9760881581759288,0.05339769918107364,0.5816993464052288,89.0,0.7647058823529411,0.7287581699346405,"{""C"": 1.094070665639947, ""degree"": 4, ""alpha"": 0.15523189726356068}"
haberman,2,1,custom_gegen,153,153,0.03402653617886595,0.07920792079207921,0.0077691263873162116,0.0297029702970297,3.7193324888076558,0.4487457835662097,0.7690014093222209,0.8804813179236061,0.4487457835662097,0.8804813179236061,1.0366714517514108,62.0401873015028,0.9986603751652271,0.0039417221266138495,0.5686274509803921,87.0,0.9254901960784313,0.9300653594771242,"{""C"": 0.004800639760492571, ""degree"": 6, ""alpha"": -0.43984223980591713}"
haberman,3,0,custom_gegen,153,153,0.04852872018255559,0.0297029702970297,0.00020700835743587767,0.019801980198019802,5.868809150981431,0.2999792350253725,0.641559175759827,0.8064719968985568,0.2999792350253725,0.8064719968985568,1.0897651323993258,23.895499768446037,0.9993070991288783,0.003214702096732236,0.5620915032679739,86.0,0.7359477124183006,0.7366013071895425,"{""C"": 0.17151961268976793, ""degree"": 5, ""alpha"": 0.07128975066210308}"
haberman,3,1,custom_gegen,153,153,0.020731394198351717,0.13861386138613863,0.0053197749841844225,0.12871287128712872,2.602390006722507,0.5526458488230512,0.8937849139286254,0.9922426872709744,0.5526458488230512,0.9922426872709744,0.9578589815569376,7.9949893680169275,0.9776414745422649,0.16323648407457597,0.5359477124183006,82.0,0.841830065359477,0.8941176470588236,"{""C"": 0.23508326323570303, ""degree"": 1, ""alpha"": 0.49149823654998614}"
haberman,4,0,custom_gegen,153,153,0.06930659339154521,0.009900990099009901,0.001289003318900766,0.009900990099009901,1.591668914438395,0.7858604309183037,0.9170389910484905,0.9716006091742851,0.7858604309183037,0.9716006091742851,1.391802439893246,18.827017319082394,0.9063964717424542,0.234622289929206,0.5424836601307189,83.0,0.407843137254902,0.3941176470588236,"{""C"": 0.4857163692533425, ""degree"": 3, ""alpha"": 1.4374683204664043}"
haberman,4,1,custom_gegen,153,153,0.0697823257203617,0.009900990099009901,0.003834517530999791,0.009900990099009901,1.8194546003902192,0.7233497921209474,0.9289231950860104,0.9933815090987158,0.7233497921209474,0.9933815090987158,1.2518078245460262,7.633957051507744,0.9999539890603595,0.0004759479675807809,0.5686274509803921,87.0,0.5633986928104576,0.5183006535947712,"{""C"": 0.21391968065829547, ""degree"": 1, ""alpha"": 0.7590603795594657}"
