dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
haberman,0,0,custom_hermite,153,153,0.035441832091272406,0.0297029702970297,0.000913047181219195,0.04950495049504951,4.445214282396659,0.35500121262901346,0.7679128473691264,0.9171818962824696,0.35500121262901346,0.9171818962824696,1.0813661463636381,26.640213703163596,0.9150805523594716,0.19560133917600522,0.5620915032679739,86.0,0.8405228758169933,0.8843137254901962,"{""C"": 0.7899529019489095, ""degree"": 6}"
haberman,0,1,custom_hermite,153,153,0.06782113583123735,0.009900990099009901,0.0015108411098256442,0.009900990099009901,3.818469479878454,0.39019017730117683,0.8062029606226031,0.9524849194414946,0.39019017730117683,0.9524849194414946,1.1213656479791028,22.065522383387698,0.9572065129319074,0.12228132526620507,0.5490196078431373,84.0,0.7947712418300652,0.8176470588235294,"{""C"": 2.777376146657948, ""degree"": 4}"
haberman,1,0,custom_hermite,153,153,0.027030237909570914,0.10891089108910891,0.0007055465162278105,0.10891089108910891,4.513561950594536,0.34142276886324446,0.7609081448377801,0.9156312697932715,0.34142276886324446,0.9156312697932715,1.0558360592478626,27.0200527052138,0.9202495186444539,0.5216917408748164,0.5424836601307189,83.0,0.8143790849673203,0.8601307189542485,"{""C"": 3.876779487188052, ""degree"": 6}"
haberman,1,1,custom_hermite,153,153,0.06058737865882394,0.009900990099009901,0.0012039028202229512,0.009900990099009901,3.5807922844973987,0.3996792247505971,0.8595607606116612,0.9666561486778117,0.3996792247505971,0.9666561486778117,1.1438867130410253,18.88510132371218,0.9999658680712264,7.968987179363328e-05,0.5228758169934641,80.0,0.8235294117647058,0.8450980392156864,"{""C"": 0.0018258709655428515, ""degree"": 3}"
haberman,2,0,custom_hermite,153,153,0.06410060369691856,0.009900990099009901,0.0012731336845858748,0.009900990099009901,3.7103604126509695,0.4047153139287889,0.8356727319258601,0.955218361416552,0.4047153139287889,0.955218361416552,1.1164496407590796,20.60738725356809,0.9998366154716717,0.000355359522178324,0.5359477124183006,82.0,0.792156862745098,0.837908496732026,"{""C"": 0.0015366553616847284, ""degree"": 4}"
haberman,2,1,custom_hermite,153,153,0.04774913749193735,0.009900990099009901,0.0009882843239675952,0.009900990099009901,4.0665872038419195,0.3400769442262856,0.7984578977617174,0.9461474471432532,0.3400769442262856,0.9461474471432532,1.114228227359277,21.5872441967651,0.951384710490993,0.6091451766088427,0.5163398692810458,79.0,0.8013071895424835,0.8424836601307192,"{""C"": 35.934885152212104, ""degree"": 4}"
haberman,3,0,custom_hermite,153,153,0.022845867138121884,0.1188118811881188,0.0002642629973764323,0.12871287128712872,3.2557449062938386,0.4245013945675596,0.9124691750455558,0.9939102118577682,0.4245013945675596,0.9939102118577682,1.1310198489399417,7.271517413466662,0.998827693554777,0.00483068231281266,0.5555555555555556,85.0,0.7516339869281045,0.7947712418300654,"{""C"": 0.2553221819995532, ""degree"": 1}"
haberman,3,1,custom_hermite,153,153,0.08165424560849355,0.009900990099009901,0.0011159019576830412,0.009900990099009901,3.330153157060298,0.4142496826566639,0.8799792047595009,0.9878640129034308,0.4142496826566639,0.9878640129034308,1.0970667332882271,7.650965691215896,0.9971642278056083,0.013058609651935319,0.5359477124183006,82.0,0.7385620915032679,0.8026143790849674,"{""C"": 0.23508326323570303, ""degree"": 1}"
haberman,4,0,custom_hermite,153,153,0.018789332437125886,0.297029702970297,0.00044319445496331594,0.25742574257425743,3.976318803591401,0.36981569203841685,0.8200336405567192,0.9390377000304763,0.36981569203841685,0.9390377000304763,1.060442214524714,23.98138246529406,0.9730706617915812,0.6150835148149888,0.5228758169934641,80.0,0.8470588235294118,0.8529411764705882,"{""C"": 9.54472428882735, ""degree"": 5}"
haberman,4,1,custom_hermite,153,153,0.07184500407915825,0.009900990099009901,0.0009303253798460093,0.009900990099009901,3.3487113250639977,0.4178294650164806,0.8885672488273422,0.9915461797163657,0.4178294650164806,0.9915461797163657,1.1405082488357752,7.444706111032191,1.0000618478054115,0.00024112475350612192,0.6078431372549019,93.0,0.7411764705882353,0.7908496732026143,"{""C"": 0.21391968065829547, ""degree"": 1}"
