dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
haberman,0,0,linear,153,153,0.015069356924301046,0.18811881188118812,0.0024537795989785613,0.21782178217821782,2.09106523372681,0.6193482334143935,0.9999999999999996,0.9999999999999997,0.6193482334143935,0.9999999999999997,1.0373555685973053,2.9999372651242204,0.9939112620043787,0.0174636604702439,0.5424836601307189,83.0,0.9986928104575165,0.9967320261437909,"{""C"": 0.02871368855759335}"
haberman,0,1,linear,153,153,0.041336459281131735,0.0297029702970297,0.0061350188771827525,0.009900990099009901,2.357108155391071,0.5739694011606874,0.9999999999999997,0.9999999999999998,0.5739694011606874,0.9999999999999998,1.0453499588663993,2.9999273073498003,0.9996308108796292,0.0009019657942262758,0.5686274509803921,87.0,0.9973856209150327,0.9967320261437909,"{""C"": 55.9621276732667}"
haberman,1,0,linear,153,153,0.011850996321243444,0.3069306930693069,0.001782156491222032,0.32673267326732675,2.1830143575459666,0.6136132994526873,0.9999999999999998,1.0,0.6136132994526873,1.0,1.0206743628459491,2.9999274607113,0.9467877099311118,0.6370173055149242,0.5228758169934641,80.0,0.9973856209150327,0.9980392156862744,"{""C"": 27.628298112048522}"
haberman,1,1,linear,153,153,0.030058414212529833,0.019801980198019802,0.0048026350802341765,0.07920792079207921,2.283638076709238,0.5756445571655869,0.9999999999999997,0.9999999999999998,0.5756445571655869,0.9999999999999998,1.0572159309259632,2.9999365294326017,0.9996687229805875,0.0005377484969550071,0.5294117647058824,81.0,0.9960784313725489,0.9967320261437909,"{""C"": 0.0018258709655428515}"
haberman,2,0,linear,153,153,0.03542584021925854,0.019801980198019802,0.005420834216549129,0.0594059405940594,2.17712973695205,0.6085737736105015,0.9999999999999994,0.9999999999999998,0.6085737736105015,0.9999999999999998,1.0545093086843853,2.9999317422513503,0.9998532236995034,0.00040846721065531164,0.5424836601307189,83.0,0.9986928104575165,0.9986928104575165,"{""C"": 0.0015366553616847284}"
haberman,2,1,linear,153,153,0.03201231766826259,0.07920792079207921,0.005029786398425996,0.039603960396039604,2.279618270595166,0.5862701962813764,0.9999999999999996,0.9999999999999998,0.5862701962813764,0.9999999999999998,1.0549138589143214,2.9999328352266463,0.9246033762943336,0.27741976674420704,0.5359477124183006,82.0,0.9947712418300653,0.9947712418300653,"{""C"": 35.934885152212104}"
haberman,3,0,linear,153,153,0.02046545196807256,0.15841584158415842,0.003181791799283732,0.0891089108910891,2.1423526688541323,0.6091678210712663,0.9999999999999998,0.9999999999999998,0.6091678210712663,0.9999999999999998,1.0960361703481578,2.9999355561868244,0.9997984123061595,0.0006246377167121131,0.5751633986928104,88.0,0.9986928104575165,0.9967320261437909,"{""C"": 0.2553221819995532}"
haberman,3,1,linear,153,153,0.022047798737894888,0.15841584158415842,0.0034298374919594656,0.09900990099009901,2.304618682728816,0.5840169876270022,0.9999999999999997,0.9999999999999999,0.5840169876270022,0.9999999999999999,0.9959162767918757,2.999929450724891,0.9746058778437207,0.1232193520139949,0.5294117647058824,81.0,0.9934640522875817,0.9980392156862744,"{""C"": 0.23508326323570303}"
haberman,4,0,linear,153,153,0.010712640962741538,0.32673267326732675,0.001642812244405703,0.297029702970297,2.194309228844649,0.6072941580083052,0.9999999999999998,0.9999999999999998,0.6072941580083052,0.9999999999999998,1.0291976372365446,2.999931000893527,0.9655817113670108,0.6695472121935176,0.5163398692810458,79.0,0.9960784313725489,0.9973856209150328,"{""C"": 69.6442438227742}"
haberman,4,1,linear,153,153,0.028277027447316815,0.07920792079207921,0.0044832987413902245,0.039603960396039604,2.2441850759291597,0.5916079774174551,0.9999999999999996,0.9999999999999998,0.5916079774174551,0.9999999999999998,1.0507209787626504,2.999933741108019,0.9999131687339284,0.000498046773649376,0.5490196078431373,84.0,0.9973856209150327,0.9980392156862744,"{""C"": 0.21391968065829547}"
