dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
haberman,0,0,poly,153,153,0.02165916420684755,0.13861386138613863,0.010512793125655942,0.1485148514851485,2.8780694386364214,0.5228426312832043,0.8439681197637342,0.9515231016169834,0.5228426312832043,0.9515231016169834,1.018188495312418,27.79538894688406,1.1847048173488235,0.9883838052516617,0.5294117647058824,81.0,0.8653594771241828,0.8941176470588236,"{""C"": 36.28490170056305, ""degree"": 4, ""gamma"": 2.076819178108666}"
haberman,0,1,poly,153,153,0.03947240515050828,0.0297029702970297,0.009320356009447531,0.009900990099009901,3.096266805391059,0.4986443146469056,0.8583986689144325,0.9460579077465187,0.4986443146469056,0.9460579077465187,1.0227591907093654,19.56443785791071,0.9997917747284345,0.0003626273479376028,0.5751633986928104,88.0,0.8993464052287581,0.9150326797385621,"{""C"": 0.003183439180469919, ""degree"": 3, ""gamma"": 3.0243618237728342}"
haberman,1,0,poly,153,153,0.01930687728260505,0.21782178217821782,0.008249845846826266,0.16831683168316833,3.0216776271735286,0.5214823042173728,0.8188460339730386,0.933846960723066,0.5214823042173728,0.933846960723066,0.9961579050900127,28.35356381440938,0.8804726673154702,0.42342308956288505,0.5555555555555556,85.0,0.8679738562091502,0.8954248366013072,"{""C"": 0.2966699358490568, ""degree"": 4, ""gamma"": 3.054517343737357}"
haberman,1,1,poly,153,153,0.030882764693405125,0.0297029702970297,0.008191417625563671,0.06930693069306931,2.9323955036084866,0.5013076302506334,0.8760362450520252,0.9599895347938067,0.5013076302506334,0.9599895347938067,1.0395461072008358,19.419386184927756,0.9997884256322678,0.000494869774736522,0.5620915032679739,86.0,0.8888888888888888,0.9176470588235296,"{""C"": 0.0018258709655428515, ""degree"": 3, ""gamma"": 1.8549093274357142}"
haberman,2,0,poly,153,153,0.03542584021925855,0.019801980198019802,0.0018069447388497095,0.0594059405940594,2.1771297369520584,0.6085737736105002,0.9999999999999976,0.9999999999999997,0.6085737736105002,0.9999999999999997,1.054509308684385,3.999449864521619,0.9996196484099636,0.0012108561539848149,0.5620915032679739,86.0,0.9986928104575165,0.996078431372549,"{""C"": 1.1095478151324647, ""degree"": 1, ""gamma"": 0.201538197233672}"
haberman,2,1,poly,153,153,0.031094645269796186,0.07920792079207921,0.03875470635767654,0.04950495049504951,3.8555934263219878,0.42874623340061474,0.7656055393987021,0.9097392493973019,0.42874623340061474,0.9097392493973019,1.0338229058499138,43.60375179109572,0.995195478565744,0.017321460273554287,0.5686274509803921,87.0,0.8235294117647058,0.8444444444444446,"{""C"": 0.004800639760492571, ""degree"": 6, ""gamma"": 0.017968816955545367}"
haberman,3,0,poly,153,153,0.02021977509285967,0.15841584158415842,0.005232707313365496,0.10891089108910891,2.768504979518171,0.5338141222485902,0.8666332394646158,0.9583677935316208,0.5338141222485902,0.9583677935316208,1.0825755894609757,18.958198315372872,0.9996355023267353,0.0012472166661026938,0.5751633986928104,88.0,0.8888888888888887,0.9313725490196079,"{""C"": 0.005507741395432363, ""degree"": 3, ""gamma"": 0.07352569578822116}"
haberman,3,1,poly,153,153,0.022047798737894878,0.15841584158415842,0.0011432791639864879,0.09900990099009901,2.304618682728825,0.5840169876270008,0.999999999999998,0.9999999999999997,0.5840169876270008,0.9999999999999997,0.9959162767918757,3.9995467261851037,0.9914564055187363,0.041145446402958114,0.5294117647058824,81.0,0.9986928104575165,0.9954248366013071,"{""C"": 0.23508326323570303, ""degree"": 1, ""gamma"": 0.2407689996209055}"
haberman,4,0,poly,153,153,0.012277849655072351,0.32673267326732675,0.0030690731226161285,0.297029702970297,2.856777043997992,0.5283116280278308,0.868512928663119,0.9562586059401998,0.5283116280278308,0.9562586059401998,1.0197437577427082,19.355981022201224,0.8936133491269582,0.4380799824398234,0.5490196078431373,84.0,0.9098039215686273,0.9084967320261438,"{""C"": 0.4857163692533425, ""degree"": 3, ""gamma"": 3.3603613148274847}"
haberman,4,1,poly,153,153,0.028277027447316815,0.07920792079207921,0.0014944329137967418,0.039603960396039604,2.244185075929163,0.5916079774174545,0.9999999999999989,0.9999999999999997,0.5916079774174545,0.9999999999999997,1.0507209787626501,3.999499399389959,0.999878015998918,0.0005069204772648521,0.5490196078431373,84.0,0.9921568627450981,0.9941176470588234,"{""C"": 0.21391968065829547, ""degree"": 1, ""gamma"": 0.5074537553642743}"
