dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
haberman,0,0,rbf,153,153,0.031876615778397746,0.1188118811881188,0.0031601618629592183,0.10891089108910891,9.23342473122245,0.22574553577858542,0.49634443933649863,0.6502879666073238,0.22574553577858542,0.6502879666073238,1.0199960605081695,79.462005679259,0.9369492587976571,0.5577778010578611,0.5947712418300654,91.0,0.9973856209150327,0.9967320261437909,"{""C"": 1.2084327423155854, ""gamma"": 2.454725189303408}"
haberman,0,1,rbf,153,153,0.0394478052772212,0.0297029702970297,0.0014208945604971873,0.009900990099009901,2.9749239490720756,0.5069342134062887,0.8868579627512712,0.9588649267124549,0.5069342134062887,0.9588649267124549,1.0399610388012757,20.674445048911373,0.9999091759911872,0.0002308843164299972,0.5294117647058824,81.0,0.9986928104575165,0.9967320261437909,"{""C"": 0.003183439180469919, ""gamma"": 0.1592468453975206}"
haberman,1,0,rbf,153,153,0.01252936358858536,0.31683168316831684,0.000261064782512974,0.3069306930693069,2.4319930299979484,0.5805583275454915,0.9429318230857918,0.9796642967734303,0.5805583275454915,0.9796642967734303,1.0191305019558943,14.82045427052147,0.913265601633754,0.5516488083075467,0.5359477124183006,82.0,0.9973856209150327,0.9980392156862744,"{""C"": 25.795791310115913, ""gamma"": 0.07938032301664716}"
haberman,1,1,rbf,153,153,0.033388273308604256,0.019801980198019802,0.00168151184664868,0.06930693069306931,3.0748119611843037,0.4883720758646222,0.8640826735760235,0.9521695083482976,0.4883720758646222,0.9521695083482976,1.0523879044962228,24.1075223583245,1.0000693418034663,0.00020513624202161458,0.5228758169934641,80.0,0.9960784313725489,0.996078431372549,"{""C"": 0.0018258709655428515, ""gamma"": 0.22601183049256543}"
haberman,2,0,rbf,153,153,0.042013303809967664,0.019801980198019802,0.0030903943982604288,0.0594059405940594,3.567053270394658,0.4578487156008201,0.779669212479424,0.9055433371644498,0.4578487156008201,0.9055433371644498,1.0411067120350317,32.7158185499311,0.999889417871472,0.00035976809888151816,0.5424836601307189,83.0,0.9973856209150327,0.9986928104575165,"{""C"": 0.0015366553616847284, ""gamma"": 0.45762368756952104}"
haberman,2,1,rbf,153,153,0.03226007462130004,0.07920792079207921,0.0003178562808530389,0.039603960396039604,2.39647653901482,0.5709794502941417,0.976051027896182,0.9929819171630834,0.5709794502941417,0.9929819171630834,1.054025466602144,10.502714770669835,0.9995821816048119,0.0008221978237406702,0.5294117647058824,81.0,1.0,0.9967320261437909,"{""C"": 0.023665596295252205, ""gamma"": 0.03326338012040496}"
haberman,3,0,rbf,153,153,0.020837344803158044,0.1485148514851485,0.00021516047832134615,0.0891089108910891,2.2575063749457995,0.5928856308164661,0.9734113847161823,0.9925542679012844,0.5928856308164661,0.9925542679012844,1.0933171795097456,10.4082221441194,0.9998765436431687,0.0007530864775879574,0.5947712418300654,91.0,1.0,0.9993464052287582,"{""C"": 0.2553221819995532, ""gamma"": 0.03538638535945104}"
haberman,3,1,rbf,153,153,0.02250961538529809,0.13861386138613863,0.0001105792252482456,0.09900990099009901,2.360880831719606,0.5767015335256456,0.9881708536105993,0.9959362246454998,0.5767015335256456,0.9959362246454998,0.9963557211652411,8.70879341994544,0.9989800895974155,0.004001324959977645,0.5294117647058824,81.0,0.9934640522875817,0.9980392156862744,"{""C"": 0.23508326323570303, ""gamma"": 0.01624801143926286}"
haberman,4,0,rbf,153,153,0.010854741837052576,0.3465346534653465,0.000205932467107175,0.297029702970297,2.4395662491152486,0.5734427045113313,0.9490511090222206,0.9840734819979239,0.5734427045113313,0.9840734819979239,1.0266562661616978,13.82330877675435,0.9638554181237319,0.6144597409498636,0.5163398692810458,79.0,0.9973856209150327,0.9973856209150327,"{""C"": 69.6442438227742, ""gamma"": 0.07012419485666854}"
haberman,4,1,rbf,153,153,0.02940630912229834,0.07920792079207921,0.0003400974323736149,0.039603960396039604,2.37107456826878,0.5745391623808956,0.9737671322814606,0.9919667639072163,0.5745391623808956,0.9919667639072163,1.0505203804765701,11.015524418525864,0.9999177988730308,0.00034305805404625736,0.6078431372549019,93.0,0.9973856209150327,0.9954248366013071,"{""C"": 0.21391968065829547, ""gamma"": 0.03900459084209044}"
