dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
heart,0,0,poly,135,135,0.36490465855227155,0.009900990099009901,0.07995585096536595,0.009900990099009901,8.580049617347953,0.2462776294636052,0.5067853644329627,0.6708640474871301,0.2462776294636052,0.6708640474871301,1.1474881030479083,92.69453984566793,0.7166663385735957,0.7756301106309758,0.7851851851851852,106.0,0.9629629629629629,0.9562962962962962,"{""C"": 0.06577241832080336, ""degree"": 2, ""gamma"": 0.07902096687370136}"
heart,0,1,poly,135,135,0.309639900751014,0.009900990099009901,0.026323703139494028,0.009900990099009901,6.499655827393198,0.26986463377210707,0.5888354438735135,0.7690789702031673,0.26986463377210707,0.7690789702031673,1.1353614103791931,13.9899620315922,1.0933720680139716,1.2169018201136288,0.5037037037037037,68.0,1.0,1.0,"{""C"": 0.7910240644869242, ""degree"": 1, ""gamma"": 2.183278128411815}"
heart,1,0,poly,135,135,0.28682689498307384,0.009900990099009901,0.500438578312333,0.009900990099009901,19.253810413570182,0.1421746178623637,0.3215720768905148,0.4282581571907601,0.1421746178623637,0.4282581571907601,1.059523185536589,134.64589831459426,1.5506376317235298,1.7582065633701438,0.5037037037037037,68.0,0.8399999999999999,0.8274074074074074,"{""C"": 34.746394032034814, ""degree"": 6, ""gamma"": 3.7154686061482263}"
heart,1,1,poly,135,135,0.3427301386269359,0.009900990099009901,0.13656409297499114,0.009900990099009901,10.130551536488467,0.22311303847827454,0.4729663798154172,0.6083434594676127,0.22311303847827454,0.6083434594676127,1.1220593110514783,125.67794942788585,1.6569539890304268,1.9767806857845747,0.4222222222222222,57.0,0.9392592592592592,0.9437037037037037,"{""C"": 4.174041849389115, ""degree"": 3, ""gamma"": 1.0094512390236123}"
heart,2,0,poly,135,135,0.3136825944738167,0.009900990099009901,0.028534881373720157,0.009900990099009901,6.573440292772111,0.2768973587637223,0.5861652930811548,0.7695441434292344,0.2768973587637223,0.7695441434292344,1.1390213102846483,13.991256561089585,0.8620262579676587,0.9447261312697127,0.6296296296296297,85.0,1.0,1.0,"{""C"": 0.26411230609313596, ""degree"": 1, ""gamma"": 0.040674948478814324}"
heart,2,1,poly,135,135,0.36809416910545223,0.009900990099009901,0.032423978467000535,0.009900990099009901,6.386765182265362,0.2850916224892753,0.59296218954344,0.7735793782302925,0.2850916224892753,0.7735793782302925,1.175228518041667,13.990228819538345,1.7320490945833351,1.9885649350208627,0.4148148148148148,56.0,1.0,1.0,"{""C"": 49.41177909602678, ""degree"": 1, ""gamma"": 0.03420758597834002}"
heart,3,0,poly,135,135,0.275120283410082,0.009900990099009901,0.30192260873138127,0.009900990099009901,15.730769394999236,0.16797593582026116,0.3644617918452643,0.4810081461970409,0.16797593582026116,0.4810081461970409,1.0674798272909463,134.28097539878507,1.0907816079609813,1.1659546081739594,0.5333333333333333,72.0,0.8874074074074073,0.8555555555555555,"{""C"": 0.11233688628816411, ""degree"": 5, ""gamma"": 0.4690393691339788}"
heart,3,1,poly,135,135,0.3499708143138908,0.009900990099009901,0.030834794231808224,0.009900990099009901,6.573660250080947,0.2662048510866882,0.5881771747461887,0.770218867845545,0.2662048510866882,0.770218867845545,1.1639037975443112,13.990556400776825,0.9319328932849716,1.0246611532669292,0.5777777777777777,78.0,1.0,1.0,"{""C"": 0.6253443944974195, ""degree"": 1, ""gamma"": 0.021348228610152023}"
heart,4,0,poly,135,135,0.33049980264385587,0.009900990099009901,0.13002142440598607,0.009900990099009901,10.541329622880555,0.22039442121543212,0.4533361092976612,0.5962665890693962,0.22039442121543212,0.5962665890693962,1.108797452189272,127.4903665339584,1.1743306572163357,1.2805844659303565,0.4666666666666667,63.0,0.9496296296296295,0.9444444444444445,"{""C"": 0.346011320723217, ""degree"": 3, ""gamma"": 0.03800840008296097}"
heart,4,1,poly,135,135,0.33376310151591654,0.009900990099009901,0.02930067630453386,0.009900990099009901,6.695492840199656,0.2603746757361332,0.5855606067615277,0.7660675989307619,0.2603746757361332,0.7660675989307619,1.1530370427263934,13.990507866201767,0.8907587634586451,0.9563053806443382,0.6148148148148148,83.0,1.0,1.0,"{""C"": 0.3356197596949175, ""degree"": 1, ""gamma"": 1.561642075150287}"
