dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
heart,0,0,rbf,135,135,0.3609312319057356,0.009900990099009901,0.025623322939239485,0.009900990099009901,10.456169128989458,0.22154121342560343,0.4559561173465687,0.6043604136917986,0.22154121342560343,0.6043604136917986,1.1327126993851704,118.88434379313847,1.1184441144164392,1.2116679294493868,0.5333333333333333,72.0,1.0,1.0,"{""C"": 1.864774222425873, ""gamma"": 0.053003600426974634}"
heart,0,1,rbf,135,135,0.14436003159829264,0.009900990099009901,0.009061450790570838,0.009900990099009901,59.3043304578305,0.05852939744431395,0.13570095338105115,0.19961907776851517,0.05852939744431395,0.19961907776851517,1.0136400623565818,134.32924163469485,0.955980336115498,0.9682226611285767,0.837037037037037,113.0,1.0,1.0,"{""C"": 1.335843743535269, ""gamma"": 0.5849218292224746}"
heart,1,0,rbf,135,135,0.3240936909310707,0.009900990099009901,0.020385560597955973,0.009900990099009901,10.201529146081386,0.21365721374544094,0.4588731925941713,0.6207794400884705,0.21365721374544094,0.6207794400884705,1.1163166104786126,115.12984324741609,0.8420647820653155,0.8884083366016245,0.6666666666666666,90.0,1.0,1.0,"{""C"": 0.31870663763963647, ""gamma"": 0.044633532054635654}"
heart,1,1,rbf,135,135,0.3628968327973853,0.009900990099009901,0.017823781887342263,0.009900990099009901,7.992929311051014,0.2577377881882014,0.5356133878601486,0.6880828399508883,0.2577377881882014,0.6880828399508883,1.1500419085234748,98.24261355261942,1.2911189772264131,1.4770344230042898,0.4444444444444444,60.0,1.0,1.0,"{""C"": 5.7343211890340475, ""gamma"": 0.029045121330276587}"
heart,2,0,rbf,135,135,0.30946859687963646,0.009900990099009901,0.014103362088549076,0.009900990099009901,8.396633125737798,0.24418882197858469,0.5171261915361175,0.678056715017874,0.24418882197858469,0.678056715017874,1.1199300463408424,98.94928564883122,1.257573825592393,1.3978810914153275,0.43703703703703706,59.0,1.0,1.0,"{""C"": 4.132544706848212, ""gamma"": 0.026086932397271133}"
heart,2,1,rbf,135,135,0.3570137846038597,0.009900990099009901,0.028569662869215067,0.009900990099009901,12.204307178842425,0.1963465517508509,0.42393844975929734,0.5559188969352951,0.1963465517508509,0.5559188969352951,1.1179852247403796,124.77248345493271,1.7777086061982632,2.0831637610329565,0.5111111111111111,69.0,1.0,1.0,"{""C"": 72.99421488020215, ""gamma"": 0.07762547560983704}"
heart,3,0,rbf,135,135,0.31840740684038854,0.009900990099009901,0.01630984716109885,0.009900990099009901,8.457885948927785,0.2505112677100976,0.5105149177344648,0.6747345218366516,0.2505112677100976,0.6747345218366516,1.1237275984247086,103.47636098425387,1.577182523649804,1.7856331424753058,0.4,54.0,1.0,1.0,"{""C"": 41.71436695988247, ""gamma"": 0.030620642822518102}"
heart,3,1,rbf,135,135,0.219592613874622,0.009900990099009901,0.01583037089129693,0.009900990099009901,42.33586641946953,0.07312958965021868,0.18392050672358398,0.26794854830618936,0.07312958965021868,0.26794854830618936,1.0319491722271719,133.60354532826602,1.066660255967367,1.0692762716459419,0.7481481481481481,101.0,1.0,1.0,"{""C"": 98.46248512577903, ""gamma"": 0.3762136556471017}"
heart,4,0,rbf,135,135,0.2816128428555828,0.009900990099009901,0.024292109464128145,0.009900990099009901,22.445311704964602,0.13237159860974074,0.2913979210164297,0.3935110169939933,0.13237159860974074,0.3935110169939933,1.0624383471989913,132.09522201813917,0.8467937856687783,0.9071227451648814,0.7037037037037037,95.0,1.0,1.0,"{""C"": 0.346011320723217, ""gamma"": 0.17791856859983454}"
heart,4,1,rbf,135,135,0.3196810971104822,0.009900990099009901,0.02656562943823428,0.009900990099009901,14.635832552344711,0.16847832972729532,0.38414076002976727,0.509414964378176,0.16847832972729532,0.509414964378176,1.0945072853408735,128.21456658793548,0.7590576462078157,0.8152523302413979,0.7555555555555555,102.0,1.0,1.0,"{""C"": 0.1765329974394124, ""gamma"": 0.09565935948521397}"
