dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
hepatitis,0,0,custom_alsalam,40,40,0.1697356354769481,0.019801980198019802,0.18656191167115913,0.04950495049504951,33.28590423238839,0.07354886570568708,0.15261000006661146,0.2164816987870267,0.07354886570568708,0.2164816987870267,1.0227902203730599,39.99790960171629,0.9583422384181948,0.09104528017200894,1.0,40.0,0.29500000000000004,0.3175,"{""C"": 0.007841840497753518, ""degree"": 6, ""a"": -1, ""q"": 0.4771651379476063}"
hepatitis,0,1,custom_alsalam,40,40,0.019151030296468675,0.1782178217821782,2.5174723693586306e-27,0.2079207920792079,1.4330834537266712,0.8324835770346618,0.9150132769943781,0.9471109028350161,0.8324835770346618,0.9471109028350161,1.2208615009451933,2.12647094775385e-20,1.0,0.0,0.3,12.0,0.27999999999999997,0.34750000000000003,"{""C"": 0.34967748570163615, ""degree"": 2, ""a"": -1, ""q"": 0.9416764975687861}"
hepatitis,1,0,custom_alsalam,40,40,0.1944283665077578,0.019801980198019802,8.444484878394608e-08,0.019801980198019802,24.668710393366656,0.07500723705965148,0.21471793652378895,0.3213184614134174,0.07500723705965148,0.3213184614134174,1.1351014744911274,0.3296825429594814,1.0000000009426782,7.107756793578203e-08,0.35,14.0,0.265,0.3325,"{""C"": 0.018384161706270656, ""degree"": 2, ""a"": -1, ""q"": 0.6443206701993187}"
hepatitis,1,1,custom_alsalam,40,40,0.15329373350760758,0.5544554455445545,413.4261445489098,0.5346534653465347,36.62459615945067,0.04570846397786062,0.12059796619625207,0.18503101292052387,0.04570846397786062,0.18503101292052387,0.9955167418603709,39.999999185345004,1.0004788390255408,0.7143641003179282,0.975,39.0,0.15,0.25,"{""C"": 0.22415838532195104, ""degree"": 5, ""a"": -1, ""q"": 0.22770303657936325}"
hepatitis,2,0,custom_alsalam,40,40,0.14948395197354034,0.4158415841584158,111.94276131207597,0.4158415841584158,33.58856580870781,0.06348721336393631,0.1606236777712865,0.22099851942738008,0.06348721336393631,0.22099851942738008,0.9861800002382123,39.99999688859458,0.9999935781573278,0.7599258044533374,1.0,40.0,0.23500000000000001,0.2625,"{""C"": 67.22876821378797, ""degree"": 6, ""a"": -1, ""q"": 0.29070233843905324}"
hepatitis,2,1,custom_alsalam,40,40,0.15923276184519747,0.21782178217821782,0.07946869650171311,0.2871287128712871,34.24553926120575,0.05578055968525077,0.14088294295877155,0.2129099660697629,0.05578055968525077,0.2129099660697629,1.0046566517899707,39.9935873280095,0.9689789955190331,0.07433891462717225,0.975,39.0,0.325,0.3925,"{""C"": 0.014888118804606472, ""degree"": 5, ""a"": -1, ""q"": 0.49330115359166526}"
hepatitis,3,0,custom_alsalam,40,40,0.17377991749816718,0.04950495049504951,2.4699618337013198e-23,0.019801980198019802,5.217802692226619,0.35051363573609745,0.6521953140260012,0.8259227584570578,0.35051363573609745,0.8259227584570578,2.0408600424829095,4.9669042107256115e-17,1.0,0.0,0.35,14.0,0.23500000000000001,0.3125,"{""C"": 10.171559512625224, ""degree"": 6, ""a"": -1, ""q"": 0.9893926853741127}"
hepatitis,3,1,custom_alsalam,40,40,0.16623740225561087,0.07920792079207921,0.10639525408570895,0.09900990099009901,33.26348767185236,0.058573211831253615,0.15175243781538467,0.2197241269908506,0.058573211831253615,0.2197241269908506,1.0182505575164573,39.993788814345606,0.9585270744008259,0.0988719687503088,1.0,40.0,0.30999999999999994,0.335,"{""C"": 0.01663094818013619, ""degree"": 3, ""a"": -1, ""q"": 0.4881022054122267}"
hepatitis,4,0,custom_alsalam,40,40,0.1321093788521578,0.07920792079207921,3.3671764469966494e-24,0.1485148514851485,7.0585899464149175,0.24315407745044046,0.6036844672185815,0.7259618899451116,0.24315407745044046,0.7259618899451116,1.3444552271454928,1.037336907933375e-17,1.0,0.0,0.35,14.0,0.195,0.3125,"{""C"": 2.0942336644227417, ""degree"": 6, ""a"": -1, ""q"": 0.8080821542344518}"
hepatitis,4,1,custom_alsalam,40,40,0.13832606085764643,0.2871287128712871,6.849512110922444e-09,0.24752475247524752,22.616194814734378,0.1150384681207445,0.25217078598409426,0.34966940869905033,0.1150384681207445,0.34966940869905033,1.0437209011889788,0.03192258360135653,0.999995588474931,9.418218011931252e-06,0.3,12.0,0.185,0.2725,"{""C"": 14.973848262506017, ""degree"": 2, ""a"": -1, ""q"": 0.6596151390671873}"
