dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
hepatitis,0,0,poly,40,40,0.23170926299292566,0.009900990099009901,0.220575334483857,0.009900990099009901,15.977209630426055,0.16019794755115355,0.3292584127161594,0.460215528733895,0.16019794755115355,0.460215528733895,1.0698031480741987,39.96619217207336,1.091621741380029,0.815186120299205,0.65,26.0,0.8699999999999999,0.9024999999999999,"{""C"": 43.965201211870614, ""degree"": 5, ""gamma"": 1.6818525803558952}"
hepatitis,0,1,poly,40,40,0.18690593731508423,0.009900990099009901,0.20201722272216072,0.019801980198019802,17.416825079848856,0.15319462063872638,0.3140724939332488,0.43194064388585895,0.15319462063872638,0.43194064388585895,1.0351797606282576,39.982548552203696,1.081865185197024,0.7391915759444514,0.55,22.0,0.8850000000000001,0.8649999999999999,"{""C"": 0.18322013428523165, ""degree"": 5, ""gamma"": 0.04051457074382376}"
hepatitis,1,0,poly,40,40,0.24129206353177032,0.009900990099009901,0.034199321461562134,0.009900990099009901,9.02176472822273,0.2579252942441549,0.46307518939271003,0.614794177494825,0.2579252942441549,0.614794177494825,1.114826502558152,38.64610812515312,0.9947013933747524,0.023491632315309246,0.475,19.0,0.9550000000000001,0.9800000000000001,"{""C"": 0.018384161706270656, ""degree"": 2, ""gamma"": 0.5657073889932459}"
hepatitis,1,1,poly,40,40,0.19399979173565893,0.0297029702970297,0.20290465139816016,0.019801980198019802,18.42333808626049,0.12744108642777824,0.29888787745087275,0.4211054771077354,0.12744108642777824,0.4211054771077354,1.0329838685407229,39.98953075376181,1.0515866464080852,0.7330563719012702,0.55,22.0,0.8550000000000001,0.875,"{""C"": 0.22415838532195104, ""degree"": 5, ""gamma"": 0.0535550950761857}"
hepatitis,2,0,poly,40,40,0.20994793284853444,0.009900990099009901,0.028562193460090146,0.009900990099009901,9.878030440485,0.23039965466483694,0.45031166466313255,0.5991442793068696,0.23039965466483694,0.5991442793068696,1.1071298049160325,39.30609712368279,1.3095611400362297,0.9331435577494819,0.375,15.0,0.9550000000000001,0.9675,"{""C"": 1.0755641215023457, ""degree"": 2, ""gamma"": 3.8751842294757317}"
hepatitis,2,1,poly,40,40,0.26659255753176403,0.009900990099009901,0.16069920519671985,0.009900990099009901,14.292082738711084,0.1684183797736354,0.3697619449677225,0.4992528612798436,0.1684183797736354,0.4992528612798436,1.0713145718585977,39.921420351892635,1.1111979604607023,0.7765911044761457,0.575,23.0,0.905,0.9025000000000001,"{""C"": 46.70270326223221, ""degree"": 4, ""gamma"": 0.060974229548689605}"
hepatitis,3,0,poly,40,40,0.1629600649548467,0.009900990099009901,0.2860222957879604,0.019801980198019802,17.46951760079038,0.1595493862423377,0.3075289337563176,0.41584739247679425,0.1595493862423377,0.41584739247679425,1.022903288914359,39.99288674424935,1.0628899204158606,0.7955287891950616,0.625,25.0,0.8399999999999999,0.8475000000000001,"{""C"": 10.171559512625224, ""degree"": 6, ""gamma"": 3.9862780095126364}"
hepatitis,3,1,poly,40,40,0.32078319570128705,0.009900990099009901,0.1019838022696652,0.009900990099009901,12.266694352430312,0.1984268418591294,0.3930054963394676,0.5389022861734,0.1984268418591294,0.5389022861734,1.1060500987916877,39.65130191993825,0.9977037714246967,0.02115998014720952,0.5,20.0,0.945,0.9574999999999999,"{""C"": 0.01663094818013619, ""degree"": 3, ""gamma"": 0.23372357164697255}"
hepatitis,4,0,poly,40,40,0.19917325920992712,0.019801980198019802,0.34371843317541184,0.009900990099009901,17.470711044331217,0.149809090670156,0.3181328896429153,0.4302801970621618,0.149809090670156,0.4302801970621618,1.0437366842793685,39.983617046476006,1.099655165728459,0.8290754009422393,0.65,26.0,0.825,0.8375,"{""C"": 2.0942336644227417, ""degree"": 6, ""gamma"": 1.4289509159197376}"
hepatitis,4,1,poly,40,40,0.25629721905534264,0.009900990099009901,0.08031620512431652,0.009900990099009901,12.974883897211296,0.19151070335468673,0.3806199946324649,0.5132367046889537,0.19151070335468673,0.5132367046889537,1.0726082319018204,39.875355372073884,1.0501831020840586,0.6382788042568894,0.45,18.0,0.9550000000000001,0.9675,"{""C"": 0.38234557331330965, ""degree"": 3, ""gamma"": 0.029132075524203643}"
