dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
ionosphere,0,0,custom_alsalam,176,175,0.21519830899987624,0.009900990099009901,68187171.17507371,0.009900990099009901,52.933077501625455,0.08097222703459964,0.17603173557281876,0.22675266290182025,0.08097222703459964,0.22675266290182025,1.0818732679250525,174.99999999960792,1.088975653011071,1.0410057724005521,0.7142857142857143,125.0,0.5727272727272726,0.5505681818181819,"{""C"": 17.003059007626664, ""degree"": 6, ""a"": -1, ""q"": 0.01875707193012116}"
ionosphere,0,1,custom_alsalam,175,176,0.08425493014599686,0.009900990099009901,356239.2336285236,0.009900990099009901,33.037141855370834,0.061484587672338706,0.18392398975248153,0.28457923355315423,0.061484587672338706,0.28457923355315423,1.3112534360143548,174.99999991358837,1.0727953362096583,1.0206855514271713,0.6420454545454546,113.0,0.5874285714285714,0.5862857142857143,"{""C"": 0.20681164199276172, ""degree"": 3, ""a"": -1, ""q"": 0.22309688260827043}"
ionosphere,1,0,custom_alsalam,176,175,0.08343125573161124,0.009900990099009901,0.666759238420997,0.009900990099009901,14.722555245087278,0.21689597814282943,0.355027557716617,0.418898687999033,0.21689597814282943,0.418898687999033,1.102138223659103,175.8470567205343,1.137581334396146,1.104359523989925,0.6685714285714286,117.0,0.3375,0.27045454545454545,"{""C"": 1.1550672634163803, ""degree"": 6, ""a"": -1, ""q"": 0.5352102642968588}"
ionosphere,1,1,custom_alsalam,175,176,0.18868547402021404,0.009900990099009901,37532073.31588116,0.009900990099009901,61.526768937901934,0.07339106355350487,0.1496315266290971,0.19239934731066893,0.07339106355350487,0.19239934731066893,1.0996450807513847,173.9999999995639,1.0675021413559507,1.0159195079788677,0.6761363636363636,119.0,0.5519999999999999,0.5457142857142857,"{""C"": 4.570464405880073, ""degree"": 5, ""a"": -1, ""q"": 0.03632697798058821}"
ionosphere,2,0,custom_alsalam,176,175,0.13502957028278975,0.009900990099009901,2611489.357623815,0.009900990099009901,45.71367347002313,0.06813501700797306,0.15815165340088444,0.22329985976205033,0.06813501700797306,0.22329985976205033,1.1490594753302468,174.99997710445513,1.0723989048099105,1.0230906061448561,0.7371428571428571,129.0,0.5784090909090909,0.5693181818181818,"{""C"": 0.1822656471051966, ""degree"": 5, ""a"": -1, ""q"": 0.15184928016021457}"
ionosphere,2,1,custom_alsalam,175,176,0.1202749489255909,0.009900990099009901,8438.12479053648,0.009900990099009901,48.666899038761905,0.05092002918411723,0.12683785889192914,0.2027554860889558,0.05092002918411723,0.2027554860889558,1.265077844715855,174.999997303312,1.057082200600562,1.0101317225708604,0.6931818181818182,122.0,0.5737142857142856,0.5628571428571428,"{""C"": 0.11887027644854288, ""degree"": 4, ""a"": -1, ""q"": 0.33775833292481394}"
ionosphere,3,0,custom_alsalam,176,175,0.12987547044453446,0.009900990099009901,2850.397671724049,0.009900990099009901,48.696021724399145,0.06278710298185888,0.141988193667229,0.22037255898194297,0.06278710298185888,0.22037255898194297,1.268020947704091,174.9999917909222,1.076720068828011,1.027532364387926,0.7085714285714285,124.0,0.5488636363636363,0.5119318181818181,"{""C"": 5.157814135035256, ""degree"": 3, ""a"": -1, ""q"": 0.35808200621748854}"
ionosphere,3,1,custom_alsalam,175,176,0.1556664707335604,0.009900990099009901,8102120.144769062,0.009900990099009901,54.8363619368162,0.06744710175079408,0.13279909554821498,0.19616419196361878,0.06744710175079408,0.19616419196361878,1.1205278466157562,174.99999999802714,1.0708697329836452,1.0208845949033192,0.6875,121.0,0.6102857142857143,0.5697142857142856,"{""C"": 0.005301125228108992, ""degree"": 6, ""a"": -1, ""q"": 0.10956196211999984}"
ionosphere,4,0,custom_alsalam,176,175,0.1374683907036382,0.009900990099009901,5438.716956684346,0.009900990099009901,54.34355375521326,0.05732277759252383,0.1309415954724816,0.20019600644332353,0.05732277759252383,0.20019600644332353,1.1972230341391448,175.99999743068156,1.0815903618261764,1.0358030931206255,0.7028571428571428,123.0,0.5272727272727272,0.5443181818181819,"{""C"": 0.014598164412688231, ""degree"": 6, ""a"": -1, ""q"": 0.3479158550617252}"
ionosphere,4,1,custom_alsalam,175,176,0.14031205450037765,0.009900990099009901,3447.1964902858554,0.009900990099009901,50.86518285796008,0.07057568337546805,0.14326010364360242,0.215368807139241,0.07057568337546805,0.215368807139241,1.1545702458945115,174.99999471217154,1.0817311263787504,1.0346294193876124,0.6988636363636364,123.0,0.6205714285714286,0.5811428571428572,"{""C"": 0.026483304162421405, ""degree"": 6, ""a"": -1, ""q"": 0.3573807198660402}"
