dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
ionosphere,0,0,custom_hermite,176,175,0.06117669192051628,0.009900990099009901,0.034315289018761394,0.009900990099009901,1.8729282921266066,0.7242030014855042,0.8446269595490965,0.8956756543950458,0.7242030014855042,0.8956756543950458,1.4643939806744037,82.38073659080834,1.0091718342761506,0.7003274178491776,0.7142857142857143,125.0,0.38181818181818183,0.37159090909090914,"{""C"": 17.003059007626664, ""degree"": 6}"
ionosphere,0,1,custom_hermite,175,176,0.019019993494930637,0.07920792079207921,0.0009254371468374289,0.10891089108910891,1.8209839283166878,0.7348562738792355,0.8519205158491875,0.903512106573664,0.7348562738792355,0.903512106573664,1.1965999404306351,47.91275832318385,1.1662082142199928,1.2081431020042512,0.6477272727272727,114.0,0.35657142857142854,0.36171428571428577,"{""C"": 13.765742387168517, ""degree"": 3}"
ionosphere,1,0,custom_hermite,176,175,0.03684724639724419,0.019801980198019802,0.0013634844837380796,0.019801980198019802,1.4484539758906654,0.8289536061797826,0.8937298176186506,0.9272522387821337,0.8289536061797826,0.9272522387821337,1.3356027930393235,43.21130133035153,1.0036130875005194,0.5156060011885576,0.6685714285714286,117.0,0.35340909090909095,0.3778409090909091,"{""C"": 6.631121110757612, ""degree"": 2}"
ionosphere,1,1,custom_hermite,175,176,0.035861525903546985,0.009900990099009901,0.00530982086450526,0.009900990099009901,2.11290074669037,0.6767112878503834,0.8337331480438662,0.8882550643670231,0.6767112878503834,0.8882550643670231,1.2596641395445107,65.49654429575008,1.009973347154365,0.5984649778803541,0.6988636363636364,123.0,0.3737142857142857,0.3691428571428572,"{""C"": 4.570464405880073, ""degree"": 5}"
ionosphere,2,0,custom_hermite,176,175,0.09723667401425565,0.009900990099009901,0.0060281134348048986,0.009900990099009901,1.4158787597009275,0.838442566598136,0.9100072908072959,0.9369422188685418,0.838442566598136,0.9369422188685418,1.6283019936762606,49.47353575764416,0.9980334621037178,0.017339718606909093,0.7428571428571429,130.0,0.35681818181818187,0.3778409090909091,"{""C"": 0.17582517824351604, ""degree"": 2}"
ionosphere,2,1,custom_hermite,175,176,0.009024814551667738,0.39603960396039606,0.002615842953376144,0.31683168316831684,2.6231327910914763,0.5986335510571599,0.7826336702781213,0.8649326030541895,0.5986335510571599,0.8649326030541895,0.9914436721219885,71.77281842590634,1.093033563967725,1.0022267833045022,0.5965909090909091,105.0,0.34971428571428576,0.3537142857142857,"{""C"": 3.644195796956397, ""degree"": 6}"
ionosphere,3,0,custom_hermite,176,175,0.028005830243215395,0.019801980198019802,0.00017690049762121864,0.06930693069306931,1.6586321853185997,0.7712934008314963,0.8852569792948317,0.9246726671570866,0.7712934008314963,0.9246726671570866,1.2180078237364873,29.294597879588338,0.9742149694619788,0.5070635836354149,0.6857142857142857,120.0,0.3386363636363636,0.3585227272727273,"{""C"": 65.21903790782827, ""degree"": 1}"
ionosphere,3,1,custom_hermite,175,176,0.04098702813342326,0.019801980198019802,0.001949678022768153,0.019801980198019802,1.7200297051343028,0.7573883232128586,0.8631240691243814,0.9066057650832313,0.7573883232128586,0.9066057650832313,1.378822875381237,50.44962187892876,1.011865780616265,0.5015892714973714,0.6875,121.0,0.38742857142857134,0.3817142857142857,"{""C"": 11.680526427794469, ""degree"": 3}"
ionosphere,4,0,custom_hermite,176,175,0.024708342976284745,0.06930693069306931,0.0008436159170722321,0.04950495049504951,2.237950043132875,0.6535282577489581,0.8391852046964684,0.8878393199662787,0.6535282577489581,0.8878393199662787,1.1749276652371152,50.90083855948373,1.1017801968755772,0.9727074483873819,0.6285714285714286,110.0,0.35340909090909095,0.35056818181818183,"{""C"": 54.96461412764363, ""degree"": 3}"
ionosphere,4,1,custom_hermite,175,176,0.05303097951772607,0.009900990099009901,0.04051182335009754,0.009900990099009901,1.6133717044484768,0.7845830121408482,0.8530843066030416,0.8977291538334827,0.7845830121408482,0.8977291538334827,1.4557512749348274,81.44541398290522,1.1014955719742288,0.972444432298859,0.6534090909090909,115.0,0.4,0.39714285714285713,"{""C"": 33.12159314674214, ""degree"": 6}"
