dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
mines,0,0,linear,169,169,0.11579708343189465,0.009900990099009901,0.03079767663080509,0.009900990099009901,2.6296480172635817,0.42541836105823166,0.9999999999999996,0.9999999999999997,0.42541836105823166,0.9999999999999997,1.088358130710553,2.999953302205718,,,,,1.0,1.0,"{""C"": 7.261032032030061}"
mines,0,1,linear,169,169,0.12473112714676293,0.009900990099009901,0.034036684954549194,0.009900990099009901,2.629608398412459,0.46096528088305616,0.9999999999999997,0.9999999999999998,0.46096528088305616,0.9999999999999998,1.096519586429855,2.999954464581009,,,,,1.0,0.9994082840236687,"{""C"": 33.109173048073394}"
mines,1,0,linear,169,169,0.1319988842914542,0.009900990099009901,0.03692065594135233,0.009900990099009901,2.5754088507295694,0.444160200343016,0.9999999999999996,0.9999999999999998,0.444160200343016,0.9999999999999998,1.1010619687593974,2.9999536785057757,,,,,0.9976331360946745,0.9988165680473373,"{""C"": 57.479262141625554}"
mines,1,1,linear,169,169,0.11733970459575148,0.009900990099009901,0.030725822402404884,0.009900990099009901,2.668204721599581,0.45461791644036975,0.9999999999999997,0.9999999999999998,0.45461791644036975,0.9999999999999998,1.094496543707128,2.999954361280693,,,,,0.9988165680473373,1.0,"{""C"": 27.48509415319795}"
mines,2,0,linear,169,169,0.11003092884085287,0.009900990099009901,0.029419351687566896,0.009900990099009901,2.575176689974499,0.4887920225255925,0.9999999999999998,0.9999999999999998,0.4887920225255925,0.9999999999999998,1.0847180822901479,2.9999542656456484,,,,,1.0,1.0,"{""C"": 23.988559726197337}"
mines,2,1,linear,169,169,0.12692691136743092,0.009900990099009901,0.035060286786333904,0.009900990099009901,2.620073691142667,0.4556514511296721,0.9999999999999998,1.0,0.4556514511296721,1.0,1.0993690294735188,2.9999530277343354,,,,,1.0,1.0,"{""C"": 4.156573080481086}"
mines,3,0,linear,169,169,0.12698456308027153,0.009900990099009901,0.03256177534844859,0.009900990099009901,2.693722628519658,0.43062372589978065,0.9999999999999998,0.9999999999999999,0.43062372589978065,0.9999999999999999,1.0908874580657892,2.999954045974704,,,,,0.9988165680473373,1.0,"{""C"": 3.696940499042005}"
mines,3,1,linear,169,169,0.10616529345618073,0.009900990099009901,0.029931740004508794,0.009900990099009901,2.5754946967732457,0.4540061503226978,0.9999999999999997,0.9999999999999998,0.4540061503226978,0.9999999999999998,1.0795055621144283,2.999953538417458,,,,,1.0,0.9994082840236687,"{""C"": 6.08423312465976}"
mines,4,0,linear,169,169,0.1382320413037152,0.009900990099009901,0.03568593645433094,0.009900990099009901,2.6390469092258857,0.4507160871395753,0.9999999999999998,1.0,0.4507160871395753,1.0,1.11116062490481,2.9999516878899968,,,,,1.0,0.9994082840236687,"{""C"": 50.250510732172124}"
mines,4,1,linear,169,169,0.09676738413327161,0.009900990099009901,0.027375259054871048,0.009900990099009901,2.614395355254452,0.44462567542549186,0.9999999999999996,0.9999999999999998,0.44462567542549186,0.9999999999999998,1.0687226706153938,2.9999561765306453,,,,,1.0,0.9976331360946745,"{""C"": 7.282038863502082}"
