dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
parkinson,0,0,custom_gegen,98,97,0.17730809622734597,0.009900990099009901,17.2842320298256,0.009900990099009901,5.281719489122679,0.35684255284586225,0.6558263059418195,0.7545774276028911,0.35684255284586225,0.7545774276028911,1.4258539357282964,97.96972351417611,1.7874718439138673,1.9038073480872995,0.36082474226804123,35.0,0.6877551020408164,0.6489795918367347,"{""C"": 6.989571952971612, ""degree"": 1, ""alpha"": -0.423668646232921}"
parkinson,0,1,custom_gegen,97,98,0.3339522575345303,0.009900990099009901,4.284563089181947,0.009900990099009901,4.867658007058424,0.3902772214057086,0.6643621379743813,0.768744261340528,0.3902772214057086,0.768744261340528,1.5774004147163574,96.75158454235032,1.5845206983145532,1.54580944271974,0.37755102040816324,37.0,0.7257731958762885,0.7226804123711341,"{""C"": 0.41488976556910745, ""degree"": 1, ""alpha"": 0.34708321170345224}"
parkinson,1,0,custom_gegen,98,97,0.17535644078211074,0.009900990099009901,12.509247300997245,0.009900990099009901,7.48937544290794,0.2985208217487368,0.5392775688359975,0.6711174515003677,0.2985208217487368,0.6711174515003677,1.5043195662307383,91.02803172621698,1.1404405481616502,0.9754389614549869,0.5154639175257731,50.0,0.4836734693877551,0.43469387755102035,"{""C"": 0.20371039514408534, ""degree"": 4, ""alpha"": 0.5263089682236548}"
parkinson,1,1,custom_gegen,97,98,0.02403516277913281,0.2079207920792079,2.8925610556884593e-05,0.19801980198019803,2.713155438681132,0.5894050742532446,0.7732185668728442,0.8414561792805075,0.5894050742532446,0.8414561792805075,0.7440683701110925,22.209124601273718,1.0000052378716537,3.748844986831865e-06,0.4897959183673469,48.0,0.3422680412371134,0.34845360824742266,"{""C"": 0.006018429909593159, ""degree"": 6, ""alpha"": 0.9657988392954264}"
parkinson,2,0,custom_gegen,98,97,0.22934962448347418,0.009900990099009901,0.13910690191085243,0.009900990099009901,8.0744704133296,0.2891703117421367,0.5133983925483088,0.6251568582604912,0.2891703117421367,0.6251568582604912,1.1375455330789728,97.39247589837102,2.182277674308339,1.9225881719138052,0.29896907216494845,29.0,0.810204081632653,0.8224489795918368,"{""C"": 30.5266208741873, ""degree"": 4, ""alpha"": -0.2136277036687425}"
parkinson,2,1,custom_gegen,97,98,0.22665589061535016,0.009900990099009901,19.55463212727433,0.009900990099009901,5.260542759982562,0.3896383444812297,0.6160065149335081,0.7355083523997618,0.3896383444812297,0.7355083523997618,1.6590243285848156,96.98279133144607,1.0686884503040792,0.9225123820847101,0.45918367346938777,45.0,0.647422680412371,0.6103092783505154,"{""C"": 0.00801438758752774, ""degree"": 2, ""alpha"": 0.333730411699359}"
parkinson,3,0,custom_gegen,98,97,0.23290140200053644,0.009900990099009901,454.37061248941865,0.009900990099009901,8.340343366073421,0.238019489937332,0.523161667077975,0.6379671430605096,0.238019489937332,0.6379671430605096,1.3963754092216896,97.99974828209889,1.267304524616672,1.1234231291572694,0.4329896907216495,42.0,0.6591836734693877,0.610204081632653,"{""C"": 0.060743028994348115, ""degree"": 5, ""alpha"": -0.47875906933474816}"
parkinson,3,1,custom_gegen,97,98,0.04552878282004347,0.07920792079207921,0.00010139960715018315,0.13861386138613863,7.065476761603658,0.28406221754357847,0.571933366900386,0.7004314057126646,0.28406221754357847,0.7004314057126646,0.7544711057943019,38.75088032485958,1.0004042022179314,0.00022019850699213643,0.4897959183673469,48.0,0.3711340206185567,0.38247422680412363,"{""C"": 0.03114434251807808, ""degree"": 5, ""alpha"": 0.8856151152379437}"
parkinson,4,0,custom_gegen,98,97,0.21232388404423055,0.009900990099009901,354.50886111117995,0.009900990099009901,9.772422783701769,0.2305426769929965,0.4687774702496853,0.5863238496523139,0.2305426769929965,0.5863238496523139,1.4334185045943124,97.99978340304118,1.1928387809872776,1.0684279227921654,0.4742268041237113,46.0,0.689795918367347,0.6479591836734694,"{""C"": 3.19899320886442, ""degree"": 5, ""alpha"": -0.4739476409025476}"
parkinson,4,1,custom_gegen,97,98,0.26923889925387623,0.009900990099009901,2.7674958611050604,0.009900990099009901,10.017758500717793,0.23886275363193796,0.47367026615891195,0.5739432212087143,0.23886275363193796,0.5739432212087143,1.2559552409267014,96.9842131582344,0.941705902998667,0.5721159886085646,0.5612244897959183,55.0,0.7690721649484535,0.7432989690721649,"{""C"": 0.0023509744379665047, ""degree"": 6, ""alpha"": -0.3216913778922684}"
