dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
parkinson,0,0,rbf,98,97,0.2292751495667411,0.009900990099009901,0.004791252223708925,0.009900990099009901,4.494669070539451,0.40889155305847646,0.6866465932168979,0.8092282696647858,0.40889155305847646,0.8092282696647858,1.0922565562063316,48.608309912111096,1.3772023374600775,1.0622944675108015,0.422680412371134,41.0,1.0,1.0,"{""C"": 6.989571952971612, ""gamma"": 0.025185761577627037}"
parkinson,0,1,rbf,97,98,0.17217806612923417,0.009900990099009901,0.009466589441094327,0.009900990099009901,41.60376952236904,0.07377329329717944,0.17453188779937168,0.2506186241564405,0.07377329329717944,0.2506186241564405,1.0170967185035173,96.6451416506532,1.0746944765823525,0.919073117046387,0.6836734693877551,67.0,1.0,1.0,"{""C"": 35.07208908371691, ""gamma"": 1.2230375702416478}"
parkinson,1,0,rbf,98,97,0.20766813357208244,0.009900990099009901,0.01397047052449366,0.009900990099009901,22.151002284644097,0.11709666633197645,0.2915906682415047,0.39140936530056664,0.11709666633197645,0.39140936530056664,1.0332559540006223,96.84280213803471,0.9058241885869298,0.25496712865824445,0.6185567010309279,60.0,1.0,1.0,"{""C"": 0.20371039514408534, ""gamma"": 0.5839051398699852}"
parkinson,1,1,rbf,97,98,0.14151188091530856,0.009900990099009901,0.007704652926112645,0.009900990099009901,42.17600530546907,0.07023873143043165,0.17485489520557626,0.24957118798741154,0.07023873143043165,0.24957118798741154,1.013554277755965,96.6918306276047,1.051205932740093,0.9055586834922799,0.7040816326530612,69.0,1.0,1.0,"{""C"": 4.547639482688401, ""gamma"": 1.2258099912457727}"
parkinson,2,0,rbf,98,97,0.16057642470752245,0.009900990099009901,0.008554550693696846,0.009900990099009901,44.00228281789566,0.07589496976237528,0.17111400345053884,0.24439012714022484,0.07589496976237528,0.24439012714022484,1.0133043063107663,97.69240925142809,1.0735797482025793,0.9172496020756611,0.6597938144329897,64.0,1.0,1.0,"{""C"": 5.569868916441701, ""gamma"": 1.2362053258203816}"
parkinson,2,1,rbf,97,98,0.2884117436792197,0.009900990099009901,0.008762503621344536,0.009900990099009901,5.418128084260515,0.3549826764917057,0.6330431157588625,0.7684224108930808,0.3549826764917057,0.7684224108930808,1.1259229216244355,56.958226055322385,0.9987089440472943,0.004694001521099383,0.5,49.0,1.0,1.0,"{""C"": 0.00801438758752774, ""gamma"": 0.04010663071281717}"
parkinson,3,0,rbf,98,97,0.22578378258883963,0.009900990099009901,0.0167394251811997,0.009900990099009901,12.290348247257551,0.19377436554104185,0.4171232114211735,0.5305170419898468,0.19377436554104185,0.5305170419898468,1.0509280715523965,94.09774677806406,1.419014413365555,1.2126838123853971,0.41237113402061853,40.0,1.0,1.0,"{""C"": 8.57910838162357, ""gamma"": 0.3112549795229736}"
parkinson,3,1,rbf,97,98,0.1554280737323699,0.009900990099009901,0.009091882210739994,0.009900990099009901,33.94309914187467,0.08579648252811588,0.20232208882175956,0.29119766915786516,0.08579648252811588,0.29119766915786516,1.0224130245508476,96.54245664928415,1.1464050756156368,0.9941842584296178,0.5816326530612245,57.0,1.0,1.0,"{""C"": 68.76302240718215, ""gamma"": 0.8985255994345184}"
parkinson,4,0,rbf,98,97,0.16746477849942423,0.009900990099009901,0.010198086464973858,0.009900990099009901,30.99717020130804,0.09395394220074245,0.2319852513044456,0.31526416441713273,0.09395394220074245,0.31526416441713273,1.025833718057732,97.46854240624646,1.051039679520826,0.8942460494700636,0.6701030927835051,65.0,1.0,1.0,"{""C"": 3.19899320886442, ""gamma"": 0.8866214067717371}"
parkinson,4,1,rbf,97,98,0.2575827516685495,0.009900990099009901,0.009470715305753843,0.009900990099009901,5.646955111414976,0.34909685079929975,0.6223927868227219,0.7589128316185405,0.34909685079929975,0.7589128316185405,1.0749524994937336,65.50208574701546,1.1381771902403433,0.8194686680403291,0.4489795918367347,44.0,1.0,1.0,"{""C"": 5.781630624360632, ""gamma"": 0.05142216684003219}"
