dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
statlog,0,0,custom_gegen,423,422,0.12114398847036527,0.009900990099009901,5.8215773299418885,0.009900990099009901,10.553142150845144,0.24566406371720545,0.4593425272993773,0.5545945025988348,0.24566406371720545,0.5545945025988348,1.0669866153375065,422.8355238332517,,,,,0.8326241134751773,0.8238770685579196,"{""C"": 15.738694885405407, ""degree"": 4, ""alpha"": -0.45027338657467575}"
statlog,0,1,custom_gegen,422,423,0.14219656806297254,0.009900990099009901,0.004123277718141033,0.009900990099009901,4.891853250431866,0.4162322885819762,0.6195966835067552,0.7196302722782127,0.4162322885819762,0.7196302722782127,1.0930726651255371,194.67024203110236,,,,,0.8298578199052132,0.8504739336492891,"{""C"": 23.219145141525644, ""degree"": 5, ""alpha"": -0.08064963319814761}"
statlog,1,0,custom_gegen,423,422,0.14500731892696161,0.009900990099009901,0.28568878124746494,0.009900990099009901,8.38624947543803,0.28162970937967186,0.5191144412229682,0.6229770188887378,0.28162970937967186,0.6229770188887378,1.0793014033771606,414.8000976509021,,,,,0.8562647754137117,0.8617021276595747,"{""C"": 0.14014840932519157, ""degree"": 3, ""alpha"": -0.31051752766777563}"
statlog,1,1,custom_gegen,422,423,0.1270305762735274,0.009900990099009901,0.26714686696226264,0.009900990099009901,22.374080131925936,0.14735118657819074,0.30527731881019426,0.38196126127561714,0.14735118657819074,0.38196126127561714,1.0344757024631606,342.8480800290681,,,,,0.5938388625592418,0.5850710900473933,"{""C"": 0.8338697311594373, ""degree"": 4, ""alpha"": 0.5178051580875327}"
statlog,2,0,custom_gegen,423,422,0.15682028153729552,0.009900990099009901,0.0165771017626948,0.009900990099009901,5.52887935483611,0.38647164316930155,0.5977176344890507,0.6950247930519383,0.38647164316930155,0.6950247930519383,1.0988417742660963,321.5627911233728,,,,,0.852482269503546,0.8690307328605202,"{""C"": 11.760983267001057, ""degree"": 5, ""alpha"": -0.14094118409913742}"
statlog,2,1,custom_gegen,422,423,0.14489315692793045,0.009900990099009901,0.010229293587415634,0.009900990099009901,4.700765246419022,0.4153558553652188,0.6502047209382805,0.7705128294862015,0.4153558553652188,0.7705128294862015,1.098949464456404,194.41758067395568,,,,,0.7848341232227487,0.8172985781990522,"{""C"": 51.57801033745898, ""degree"": 2, ""alpha"": 0.12575327480618714}"
statlog,3,0,custom_gegen,423,422,0.06337775879231654,0.009900990099009901,0.35678352634040333,0.009900990099009901,4.982813330797224,0.39528333677001826,0.6481171259482708,0.7516494922999889,0.39528333677001826,0.7516494922999889,1.0556289029297752,394.1371203630836,,,,,0.7886524822695035,0.7971631205673758,"{""C"": 0.29090115710257153, ""degree"": 1, ""alpha"": 0.39544076043197074}"
statlog,3,1,custom_gegen,422,423,0.1358525701891896,0.009900990099009901,0.17835122181470853,0.009900990099009901,5.5049906292172555,0.3688076451726378,0.621121000392348,0.7430344100025018,0.3688076451726378,0.7430344100025018,1.1068978016096334,342.7623186325161,,,,,0.8322274881516589,0.852132701421801,"{""C"": 5.162264666228197, ""degree"": 1, ""alpha"": -0.3277406524147257}"
statlog,4,0,custom_gegen,423,422,0.05297589984076762,0.009900990099009901,2.104669948194161,0.009900990099009901,4.175667785750179,0.45753388075040574,0.6624560535343907,0.7651085078118676,0.45753388075040574,0.7651085078118676,1.0720796927035354,416.7173662937513,,,,,0.742789598108747,0.750354609929078,"{""C"": 2.8709929320518475, ""degree"": 1, ""alpha"": -0.4752828372130605}"
statlog,4,1,custom_gegen,422,423,0.10385265291641396,0.009900990099009901,0.35212188117876786,0.009900990099009901,6.450704900881915,0.3198902090886314,0.6030336250032344,0.7186668750396913,0.3198902090886314,0.7186668750396913,1.0695388241121861,388.57852160204783,,,,,0.7943127962085308,0.8203791469194314,"{""C"": 3.34444232820312, ""degree"": 1, ""alpha"": -0.38597281538842926}"
