dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
statlog,0,0,linear,423,422,0.12962201397440212,0.009900990099009901,0.09577045112397116,0.009900990099009901,2.57560069960888,0.5859579251584098,0.8464532120334926,0.9409234158039085,0.5859579251584098,0.9409234158039085,1.125297303666087,17.958283904891616,,,,,1.0,1.0,"{""C"": 8.505518619480174}"
statlog,0,1,linear,422,423,0.11530322173975785,0.009900990099009901,0.0839488979753515,0.009900990099009901,2.6857285310515664,0.5749866261802377,0.8289658022213517,0.9284964249364357,0.5749866261802377,0.9284964249364357,1.1086030233297162,17.957732853235342,,,,,1.0,1.0,"{""C"": 0.05674168929878453}"
statlog,1,0,linear,423,422,0.11988685674209461,0.009900990099009901,0.09085507601787575,0.009900990099009901,2.494930679319018,0.5994946682429627,0.8542111940363303,0.940350900011235,0.5994946682429627,0.940350900011235,1.1198582269071053,17.95559643166635,,,,,1.0,1.0,"{""C"": 90.50302057890619}"
statlog,1,1,linear,422,423,0.12342101887642197,0.009900990099009901,0.08763448415931341,0.009900990099009901,2.7669801406498142,0.5629095764671465,0.8193996895439217,0.9277494754912379,0.5629095764671465,0.9277494754912379,1.1122736899325933,17.96027299239219,,,,,1.0,1.0,"{""C"": 79.46766419927161}"
statlog,2,0,linear,423,422,0.1282248882030205,0.009900990099009901,0.09195593532522635,0.009900990099009901,2.608820654524147,0.5841105517038124,0.8393117125198102,0.9337285704833148,0.5841105517038124,0.9337285704833148,1.1235154375076353,17.956365526050888,,,,,1.0,1.0,"{""C"": 13.997493408317144}"
statlog,2,1,linear,422,423,0.1191597696304402,0.009900990099009901,0.08942472256020347,0.009900990099009901,2.6456039464902963,0.5779941624038047,0.8367947762909844,0.9303291370927618,0.5779941624038047,0.9303291370927618,1.1129226148780982,17.959584774709157,,,,,1.0,1.0,"{""C"": 8.518255896917722}"
statlog,3,0,linear,423,422,0.10049699968148201,0.009900990099009901,0.07244246625076753,0.009900990099009901,2.709611866707851,0.5683613434516319,0.8291421917155065,0.9275279932293948,0.5683613434516319,0.9275279932293948,1.0894881180011953,17.955683295796632,,,,,1.0,1.0,"{""C"": 3.8981468293856714}"
statlog,3,1,linear,422,423,0.14807014355964376,0.009900990099009901,0.1102884184339322,0.009900990099009901,2.5539582334246536,0.5922881173439104,0.8442787452076655,0.9389132079959251,0.5922881173439104,0.9389132079959251,1.150640907541434,17.95778991939008,,,,,1.0,1.0,"{""C"": 5.162264666228197}"
statlog,4,0,linear,423,422,0.12629717982886196,0.009900990099009901,0.09438861607022203,0.009900990099009901,2.608678830136771,0.5852440472517753,0.8311384006439354,0.9318543977585391,0.5852440472517753,0.9318543977585391,1.128352474738581,17.956779574357768,,,,,1.0,1.0,"{""C"": 31.55597059374817}"
statlog,4,1,linear,422,423,0.12515768614897152,0.009900990099009901,0.08966793354738137,0.009900990099009901,2.6435019622244917,0.577545519337647,0.8418622537249874,0.9396490025085947,0.577545519337647,0.9396490025085947,1.1135457362254284,17.957004249966502,,,,,1.0,1.0,"{""C"": 19.557138861797448}"
