dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
statlog,0,0,rbf,423,422,0.19396817005025813,0.009900990099009901,0.01678627663343932,0.009900990099009901,15.918179944822912,0.17900828368880758,0.3694434946755191,0.461449793572548,0.17900828368880758,0.461449793572548,1.0662290878059588,396.1484701888054,,,,,1.0,1.0,"{""C"": 8.505518619480174, ""gamma"": 0.49503287565078397}"
statlog,0,1,rbf,422,423,0.12077022355599486,0.009900990099009901,0.0030627959305878595,0.009900990099009901,3.077265109580594,0.5332388217993689,0.7810529191896401,0.8786778322103321,0.5332388217993689,0.8786778322103321,1.1054736295639722,73.96895533219845,,,,,1.0,1.0,"{""C"": 7.6436838748289775, ""gamma"": 0.02034521554664249}"
statlog,1,0,rbf,423,422,0.13584462547002818,0.009900990099009901,0.007667955236872045,0.009900990099009901,3.567236589531442,0.4889840283121654,0.7305100823769617,0.8414380125898784,0.4889840283121654,0.8414380125898784,1.1111167578215329,137.90869067169942,,,,,1.0,1.0,"{""C"": 90.50302057890619, ""gamma"": 0.05602790755406841}"
statlog,1,1,rbf,422,423,0.14757964609952556,0.009900990099009901,0.011770816438666216,0.009900990099009901,5.336241070606659,0.38063042566758465,0.6189067237504361,0.7456193543368467,0.38063042566758465,0.7456193543368467,1.0930212863871138,231.31305131631038,,,,,1.0,1.0,"{""C"": 63.13569977355509, ""gamma"": 0.12116828223492729}"
statlog,2,0,rbf,423,422,0.18640840515915996,0.009900990099009901,0.016656478517231187,0.009900990099009901,14.072593490869169,0.19843216654253779,0.3947277052092734,0.4941261536860681,0.19843216654253779,0.4941261536860681,1.0687317176453959,390.2763044065278,,,,,1.0,1.0,"{""C"": 13.997493408317144, ""gamma"": 0.4510458923247816}"
statlog,2,1,rbf,422,423,0.13329512942442825,0.009900990099009901,0.0071654154975666455,0.009900990099009901,3.6639639669196833,0.4799891790707933,0.7276751076793812,0.8358725394985996,0.4799891790707933,0.8358725394985996,1.1048754979660562,134.1042094047549,,,,,1.0,1.0,"{""C"": 51.57801033745898, ""gamma"": 0.052459898905027225}"
statlog,3,0,rbf,423,422,0.11055161695339735,0.009900990099009901,0.006122761399832491,0.009900990099009901,3.918234103027922,0.4590144475883869,0.7098172312608617,0.8203101637955663,0.4590144475883869,0.8203101637955663,1.0815400520969292,144.6039637984561,,,,,1.0,1.0,"{""C"": 3.8981468293856714, ""gamma"": 0.05840670110592162}"
statlog,3,1,rbf,422,423,0.23576643251457544,0.009900990099009901,0.015587489005487884,0.009900990099009901,35.47075739963958,0.10444958765009679,0.22323207522249347,0.29738934836333547,0.10444958765009679,0.29738934836333547,1.0501412837649013,415.2480376566708,,,,,1.0,1.0,"{""C"": 0.2594492353524502, ""gamma"": 0.9596261831748059}"
statlog,4,0,rbf,423,422,0.13586775363942125,0.009900990099009901,0.004551025587833341,0.009900990099009901,3.1269010556115338,0.528815767788681,0.7685618626568922,0.8682597081001467,0.528815767788681,0.8682597081001467,1.1238867211332615,88.78281658391936,,,,,1.0,1.0,"{""C"": 31.55597059374817, ""gamma"": 0.027613558110703394}"
statlog,4,1,rbf,422,423,0.13671840738154264,0.009900990099009901,0.007106754749478116,0.009900990099009901,3.718602424615285,0.475918028273926,0.720796704641812,0.8377386927919134,0.475918028273926,0.8377386927919134,1.1038768734219822,134.6662717312195,,,,,1.0,1.0,"{""C"": 13.653047435578383, ""gamma"": 0.0532372408289945}"
