dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
student,0,0,custom_alsalam,73,72,0.26645497973814275,0.5247524752475248,224750.7693903937,0.45544554455445546,61.615268065364894,0.03235057688724731,0.08903391972895235,0.1397158425609817,0.03235057688724731,0.1397158425609817,0.9950378225503802,72.99999999550981,,,,,0.08767123287671233,0.16986301369863016,"{""C"": 0.05148628137750854, ""degree"": 2, ""a"": -1, ""q"": 0.22913290559038751}"
student,0,1,custom_alsalam,72,73,0.27897902507885275,0.6435643564356436,1113017.187338312,0.6336633663366337,65.25643351547501,0.028155448096111584,0.07787907120991681,0.12052605595979421,0.028155448096111584,0.12052605595979421,0.9977296716764446,71.99999999914958,,,,,0.1,0.21111111111111114,"{""C"": 13.16889567726669, ""degree"": 4, ""a"": -1, ""q"": 0.18053447221479085}"
student,1,0,custom_alsalam,73,72,0.046932540794861234,0.0297029702970297,5.803880634343499e-35,0.039603960396039604,1.3145871703766967,0.8676008361536415,0.9859888716788783,0.9955004164174235,0.8676008361536415,0.9955004164174235,1.9274124590170363,2.938968149454207e-28,,,,,0.07397260273972603,0.12602739726027398,"{""C"": 0.5113286592736057, ""degree"": 1, ""a"": -1, ""q"": 0.9747404183742826}"
student,1,1,custom_alsalam,72,73,0.2801171980073375,0.13861386138613863,1034092.2183989002,0.1782178217821782,64.99709878559858,0.026851133433163258,0.0780009613325594,0.1235333262766898,0.026851133433163258,0.1235333262766898,1.0087000956774526,71.99999999907888,,,,,0.10555555555555556,0.17777777777777778,"{""C"": 6.503291437186229, ""degree"": 5, ""a"": -1, ""q"": 0.1882728949402123}"
student,2,0,custom_alsalam,73,72,0.2788583394698727,0.2376237623762376,1.7713700815706006,0.24752475247524752,67.16604389200519,0.023812231444003296,0.06947468419334626,0.11154222182287754,0.023812231444003296,0.11154222182287754,1.0059739679957198,72.99946710393168,,,,,0.049315068493150684,0.08356164383561643,"{""C"": 0.04428392537257515, ""degree"": 4, ""a"": -1, ""q"": 0.4875519655166583}"
student,2,1,custom_alsalam,72,73,0.03001155051410655,0.801980198019802,6.758337625282719e-21,0.7920792079207921,1.1296362215695557,0.9400387588978841,0.9881205332162716,0.9947758279419708,0.9400387588978841,0.9947758279419708,0.7448950661142913,4.9020730595285884e-14,,,,,0.058333333333333334,0.08888888888888888,"{""C"": 1.476290836675262, ""degree"": 3, ""a"": -1, ""q"": 0.7730855132726214}"
student,3,0,custom_alsalam,73,72,0.279911184053855,0.45544554455445546,1.4613443288660464,0.33663366336633666,67.89504849732864,0.022485172504586183,0.06411717681494411,0.10314232498960388,0.022485172504586183,0.10314232498960388,0.9980200490055212,72.99936394856803,,,,,0.04109589041095891,0.09726027397260274,"{""C"": 53.865943292432725, ""degree"": 2, ""a"": -1, ""q"": 0.48264435225722635}"
student,3,1,custom_alsalam,72,73,0.1830126155573091,0.39603960396039606,0.0002810962501699905,0.40594059405940597,27.742340577336538,0.11546436466663795,0.25121812899738116,0.3205489155213259,0.11546436466663795,0.3205489155213259,1.0114256458567759,64.95826155329532,,,,,0.04722222222222223,0.1,"{""C"": 69.03121933210446, ""degree"": 5, ""a"": -1, ""q"": 0.5816413519431373}"
student,4,0,custom_alsalam,73,72,0.06680306187604862,0.019801980198019802,2.463707960598649e-21,0.0297029702970297,2.8784579339560077,0.4972858260128879,0.8532925464012013,0.9305541735072017,0.4972858260128879,0.9305541735072017,1.5217686579860379,1.2970775575241764e-14,,,,,0.07123287671232877,0.09041095890410959,"{""C"": 0.05303104215236691, ""degree"": 1, ""a"": -1, ""q"": 0.7546653213407477}"
student,4,1,custom_alsalam,72,73,0.2671831213579487,0.5247524752475248,0.2161345057304113,0.38613861386138615,59.64232308979836,0.03613802590369207,0.09548151143602135,0.1460677131814852,0.03613802590369207,0.1460677131814852,1.0023345543835696,71.99512929642297,,,,,0.04722222222222223,0.09444444444444444,"{""C"": 29.18422719086891, ""degree"": 5, ""a"": -1, ""q"": 0.5148303758949306}"
