dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
student,0,0,custom_gegen,73,72,0.17487458415426027,0.10891089108910891,0.002166835903506182,0.1188118811881188,21.54022611481206,0.10843484325261492,0.26478580680430713,0.3873749292153482,0.10843484325261492,0.3873749292153482,1.0137548670793743,69.70079069775896,,,,,0.7808219178082192,0.8397260273972603,"{""C"": 0.05148628137750854, ""degree"": 2, ""alpha"": -0.04502603864809063}"
student,0,1,custom_gegen,72,73,0.2690039760238513,0.0297029702970297,2.565676301052411,0.039603960396039604,55.380527158747064,0.040516190083650615,0.10886206068292031,0.1643096315530812,0.040516190083650615,0.1643096315530812,0.9997462065380607,71.99954362618067,,,,,0.2916666666666667,0.34305555555555556,"{""C"": 20.79683624184466, ""degree"": 2, ""alpha"": -0.2546856886151535}"
student,1,0,custom_gegen,73,72,0.026320998871087443,0.900990099009901,2.957655817837951e-100,0.8811881188118812,1.0000000465607253,0.9999999767196379,0.9999999999999964,0.9999999999999987,0.9999999767196379,0.9999999999999987,0.5251806585975114,2.329156978226942e-93,,,,,0.038356164383561646,0.09041095890410958,"{""C"": 0.5113286592736057, ""degree"": 1, ""alpha"": 1.4690137066987985}"
student,1,1,custom_gegen,72,73,0.0355803829401951,0.5544554455445545,4.94638687343067e-111,0.6138613861386139,1.0135156432168082,0.9932878883615617,0.9999945137931581,0.9999973207035584,0.9932878883615617,0.9999973207035584,1.028081962310086,2.866496044444699e-104,,,,,0.06388888888888888,0.10972222222222222,"{""C"": 0.003862670490133069, ""degree"": 4, ""alpha"": 0.697522761016071}"
student,2,0,custom_gegen,73,72,0.23587037886163598,0.5148514851485149,0.5402283915331817,0.2871287128712871,47.43087283431669,0.05190046534588528,0.1327773066807583,0.19741967724286028,0.05190046534588528,0.19741967724286028,0.9979695396785777,72.99744019806987,,,,,0.4027397260273972,0.4684931506849315,"{""C"": 0.025372810700511055, ""degree"": 1, ""alpha"": -0.22908609423784504}"
student,2,1,custom_gegen,72,73,0.0274939127452564,0.8811881188118812,2.248027332171716e-97,0.9405940594059405,1.0000000000000058,0.999999999999997,0.9999999999999988,0.9999999999999992,0.999999999999997,0.9999999999999992,0.5453876062418298,1.6746486080724043e-90,,,,,0.052777777777777785,0.1013888888888889,"{""C"": 1.476290836675262, ""degree"": 3, ""alpha"": 1.0595307871556292}"
student,3,0,custom_gegen,73,72,0.03289374662094705,0.6534653465346535,9.534713709142157e-105,0.594059405940594,1.0000001169062214,0.9999999415468935,0.9999999999999946,0.9999999999999963,0.9999999415468935,0.9999999999999963,0.9002196397045843,6.008247609626208e-98,,,,,0.06575342465753424,0.1136986301369863,"{""C"": 0.029353488560143113, ""degree"": 3, ""alpha"": 0.9925612805031276}"
student,3,1,custom_gegen,72,73,0.027493912745256314,0.8514851485148515,1.0418091138602222e-92,0.7920792079207921,1.000000000000004,0.999999999999998,0.9999999999999991,0.9999999999999996,0.999999999999998,0.9999999999999996,0.5453876035446725,7.760867305459877e-86,,,,,0.052777777777777785,0.09722222222222224,"{""C"": 69.03121933210446, ""degree"": 5, ""alpha"": 0.6707819289457584}"
student,4,0,custom_gegen,73,72,0.056592431441319015,0.039603960396039604,4.695586496807164e-114,0.0297029702970297,1.98750040133419,0.5396522458864487,0.9999999567573751,0.9999999741799822,0.5396522458864487,0.9999999741799822,2.4572979240456867,2.4245915456664975e-107,,,,,0.07397260273972603,0.09999999999999999,"{""C"": 0.05303104215236691, ""degree"": 1, ""alpha"": 1.022126519865396}"
student,4,1,custom_gegen,72,73,0.027493912745256335,1.0,5.428124671067889e-88,1.0,1.0000000000000069,0.9999999999999966,0.9999999999999994,0.9999999999999997,0.9999999999999966,0.9999999999999997,0.54538759492107,4.0436347435623475e-81,,,,,0.030555555555555558,0.09722222222222222,"{""C"": 29.18422719086891, ""degree"": 5, ""alpha"": 0.5351147428886855}"
