dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
student,0,0,rbf,73,72,0.21888278933938912,0.10891089108910891,0.009362272882574985,0.12871287128712872,36.37882944872689,0.07623251424434797,0.18426435278951891,0.2711010329525152,0.07623251424434797,0.2711010329525152,1.0079711954584534,72.8079700152946,,,,,1.0,1.0,"{""C"": 0.05148628137750854, ""gamma"": 0.05084868096138944}"
student,0,1,rbf,72,73,0.2916308844913784,0.2376237623762376,0.012165756244619075,0.2079207920792079,70.9546976979197,0.015280804853582885,0.045236916815544176,0.07462045084492792,0.015280804853582885,0.07462045084492792,1.0000542253659637,71.92802390320394,,,,,1.0,1.0,"{""C"": 13.16889567726669, ""gamma"": 0.4647118547299046}"
student,1,0,rbf,73,72,0.1812979075199182,0.09900990099009901,0.0053006090324696055,0.0594059405940594,22.185802295837334,0.10533770015608977,0.26143770832752283,0.3784133119045573,0.10533770015608977,0.3784133119045573,1.0117714816327097,72.20869894566722,,,,,1.0,1.0,"{""C"": 0.5113286592736057, ""gamma"": 0.019105073481440072}"
student,1,1,rbf,72,73,0.2913565783991966,0.42574257425742573,0.012155249224096403,0.42574257425742573,70.99956657669196,0.014230203972750596,0.042574829851984616,0.07082126168801055,0.014230203972750596,0.07082126168801055,0.9999961640719736,71.92807148267282,,,,,1.0,1.0,"{""C"": 6.503291437186229, ""gamma"": 0.8662248154232519}"
student,2,0,rbf,73,72,0.2860270799215554,0.5346534653465347,0.01189864056759056,0.46534653465346537,71.12365770751394,0.02076412580063578,0.05616373001054534,0.08876654247310478,0.02076412580063578,0.08876654247310478,0.9999247614216952,72.92604803846673,,,,,1.0,1.0,"{""C"": 0.04428392537257515, ""gamma"": 0.28249650029910556}"
student,2,1,rbf,72,73,0.2916300619398777,0.0297029702970297,0.012166740450882639,0.04950495049504951,70.99807394699086,0.014504908750253929,0.04278574777226009,0.07097255966362775,0.014504908750253929,0.07097255966362775,1.0000431072773108,71.9280699417272,,,,,1.0,1.0,"{""C"": 0.1881649040269539, ""gamma"": 0.9450772000073795}"
student,3,0,rbf,73,72,0.2574477030102469,0.009900990099009901,0.011201678905741952,0.009900990099009901,34.92677433351634,0.08815349242472524,0.18908627495597805,0.27158912265699964,0.08815349242472524,0.27158912265699964,1.0172139820543145,72.8090636437729,,,,,1.0,1.0,"{""C"": 0.25789966429521693, ""gamma"": 0.051270706095613634}"
student,3,1,rbf,72,73,0.29226225898228014,0.039603960396039604,0.01219746210005358,0.0594059405940594,70.92957612022272,0.01616792882839655,0.046184167852404145,0.07474249144032404,0.01616792882839655,0.07474249144032404,1.0001953118313216,71.92799832978831,,,,,1.0,1.0,"{""C"": 69.03121933210446, ""gamma"": 0.700055643674525}"
student,4,0,rbf,73,72,0.1889578077475815,0.009900990099009901,0.005603078552145074,0.009900990099009901,20.849642996175014,0.11544513681652196,0.27978200391390784,0.39583310733338406,0.11544513681652196,0.39583310733338406,1.0176486790057344,72.1654708019119,,,,,1.0,1.0,"{""C"": 0.05303104215236691, ""gamma"": 0.01783940542972448}"
student,4,1,rbf,72,73,0.29132685869151814,0.9702970297029703,0.012154112916097784,0.9603960396039604,70.99945481631481,0.014311924588190646,0.04251854704335179,0.07069849626128556,0.014311924588190646,0.07069849626128556,0.9999953279946351,71.92807136911134,,,,,0.9916666666666667,0.9874999999999999,"{""C"": 29.18422719086891, ""gamma"": 1.2970365458932918}"
