dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
vertebral,0,0,custom_gegen,155,155,0.3894510179102209,0.009900990099009901,0.012122160229183327,0.009900990099009901,2.7068905328723667,0.5767399325105422,0.8185711881328421,0.9017131625505275,0.5767399325105422,0.9017131625505275,1.1595150520010171,38.302729647499355,,,,,0.5548387096774193,0.5877419354838709,"{""C"": 51.546055227839126, ""degree"": 2, ""alpha"": 1.0017440807375966}"
vertebral,0,1,custom_gegen,155,155,0.4622710227426111,0.009900990099009901,0.013572574162900903,0.009900990099009901,2.295842365051219,0.6407992592451076,0.8302736226774116,0.9132024471429576,0.6407992592451076,0.9132024471429576,1.2534478128650912,34.62128235887637,,,,,0.5625806451612904,0.5935483870967742,"{""C"": 75.02110317759654, ""degree"": 2, ""alpha"": 1.0303787551678374}"
vertebral,1,0,custom_gegen,155,155,0.45752971195294245,0.009900990099009901,0.014321492957570818,0.009900990099009901,3.9670059250805583,0.45795091857309966,0.7023715688943171,0.8226408250961266,0.45795091857309966,0.8226408250961266,1.2415680435447267,45.37541231360649,,,,,0.8077419354838709,0.8238709677419355,"{""C"": 0.018089354847872875, ""degree"": 3, ""alpha"": 0.16147663861559558}"
vertebral,1,1,custom_gegen,155,155,0.43390406628134237,0.009900990099009901,0.026509177732520223,0.009900990099009901,5.621231614105865,0.35163151408645915,0.6270817542546234,0.744875879279193,0.35163151408645915,0.744875879279193,1.1417360665427836,78.24528829858053,,,,,0.7019354838709676,0.744516129032258,"{""C"": 15.38694405551399, ""degree"": 4, ""alpha"": 0.7415847381617522}"
vertebral,2,0,custom_gegen,155,155,0.42219470836813705,0.009900990099009901,0.034477048951019475,0.009900990099009901,3.7975346326438966,0.47603688560931423,0.7048516618577124,0.8117375689400484,0.47603688560931423,0.8117375689400484,1.2245405868676584,75.51210651787002,,,,,0.9019354838709677,0.9174193548387097,"{""C"": 5.657598244378771, ""degree"": 6, ""alpha"": -0.24403800244671064}"
vertebral,2,1,custom_gegen,155,155,0.462472430061911,0.009900990099009901,0.04273951842178755,0.009900990099009901,5.875409167676155,0.3405748348408547,0.6123703315424365,0.7492058083898165,0.3405748348408547,0.7492058083898165,1.1832139806122624,73.0024257800813,,,,,0.8077419354838709,0.8200000000000001,"{""C"": 5.016865493767885, ""degree"": 3, ""alpha"": 0.622624561369828}"
vertebral,3,0,custom_gegen,155,155,0.4354786415654228,0.009900990099009901,0.46742785970284667,0.009900990099009901,7.695944509604175,0.2944915577407202,0.5209517123599152,0.6482402739559063,0.2944915577407202,0.6482402739559063,1.2753069084742237,121.63419679309695,,,,,0.7561290322580645,0.7858064516129032,"{""C"": 3.9798498783838516, ""degree"": 3, ""alpha"": 0.44352165606253435}"
vertebral,3,1,custom_gegen,155,155,0.4738798813576472,0.009900990099009901,0.013729482630265378,0.009900990099009901,2.5701940997144916,0.6032895820163154,0.7927050072060274,0.8705833817572934,0.6032895820163154,0.8705833817572934,1.2282995406124195,54.718289025236366,,,,,0.5587096774193548,0.5948387096774194,"{""C"": 51.41811015199067, ""degree"": 5, ""alpha"": 1.0966553439441868}"
vertebral,4,0,custom_gegen,155,155,0.5039497214305754,0.009900990099009901,0.04949743464253769,0.009900990099009901,4.450501052638758,0.4270292477227928,0.6652615905842842,0.7930586624814426,0.4270292477227928,0.7930586624814426,1.2892330717431786,66.28744631259639,,,,,0.8116129032258063,0.8451612903225807,"{""C"": 1.9241618872229775, ""degree"": 3, ""alpha"": 0.24327050836274267}"
vertebral,4,1,custom_gegen,155,155,0.4000902202518952,0.009900990099009901,0.09854637415449213,0.009900990099009901,3.6746858721925557,0.47360448346193457,0.7470136416831473,0.8548890796507389,0.47360448346193457,0.8548890796507389,1.2275556747925698,53.0597084017044,,,,,0.9070967741935485,0.9225806451612905,"{""C"": 62.473407063268645, ""degree"": 2, ""alpha"": -0.3902665399522405}"
