dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
vertebral,0,0,linear,155,155,0.33649912819148387,0.009900990099009901,0.05699528369049384,0.009900990099009901,2.648960325528392,0.5578476548309007,0.8912220086612174,0.999999999999999,0.5578476548309007,0.999999999999999,1.1732426808270429,5.992292562203204,,,,,1.0,1.0,"{""C"": 22.910317793653757}"
vertebral,0,1,linear,155,155,0.4137736052526714,0.009900990099009901,0.05352604273769032,0.009900990099009901,2.5324611315100984,0.5707187381455537,0.927423450793555,0.9999999999999991,0.5707187381455537,0.9999999999999991,1.24532440202121,5.975806596560787,,,,,1.0,1.0,"{""C"": 75.02110317759654}"
vertebral,1,0,linear,155,155,0.3467213113170312,0.009900990099009901,0.049579610935671724,0.009900990099009901,2.552851468398453,0.5623609642110872,0.9349278630005771,0.9999999999999994,0.5623609642110872,0.9999999999999994,1.1960523137854067,5.976837204404546,,,,,1.0,1.0,"{""C"": 0.21688210802892757}"
vertebral,1,1,linear,155,155,0.38891325249967856,0.009900990099009901,0.060958928243522816,0.009900990099009901,2.6182408550009835,0.5645689889753397,0.8917078655416807,0.999999999999999,0.5645689889753397,0.999999999999999,1.2101122475134403,5.9923077163376774,,,,,1.0,1.0,"{""C"": 43.25503192638992}"
vertebral,2,0,linear,155,155,0.3658313388540352,0.009900990099009901,0.05935513014092902,0.009900990099009901,2.2664785578158457,0.6185085709733674,0.9431305764481894,0.9999999999999988,0.6185085709733674,0.9999999999999988,1.226259104910382,5.972414113713398,,,,,1.0,1.0,"{""C"": 9.61356758775954}"
vertebral,2,1,linear,155,155,0.3713323340204451,0.009900990099009901,0.05124796498080877,0.009900990099009901,2.9691051047397257,0.5088498406881993,0.8692373128235777,0.9999999999999991,0.5088498406881993,0.9999999999999991,1.1831359489655326,5.992749924468512,,,,,1.0,1.0,"{""C"": 57.40608548524235}"
vertebral,3,0,linear,155,155,0.36343868125494244,0.009900990099009901,0.06119995174800514,0.009900990099009901,2.682979718499492,0.5490391658845527,0.8983685378155657,0.9999999999999994,0.5490391658845527,0.9999999999999994,1.1910573688833892,5.9925588441494995,,,,,1.0,1.0,"{""C"": 9.680333420869644}"
vertebral,3,1,linear,155,155,0.38774431832460265,0.009900990099009901,0.05056361127750116,0.009900990099009901,2.4958097320119497,0.5814368760253443,0.9161766211669795,0.9999999999999998,0.5814368760253443,0.9999999999999998,1.2340219537156405,5.970759936907804,,,,,1.0,1.0,"{""C"": 88.79753313573141}"
vertebral,4,0,linear,155,155,0.39261494195434343,0.009900990099009901,0.05902050398836313,0.009900990099009901,2.46830885731031,0.583947865282003,0.9246058457583041,0.9999999999999993,0.583947865282003,0.9999999999999993,1.2328007702289716,5.974598499357803,,,,,1.0,1.0,"{""C"": 3.7644580296063053}"
vertebral,4,1,linear,155,155,0.349554830620492,0.009900990099009901,0.051763310160959815,0.009900990099009901,2.743443724930372,0.5416576834435498,0.8872418352546265,0.9999999999999996,0.5416576834435498,0.9999999999999996,1.1813105910851938,5.992261135995932,,,,,1.0,1.0,"{""C"": 1.212795435931679}"
