dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
wine,0,0,custom_alsalam,89,89,0.6674270447175515,0.009900990099009901,6.204434628228376,0.009900990099009901,25.88311452733122,0.12306702689038443,0.267135869942045,0.33640571667553476,0.12306702689038443,0.33640571667553476,1.1485281025445464,88.99758254582011,,,,,0.9078651685393259,0.9292134831460676,"{""C"": 2.672668106021561, ""degree"": 6, ""a"": -1, ""q"": 0.3555263643652291}"
wine,0,1,custom_alsalam,89,89,0.6709477416932316,0.009900990099009901,51.54609063900029,0.009900990099009901,25.33023782953743,0.13158681690095156,0.2635067489222377,0.338478746032305,0.13158681690095156,0.338478746032305,1.1522898006378328,88.99964556239246,,,,,0.9011235955056178,0.8910112359550562,"{""C"": 0.03803401526723607, ""degree"": 5, ""a"": -1, ""q"": 0.1901139745180093}"
wine,1,0,custom_alsalam,89,89,0.7252083662249532,0.009900990099009901,20.134800627717624,0.009900990099009901,16.587159988360167,0.17126487105915067,0.3473063446282797,0.43019662228144234,0.17126487105915067,0.43019662228144234,1.224090884187566,88.99791354951137,,,,,0.804494382022472,0.8179775280898878,"{""C"": 3.2301147143980096, ""degree"": 2, ""a"": -1, ""q"": 0.22436321219030742}"
wine,1,1,custom_alsalam,89,89,0.6556364083049939,0.009900990099009901,17.780244126922533,0.009900990099009901,25.600138437593607,0.12927651388567682,0.2644534140687941,0.33677066371555503,0.12927651388567682,0.33677066371555503,1.146109835396514,88.99903197930324,,,,,0.8674157303370785,0.8696629213483147,"{""C"": 3.0983058488985016, ""degree"": 5, ""a"": -1, ""q"": 0.2751423954945491}"
wine,2,0,custom_alsalam,89,89,0.6952911545705683,0.009900990099009901,2.5237145193488257,0.009900990099009901,20.07205680635242,0.155906336255983,0.3059207672234286,0.3837836983220958,0.155906336255983,0.3837836983220958,1.184613909611869,88.98789573811,,,,,0.797752808988764,0.8303370786516855,"{""C"": 0.013737286274701317, ""degree"": 2, ""a"": -1, ""q"": 0.3776978552353577}"
wine,2,1,custom_alsalam,89,89,0.7274911822145703,0.009900990099009901,15.118805495043597,0.009900990099009901,15.851418846697523,0.18102593289433436,0.3582061483788769,0.4393417381176881,0.18102593289433436,0.4393417381176881,1.2269799736621527,88.99703047093477,,,,,0.7955056179775281,0.8382022471910113,"{""C"": 0.3097030928449488, ""degree"": 2, ""a"": -1, ""q"": 0.24670694252662953}"
wine,3,0,custom_alsalam,89,89,0.7353608143231943,0.009900990099009901,5.91761133312212,0.009900990099009901,17.274482340902136,0.17255811883067984,0.3350204642086352,0.4168489599716117,0.17255811883067984,0.4168489599716117,1.2230563831508732,88.99380690235934,,,,,0.8179775280898877,0.8460674157303371,"{""C"": 0.3617802381366024, ""degree"": 2, ""a"": -1, ""q"": 0.3202102706421303}"
wine,3,1,custom_alsalam,89,89,0.6755363707856077,0.009900990099009901,94.29223186675944,0.009900990099009901,21.459970224685506,0.14652206737664175,0.2976897436662251,0.37427256048382174,0.14652206737664175,0.37427256048382174,1.1669089237975996,88.99976059297323,,,,,0.9011235955056178,0.9067415730337081,"{""C"": 0.3804393242876208, ""degree"": 3, ""a"": -1, ""q"": 0.1276716898953378}"
wine,4,0,custom_alsalam,89,89,0.6429787633413379,0.009900990099009901,2.329781381881866,0.009900990099009901,27.42862184956274,0.12128119571424413,0.25252565342917377,0.32858540088550836,0.12128119571424413,0.32858540088550836,1.1337390225345236,88.99382423100656,,,,,0.9325842696629213,0.9393258426966291,"{""C"": 0.7213741414594214, ""degree"": 4, ""a"": -1, ""q"": 0.4151918546829268}"
wine,4,1,custom_alsalam,89,89,0.7095398786504019,0.009900990099009901,170.63538082226785,0.009900990099009901,20.394656564914083,0.15475837131764617,0.3066013454443361,0.3795163965192459,0.15475837131764617,0.3795163965192459,1.1847358577891485,88.99986105296638,,,,,0.9146067415730338,0.9348314606741575,"{""C"": 41.955593758244746, ""degree"": 4, ""a"": -1, ""q"": 0.09156206181519028}"
