dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
wine,0,0,linear,89,89,0.6852722032385387,0.009900990099009901,0.3623015903753009,0.009900990099009901,3.9546985896352895,0.44675789709844993,0.7141075743386002,0.8321643527805479,0.44675789709844993,0.8321643527805479,1.5903613882846472,12.997539662357406,,,,,1.0,1.0,"{""C"": 25.807186020495053}"
wine,0,1,linear,89,89,0.6785501708358728,0.009900990099009901,0.3065931180472367,0.009900990099009901,4.937421455731364,0.37283303446852245,0.6709884530353925,0.8058127286124617,0.37283303446852245,0.8058127286124617,1.4970637488574343,12.997589001297701,,,,,1.0,1.0,"{""C"": 3.3131043997818854}"
wine,1,0,linear,89,89,0.6914971833525755,0.009900990099009901,0.34735895224894714,0.009900990099009901,4.19768550770253,0.4272197925203209,0.7040510296327366,0.8292978942311098,0.4272197925203209,0.8292978942311098,1.5767719671279983,12.99752703345901,,,,,1.0,1.0,"{""C"": 3.2301147143980096}"
wine,1,1,linear,89,89,0.6839294135105483,0.009900990099009901,0.3283674796671205,0.009900990099009901,4.5336513158926754,0.3943592670063636,0.6901049362550452,0.8252822170261497,0.3943592670063636,0.8252822170261497,1.5354546825531419,12.997296820290952,,,,,1.0,1.0,"{""C"": 0.05042893150535155}"
wine,2,0,linear,89,89,0.6878106827593161,0.009900990099009901,0.3529151480711395,0.009900990099009901,4.528177044621759,0.39990903935049255,0.6947265372213511,0.8254003853138913,0.39990903935049255,0.8254003853138913,1.5398378670171284,12.997618111569844,,,,,1.0,1.0,"{""C"": 2.6627789827460573}"
wine,2,1,linear,89,89,0.6766698832458078,0.009900990099009901,0.316785089628276,0.009900990099009901,4.207513598670631,0.42623084749294515,0.7016820308173384,0.8189961583547818,0.42623084749294515,0.8189961583547818,1.5538397929101355,12.997433200308272,,,,,1.0,1.0,"{""C"": 0.3097030928449488}"
wine,3,0,linear,89,89,0.7129497794893801,0.009900990099009901,0.3353089223899481,0.009900990099009901,4.574921046079623,0.3988134500150006,0.6763019373334711,0.8117255103737893,0.3988134500150006,0.8117255103737893,1.5662518843601811,12.997466519321494,,,,,1.0,1.0,"{""C"": 0.09095772739014367}"
wine,3,1,linear,89,89,0.6603566335510928,0.009900990099009901,0.3371363226753639,0.009900990099009901,4.152389119354111,0.42680719423064395,0.7134602487101279,0.8434290749502666,0.42680719423064395,0.8434290749502666,1.5356924626264243,12.997463904335545,,,,,1.0,1.0,"{""C"": 0.21874341475561504}"
wine,4,0,linear,89,89,0.6885280908336643,0.009900990099009901,0.3346693912017341,0.009900990099009901,4.588673628307927,0.3912637319904346,0.683620780577757,0.8234935682073653,0.3912637319904346,0.8234935682073653,1.5286162245638373,12.997479557244072,,,,,1.0,1.0,"{""C"": 1.405366368528884}"
wine,4,1,linear,89,89,0.6756083974615482,0.009900990099009901,0.3355906456177183,0.009900990099009901,4.164664345726453,0.43353533153710494,0.7007783123550207,0.8212238926325964,0.43353533153710494,0.8212238926325964,1.559443997201292,12.997612902219863,,,,,1.0,1.0,"{""C"": 41.955593758244746}"
